Suburb/town(2020),1 Bed Flat,,,2 Bed Flat,,,2 Bed House,,,3 Bed House,,
,Count,Median,Annual,Count,Median,Annual,Count,Median,Annual,Count,Median,Annual
,,,% change,,,% change,,,% change,,,% change
Albert Park-Middle Park-West St Kilda,231,$350,-2.80%,184,$500,0.00%,88,$675,-0.70%,99,$950,0.00%
Armadale,167,$350,-2.80%,324,$495,0.00%,43,$620,-2.10%,54,$900,-2.70%
Carlton North,71,$350,-5.40%,106,$490,2.10%,93,$600,2.90%,91,$770,-1.30%
Carlton-Parkville,"2,839",$348,-7.20%,"1,284",$516,-6.20%,54,$600,0.00%,60,$750,-2.00%
CBD-St Kilda Rd,"5,594",$400,-9.10%,"5,010",$550,-8.30%,-,-,-,-,-,-
Collingwood-Abbotsford,772,$408,-1.70%,835,$520,-5.50%,126,$600,-2.10%,83,$800,6.70%
Docklands,967,$430,-8.50%,"1,258",$570,-12.30%,-,-,-,-,-,-
East Melbourne,244,$400,-4.80%,222,$598,-0.30%,-,-,-,18,"$1,138",18.80%
East St Kilda,463,$325,-1.50%,746,$440,0.00%,49,$595,-3.30%,77,$750,0.00%
Elwood,422,$340,0.00%,808,$460,-2.10%,26,$613,-5.70%,54,$850,4.90%
Fitzroy,224,$400,-5.90%,228,$600,0.00%,62,$630,5.00%,35,$860,-4.40%
Fitzroy North-Clifton Hill,231,$355,-4.10%,241,$500,-3.80%,155,$600,-3.20%,120,$750,-3.00%
Flemington-Kensington,304,$360,-2.70%,505,$420,-2.30%,145,$520,0.00%,121,$650,0.00%
North Melbourne-West Melbourne,"1,581",$390,0.00%,"1,154",$520,-1.90%,77,$550,-4.30%,80,$710,-4.10%
Port Melbourne,312,$445,-1.10%,496,$593,-3.60%,98,$580,-4.90%,133,$800,-8.40%
Prahran-Windsor,996,$355,-1.40%,757,$500,0.00%,193,$630,0.00%,144,$793,-0.30%
Richmond-Burnley,920,$400,-2.40%,896,$550,0.00%,339,$600,-3.20%,270,$773,-0.90%
South Melbourne,370,$400,-4.80%,386,$540,-5.30%,64,$628,3.80%,50,$850,-2.90%
South Yarra,"1,805",$380,-5.00%,"1,514",$550,-3.50%,94,$643,-4.00%,101,$900,0.00%
Southbank,"1,684",$400,-12.10%,"2,346",$520,-12.60%,-,-,-,-,-,-
St Kilda,"1,359",$350,-4.10%,"1,145",$485,-2.00%,37,$640,8.50%,50,$738,-0.90%
Toorak,161,$340,-2.90%,288,$500,0.00%,21,$640,-1.20%,60,$950,-4.80%
Balwyn,64,$385,-1.30%,287,$425,-4.50%,26,$440,2.30%,193,$580,5.50%
Blackburn,121,$350,-2.80%,203,$415,-1.20%,36,$408,-0.50%,228,$450,0.00%
Box Hill,646,$300,5.30%,"1,085",$450,0.00%,46,$405,1.30%,260,$480,-0.60%
Bulleen-Templestowe-Doncaster,164,$370,-2.60%,563,$435,-3.30%,30,$395,-6.00%,362,$470,2.20%
Burwood-Ashburton,308,$255,4.10%,239,$440,-2.20%,53,$410,-2.40%,253,$500,0.00%
Camberwell-Glen Iris,255,$350,-1.40%,668,$450,-1.10%,53,$530,6.40%,204,$665,2.30%
Canterbury-Surrey Hills-Mont Albert,30,$385,-3.80%,292,$448,0.70%,27,$480,6.70%,92,$608,-6.50%
Chadstone-Oakleigh,114,$360,-4.00%,329,$420,0.00%,39,$400,-4.80%,220,$468,0.60%
Clayton,519,$310,6.90%,754,$400,0.00%,46,$400,-2.40%,214,$450,-2.20%
Doncaster East-Donvale,37,$360,-2.70%,198,$420,-2.30%,21,$420,5.00%,218,$470,2.20%
East Hawthorn,380,$350,-5.40%,402,$460,-0.60%,39,$570,3.60%,84,$695,0.70%
Glen Waverley-Mulgrave,78,$360,-2.70%,339,$470,10.60%,31,$420,-1.20%,585,$460,0.00%
Hawthorn,820,$325,1.60%,761,$460,0.00%,57,$595,8.60%,84,$750,-3.80%
Kew,85,$375,-1.30%,421,$440,-2.20%,42,$515,1.00%,143,$670,3.10%
Mount Waverley,17,$370,-1.30%,140,$410,-2.40%,22,$420,4.70%,264,$461,-5.90%
Nunawading-Mitcham,66,$335,0.00%,247,$385,-2.50%,44,$400,0.00%,195,$440,0.50%
Vermont-Forest Hill-Burwood East,40,$338,-11.10%,120,$380,-2.60%,35,$400,-3.10%,336,$450,0.00%
Aspendale-Chelsea-Carrum,58,$280,0.00%,507,$385,1.30%,61,$400,0.50%,284,$475,2.20%
Bentleigh,220,$320,-5.90%,745,$430,-4.40%,95,$450,-2.80%,451,$550,0.00%
Brighton,57,$400,-2.40%,310,$550,0.00%,20,$670,13.60%,113,$880,-1.70%
Brighton East,-,-,-,62,$475,5.60%,18,$550,6.20%,113,$695,3.70%
Carnegie,384,$315,1.60%,608,$460,2.20%,24,$490,2.10%,71,$590,0.00%
Caulfield,635,$320,4.90%,"1,030",$470,1.70%,54,$500,-2.90%,151,$675,-2.20%
Cheltenham,123,$350,0.00%,656,$420,0.00%,71,$475,1.10%,432,$550,1.90%
Elsternwick,228,$350,9.40%,324,$485,3.20%,15,$500,-3.80%,47,$695,-10.30%
Hampton-Beaumaris,144,$370,1.40%,385,$495,1.00%,46,$530,0.00%,221,$700,-4.80%
Malvern,98,$350,-6.70%,137,$450,-6.30%,15,$650,1.60%,46,$825,-5.20%
Malvern East,421,$310,-5.50%,355,$450,-8.20%,29,$530,4.30%,105,$630,1.60%
Mentone-Parkdale-Mordialloc,247,$310,0.00%,516,$400,0.00%,40,$455,-1.10%,192,$570,3.60%
Murrumbeena-Hughesdale,209,$300,0.00%,336,$445,1.10%,23,$450,0.00%,76,$550,1.90%
Altona,71,$295,3.50%,562,$350,-2.80%,158,$370,2.80%,"1,382",$390,0.00%
Footscray,519,$295,7.30%,571,$400,2.60%,128,$450,0.00%,134,$500,-2.00%
Keilor East-Avondale Heights,251,$350,0.00%,374,$400,-2.40%,38,$398,4.70%,295,$430,0.00%
Melton,21,$345,6.50%,104,$280,0.00%,36,$293,-2.30%,998,$330,0.00%
Newport-Spotswood,62,$290,-4.90%,160,$390,4.00%,93,$465,3.30%,200,$550,1.90%
St Albans-Deer Park,39,$280,4.50%,324,$330,3.10%,60,$330,0.00%,702,$355,-1.40%
Sunshine,172,$250,2.00%,262,$330,1.50%,71,$350,2.90%,471,$370,2.80%
Sydenham,-,-,-,124,$360,0.00%,51,$350,-2.80%,871,$390,0.00%
Werribee-Hoppers Crossing,75,$285,-1.70%,610,$315,1.60%,132,$325,1.60%,"2,674",$350,0.00%
West Footscray,144,$273,-0.70%,402,$363,-1.90%,110,$390,0.00%,318,$450,2.30%
Williamstown,61,$330,-8.30%,135,$430,2.40%,42,$498,-1.40%,123,$645,1.60%
Yarraville-Seddon,151,$290,-3.30%,309,$385,-1.30%,221,$500,0.00%,323,$570,1.80%
Broadmeadows-Roxburgh Park,41,$255,-3.00%,171,$350,1.20%,81,$350,1.40%,644,$370,0.00%
Brunswick,502,$360,0.00%,665,$465,1.10%,197,$550,1.90%,213,$675,-0.70%
Coburg-Pascoe Vale South,143,$330,0.00%,390,$400,0.00%,146,$470,3.30%,325,$550,1.90%
Craigieburn,-,-,-,118,$338,0.90%,68,$340,0.00%,858,$380,0.00%
East Brunswick,482,$380,-1.30%,543,$480,-2.00%,71,$545,0.90%,67,$725,3.60%
Essendon,360,$330,-2.90%,783,$395,0.00%,98,$420,2.40%,305,$480,2.10%
Gladstone Park-Tullamarine,41,$300,11.10%,151,$340,0.00%,18,$350,0.00%,210,$398,-0.50%
Keilor,-,-,-,-,-,-,-,-,-,25,$410,0.00%
Moonee Ponds-Ascot Vale,506,$350,-1.40%,534,$420,-4.50%,144,$490,0.00%,234,$605,2.50%
Oak Park-Glenroy-Fawkner,57,$290,0.00%,545,$365,-1.40%,148,$383,3.50%,498,$420,1.20%
Pascoe Vale-Coburg North,50,$267,6.80%,377,$390,0.00%,105,$400,0.00%,217,$480,0.00%
Sunbury,14,$250,0.00%,88,$340,3.00%,30,$350,2.90%,347,$370,0.00%
West Brunswick,387,$320,3.20%,499,$400,0.00%,55,$495,-1.00%,90,$600,0.00%
Bundoora-Greensborough-Hurstbridge,237,$315,5.00%,527,$370,0.00%,102,$370,0.00%,829,$420,1.20%
Eltham-Research-Montmorency,23,$320,0.00%,128,$400,6.70%,39,$400,0.00%,190,$490,7.70%
Fairfield-Alphington,190,$300,0.00%,208,$410,-6.80%,32,$543,2.50%,82,$650,-0.50%
Heidelberg-Heidelberg West,114,$360,5.90%,429,$410,2.50%,113,$390,2.60%,274,$450,0.00%
Ivanhoe-Ivanhoe East,122,$380,2.70%,282,$450,2.30%,23,$500,8.70%,81,$600,3.40%
Mill Park-Epping,50,$305,1.70%,288,$340,0.00%,83,$350,1.40%,774,$380,0.00%
Northcote,342,$348,-0.60%,330,$480,-1.00%,165,$600,3.40%,181,$705,3.70%
Preston,269,$350,2.90%,630,$410,0.00%,114,$450,0.00%,252,$500,2.00%
Reservoir,166,$315,1.60%,755,$360,0.00%,170,$375,1.40%,372,$420,2.40%
Thomastown-Lalor,33,$300,0.00%,253,$330,-2.90%,45,$340,-1.40%,480,$370,0.00%
Thornbury,301,$310,1.60%,405,$410,0.00%,76,$550,5.80%,144,$625,-2.00%
Whittlesea,-,-,-,56,$320,3.20%,51,$330,1.50%,419,$380,2.70%
Bayswater,16,$240,-17.20%,205,$350,0.00%,22,$360,1.40%,176,$400,0.00%
Boronia,35,$325,8.30%,189,$365,1.40%,40,$350,0.00%,229,$400,1.30%
Croydon-Lilydale,70,$290,3.60%,437,$370,1.40%,130,$380,2.70%,746,$425,1.20%
Ferntree Gully,11,$280,-5.10%,87,$365,-1.40%,26,$358,2.30%,214,$420,5.00%
Ringwood,69,$340,-2.90%,528,$380,2.70%,72,$378,-0.50%,387,$430,1.20%
Rowville,15,$320,6.70%,48,$390,0.00%,-,-,-,211,$440,4.80%
Wantirna-Scoresby,58,$350,2.90%,74,$400,0.00%,18,$393,0.00%,427,$420,0.00%
Yarra Ranges,43,$270,3.80%,67,$340,6.30%,108,$360,2.90%,384,$400,0.00%
Berwick,18,$310,-3.10%,85,$335,-1.50%,44,$340,3.00%,652,$380,1.30%
Cranbourne,48,$280,0.00%,153,$320,3.20%,71,$335,1.50%,"1,338",$370,1.40%
Dandenong,228,$270,3.80%,779,$310,0.00%,69,$330,-5.70%,381,$400,1.30%
Dandenong North-Endeavour Hills,56,$270,3.80%,196,$330,0.00%,42,$328,5.50%,590,$365,1.40%
Narre Warren-Hampton Park,18,$240,22.40%,190,$340,3.00%,47,$340,0.00%,"1,018",$370,0.00%
Noble Park,212,$250,4.20%,463,$340,0.00%,34,$365,10.60%,280,$383,0.80%
Pakenham,11,$200,-14.90%,184,$305,1.70%,72,$320,0.00%,952,$350,0.00%
Springvale,132,$265,-1.90%,539,$360,0.00%,48,$378,7.10%,454,$405,1.30%
Dromana-Portsea,16,$250,-5.70%,197,$330,0.00%,195,$330,3.10%,804,$390,2.60%
Frankston,366,$240,-4.00%,621,$330,3.10%,78,$340,-1.40%,833,$400,2.60%
