Suburb/town(2020),1 Bed Flat,,,2 Bed Flat,,,2 Bed House,,,3 Bed House,,
Hastings-Flinders,19,$200,-28.60%,131,$335,4.70%,58,$365,4.30%,298,$420,5.00%
Mt Eliza-Mornington-Mt Martha,14,$285,1.80%,203,$380,0.00%,39,$420,0.00%,402,$495,1.00%
Seaford-Carrum Downs,77,$250,0.00%,239,$330,0.00%,51,$350,2.90%,687,$380,2.70%
Belmont-Grovedale,124,$260,4.00%,318,$330,3.10%,86,$350,2.90%,718,$390,0.00%
Corio,28,$220,4.80%,78,$290,3.60%,111,$280,3.70%,459,$310,3.30%
Geelong-Newcomb,200,$300,6.00%,362,$350,9.40%,119,$340,6.30%,429,$355,1.40%
Herne Hill-Geelong West,104,$230,4.50%,181,$320,6.70%,87,$360,4.30%,253,$400,2.60%
Lara,-,-,-,50,$323,4.20%,20,$330,3.10%,152,$393,3.40%
Newtown,31,$230,4.50%,107,$330,1.50%,26,$378,5.00%,146,$428,3.10%
North Geelong,58,$220,2.30%,109,$330,3.10%,52,$340,6.30%,352,$360,0.00%
Ballarat,81,$200,6.40%,215,$270,3.80%,222,$285,3.60%,785,$330,3.10%
Mount Clear-Buninyong,-,-,-,28,$260,6.10%,15,$260,-8.10%,107,$340,3.00%
Sebastopol-Delacombe,51,$250,2.90%,143,$260,4.00%,89,$275,5.80%,348,$310,3.30%
Wendouree-Alfredton,81,$180,0.00%,143,$260,4.00%,83,$280,1.80%,611,$330,0.00%
Bendigo,38,$220,8.40%,87,$295,11.30%,58,$323,11.40%,191,$350,9.40%
Flora Hill-Bendigo East,38,$190,5.60%,241,$270,3.80%,83,$280,0.00%,368,$340,6.30%
Golden Square-Kangaroo Flat,19,$185,-9.80%,81,$265,1.90%,53,$280,2.60%,305,$330,3.80%
North Bendigo,21,$190,5.60%,115,$270,3.80%,80,$280,5.70%,376,$320,4.90%
Bairnsdale,25,$210,21.40%,81,$260,4.00%,34,$275,3.80%,180,$320,0.00%
Benalla,28,$180,2.90%,89,$250,13.60%,42,$280,12.00%,142,$330,3.10%
Castlemaine,-,-,-,21,$300,0.00%,65,$340,6.30%,101,$360,2.90%
Echuca,23,$180,12.50%,94,$280,3.70%,24,$310,10.70%,193,$355,2.90%
Hamilton,17,$155,-3.10%,52,$230,-2.10%,43,$245,6.50%,153,$290,7.40%
Horsham,47,$250,35.10%,157,$245,6.50%,48,$265,6.00%,282,$298,3.50%
Mildura,74,$210,6.10%,218,$240,9.10%,103,$265,-1.90%,548,$335,4.70%
Moe-Newborough,92,$160,6.70%,74,$200,11.10%,52,$250,13.60%,174,$276,2.20%
Morwell,37,$160,0.00%,116,$195,2.60%,71,$210,5.00%,259,$260,8.30%
Ocean Grove-Barwon Heads,20,$245,9.90%,60,$360,2.90%,19,$360,-2.70%,221,$420,0.00%
Portland,20,$170,3.00%,69,$265,20.50%,29,$285,9.60%,118,$318,13.60%
Sale-Maffra,72,$200,11.10%,154,$250,7.30%,59,$260,4.00%,295,$310,6.90%
Seymour,11,$210,18.00%,28,$255,8.50%,11,$260,-3.70%,104,$320,6.70%
Shepparton,107,$195,0.00%,307,$245,2.10%,106,$270,8.00%,645,$315,5.00%
Swan Hill,43,$160,4.60%,68,$248,7.80%,15,$270,10.20%,134,$313,4.30%
Torquay,21,$305,2.30%,48,$385,1.30%,22,$395,3.90%,256,$490,2.10%
Traralgon,76,$200,5.30%,150,$250,4.20%,60,$280,7.70%,380,$330,10.00%
Wangaratta,60,$190,-2.60%,120,$233,1.30%,48,$270,0.00%,297,$320,0.00%
Warragul,-,-,-,72,$288,3.60%,35,$300,3.40%,224,$348,3.90%
Warrnambool,63,$220,0.00%,265,$275,5.80%,70,$310,3.30%,350,$360,2.90%
Wodonga,55,$185,2.80%,245,$250,4.20%,65,$280,0.00%,499,$335,1.50%
Colac-Otway,-,-,-,14,$293,17.20%,-,-,-,67,$350,10.10%
Corangamite,-,-,-,-,-,-,-,-,-,47,$290,11.50%
Glenelg,-,-,-,21,$260,20.90%,10,$250,-,31,$320,11.10%
Greater Geelong,146,$250,5.00%,330,$333,7.40%,138,$340,6.30%,795,$375,1.40%
Moyne,-,-,-,-,-,-,-,-,-,24,$355,7.60%
Queenscliffe,-,-,-,-,-,-,-,-,-,-,-,-
Southern Grampians,-,-,-,13,$210,-,-,-,-,42,$295,9.30%
Surf Coast,11,$295,-,20,$365,1.40%,11,$400,8.10%,117,$450,0.00%
Warrnambool,14,$230,4.50%,59,$270,3.80%,17,$290,-3.30%,71,$370,5.70%
Ararat,-,-,-,-,-,-,-,-,-,28,$290,7.40%
Ballarat,45,$195,5.40%,112,$270,5.90%,108,$280,3.70%,461,$325,1.60%
Golden Plains,-,-,-,-,-,-,-,-,-,21,$395,0.00%
Hepburn,-,-,-,-,-,-,16,$310,-8.80%,29,$360,5.90%
Hindmarsh,-,-,-,-,-,-,-,-,-,13,$210,-6.70%
Horsham,-,-,-,37,$235,-2.10%,11,$250,0.00%,71,$310,8.80%
Moorabool,-,-,-,15,$300,9.10%,12,$310,-,53,$360,2.90%
Northern Grampians,-,-,-,-,-,-,-,-,-,24,$253,-6.30%
Pyrenees,-,-,-,-,-,-,-,-,-,-,-,-
West Wimmera,-,-,-,-,-,-,-,-,-,-,-,-
Yarriambiack,-,-,-,-,-,-,-,-,-,-,-,-
Buloke,-,-,-,-,-,-,-,-,-,-,-,-
Campaspe,11,$150,-9.10%,36,$253,5.40%,15,$260,-4.80%,72,$325,4.80%
Central Goldfields,-,-,-,-,-,-,-,-,-,26,$290,9.40%
Gannawarra,-,-,-,-,-,-,-,-,-,20,$230,0.00%
Greater Bendigo,24,$189,-5.50%,120,$270,0.00%,71,$280,-1.80%,300,$340,4.60%
Loddon,-,-,-,-,-,-,-,-,-,-,-,-
Macedon Ranges,-,-,-,19,$370,8.80%,-,-,-,50,$438,9.50%
Mildura,21,$200,20.50%,52,$248,7.80%,35,$265,1.90%,147,$340,9.70%
Mount Alexander,-,-,-,-,-,-,10,$358,11.90%,42,$373,8.10%
Swan Hill,-,-,-,15,$260,8.30%,-,-,-,31,$300,7.10%
Alpine,-,-,-,18,$250,0.00%,-,-,-,37,$330,-2.90%
Benalla,-,-,-,19,$240,4.30%,13,$300,-,29,$330,3.10%
Greater Shepparton,26,$185,-2.60%,56,$248,5.50%,28,$265,-1.90%,171,$320,6.70%
Indigo,-,-,-,-,-,-,-,-,-,26,$340,3.00%
Mansfield,-,-,-,-,-,-,10,$365,-,23,$380,8.60%
Mitchell,-,-,-,15,$250,-7.40%,11,$310,2.30%,81,$350,2.90%
Moira,12,$130,-13.30%,33,$235,-2.10%,-,-,-,59,$305,5.20%
Murrindindi,-,-,-,-,-,-,-,-,-,19,$360,20.00%
Strathbogie,-,-,-,-,-,-,-,-,-,23,$350,12.90%
Towong,-,-,-,-,-,-,-,-,-,10,$300,15.40%
Wangaratta,-,-,-,32,$235,2.20%,14,$283,1.10%,68,$320,6.70%
Wodonga,-,-,-,62,$255,6.30%,15,$310,-,106,$340,4.60%
Bass Coast,-,-,-,19,$290,9.40%,14,$298,6.40%,53,$350,6.70%
Baw Baw,10,$223,11.50%,37,$300,5.30%,25,$300,3.40%,117,$350,6.10%
East Gippsland,-,-,-,52,$260,4.00%,28,$270,0.70%,93,$320,3.20%
Latrobe,42,$180,9.10%,74,$220,10.00%,50,$230,4.50%,210,$290,7.40%
South Gippsland,-,-,-,12,$270,3.80%,-,-,-,51,$310,10.70%
Wellington,17,$200,5.30%,43,$250,8.70%,21,$260,4.00%,85,$315,10.50%
Banyule,87,$330,0.00%,215,$390,2.60%,53,$400,0.00%,223,$450,2.30%
Brimbank,37,$260,2.00%,117,$340,3.00%,39,$350,0.00%,315,$370,0.00%
Darebin,232,$320,-3.00%,421,$390,-2.50%,114,$480,9.10%,223,$515,12.00%
Hobsons Bay,38,$308,2.70%,158,$360,-2.70%,51,$440,-1.10%,166,$448,-0.40%
Hume,24,$255,2.00%,93,$340,0.00%,51,$350,1.40%,413,$380,1.30%
Maribyrnong,201,$295,-4.80%,319,$380,-5.00%,107,$450,1.10%,190,$470,-6.00%
Melbourne,"3,134",$350,-17.60%,"3,116",$450,-25.00%,82,$550,-3.50%,79,$700,0.00%
Melton,-,-,-,42,$333,-0.60%,10,$340,6.30%,396,$350,0.00%
Moonee Valley,209,$330,0.00%,346,$395,-1.30%,67,$470,4.40%,115,$505,4.60%
Moreland,344,$350,-1.40%,640,$400,-2.40%,173,$450,-4.30%,294,$500,2.00%
Nillumbik,-,-,-,13,$380,10.10%,-,-,-,69,$430,3.60%
Whittlesea,24,$310,3.30%,107,$330,-2.90%,42,$340,-2.90%,353,$380,1.30%
Wyndham,19,$290,-3.30%,139,$320,0.00%,47,$340,6.30%,676,$350,0.00%
Yarra,510,$370,-9.80%,534,$500,-7.40%,172,$595,-4.00%,135,$750,0.00%
Boroondara,306,$340,-2.90%,530,$430,-6.50%,49,$530,7.10%,164,$625,3.30%
Knox,26,$350,14.80%,104,$380,4.10%,26,$370,0.50%,226,$420,2.40%
Manningham,51,$350,-7.90%,165,$415,-7.80%,13,$410,-2.40%,130,$470,2.20%
Maroondah,18,$320,0.00%,160,$365,-3.90%,19,$380,2.70%,154,$430,0.00%
Monash,172,$300,1.70%,385,$400,-2.40%,38,$400,-3.60%,268,$450,-4.30%
Whitehorse,200,$320,-5.90%,434,$400,-5.90%,40,$405,-2.40%,264,$450,-2.20%
Yarra Ranges,14,$260,0.80%,56,$368,-0.50%,32,$383,6.40%,164,$410,0.00%
Bayside,50,$370,-3.90%,188,$478,-0.40%,25,$550,10.00%,145,$700,0.00%
Cardinia,-,-,-,34,$320,2.20%,23,$325,1.60%,224,$360,2.90%
Casey,24,$283,1.10%,85,$350,6.10%,35,$335,1.50%,612,$375,1.40%
Frankston,120,$253,1.20%,166,$345,4.50%,32,$338,-0.60%,310,$390,2.60%
Glen Eira,423,$300,-6.30%,709,$435,-3.30%,42,$475,-3.10%,176,$588,-2.00%
Greater Dandenong,113,$260,0.00%,277,$330,2.20%,30,$370,6.30%,220,$390,2.60%
Kingston,102,$305,-6.20%,359,$395,-0.80%,36,$425,-2.30%,225,$500,1.00%
Mornington Peninsula,18,$250,-,97,$350,0.00%,60,$363,10.00%,313,$430,7.50%
Port Phillip,647,$350,-6.70%,798,$460,-8.00%,76,$598,-8.00%,104,$778,-13.10%
Stonnington,737,$350,-10.30%,750,$475,-10.40%,107,$600,-7.70%,135,$795,0.00%
