,SA2 code,SA2 name
642,201011001,Alfredton
643,201011002,Ballarat
644,201011005,Buninyong
645,201011006,Delacombe
646,201011007,Smythes Creek
647,201011008,Wendouree - Miners Rest
648,201011481,Ballarat East - Warrenheip
649,201011482,Ballarat North - Invermay
650,201011483,Canadian - Mount Clear
651,201011484,Sebastopol - Redan
652,201021009,Bacchus Marsh Surrounds
653,201021010,Creswick - Clunes
654,201021011,Daylesford
655,201021012,Gordon (Vic.)
656,201031013,Avoca
657,201031014,Beaufort
658,201031015,Golden Plains - North
659,201031016,Maryborough (Vic.)
660,201031017,Maryborough Surrounds
661,202011018,Bendigo
662,202011019,California Gully - Eaglehawk
663,202011020,East Bendigo - Kennington
664,202011021,Flora Hill - Spring Gully
665,202011022,Kangaroo Flat - Golden Square
666,202011023,Maiden Gully
667,202011024,Strathfieldsaye
668,202011025,White Hills - Ascot
669,202021026,Bendigo Surrounds - South
670,202021027,Castlemaine
671,202021028,Castlemaine Surrounds
672,202021029,Heathcote
673,202021030,Kyneton
674,202021031,Woodend
675,202031032,Bendigo Surrounds - North
676,202031033,Loddon
677,203011034,Bannockburn
678,203011035,Golden Plains - South
679,203011036,Winchelsea
680,203021037,Belmont
681,203021039,Geelong
682,203021040,Geelong West - Hamlyn Heights
683,203021042,Highton
684,203021043,Lara
685,203021044,Leopold
686,203021045,Newcomb - Moolap
687,203021046,Newtown (Vic.)
688,203021047,North Geelong - Bell Park
689,203021485,Charlemont
690,203021486,Corio - Lovely Banks
691,203021487,Grovedale - Mount Duneed
692,203021488,Norlane
693,203031048,Clifton Springs
694,203031049,Lorne - Anglesea
695,203031051,Portarlington
696,203031052,Point Lonsdale - Queenscliff
697,203031053,Torquay
698,203031489,Barwon Heads - Armstrong Creek
699,203031490,Ocean Grove
700,204011054,Alexandra
701,204011055,Euroa
702,204011056,Kilmore - Broadford
703,204011057,Mansfield (Vic.)
704,204011058,Nagambie
705,204011059,Seymour
706,204011060,Seymour Surrounds
707,204011061,Upper Yarra Valley
708,204011062,Yea
709,204021063,Benalla
710,204021064,Benalla Surrounds
711,204021065,Rutherglen
712,204021066,Wangaratta
713,204021067,Wangaratta Surrounds
714,204031068,Beechworth
715,204031069,Bright - Mount Beauty
716,204031070,Chiltern - Indigo Valley
717,204031071,Myrtleford
718,204031072,Towong
719,204031073,West Wodonga
720,204031075,Yackandandah
721,204031491,Baranduda - Leneva
722,204031492,Wodonga
723,205011076,Drouin
724,205011077,Mount Baw Baw Region
725,205011078,Trafalgar (Vic.)
726,205011079,Warragul
727,205021080,Alps - East
728,205021081,Bairnsdale
729,205021082,Bruthen - Omeo
730,205021083,Lake King
731,205021084,Lakes Entrance
732,205021085,Orbost
733,205021086,Paynesville
734,205031087,Foster
735,205031088,French Island
736,205031089,Korumburra
737,205031090,Leongatha
738,205031091,Phillip Island
739,205031092,Wilsons Promontory
740,205031093,Wonthaggi - Inverloch
741,205041094,Churchill
742,205041095,Moe - Newborough
743,205041096,Morwell
744,205041098,Yallourn North - Glengarry
745,205041493,Traralgon - East
746,205041494,Traralgon - West
747,205051099,Alps - West
748,205051100,Longford - Loch Sport
749,205051101,Maffra
750,205051102,Rosedale
751,205051103,Sale
752,205051104,Yarram
753,206011106,Brunswick East
754,206011107,Brunswick West
755,206011109,Pascoe Vale South
756,206011495,Brunswick - North
757,206011496,Brunswick - South
758,206011497,Coburg - East
759,206011498,Coburg - West
760,206021110,Alphington - Fairfield
761,206021112,Thornbury
762,206021499,Northcote - East
