,SA2 code,SA2 name
763,206021500,Northcote - West
764,206031113,Ascot Vale
765,206031115,Flemington
766,206031116,Moonee Ponds
767,206031501,Essendon (West) - Aberfeldie
768,206031502,Essendon - East
769,206041117,Carlton
770,206041118,Docklands
771,206041119,East Melbourne
772,206041120,Flemington Racecourse
773,206041121,Kensington (Vic.)
774,206041124,Parkville
775,206041125,South Yarra - West
776,206041127,West Melbourne - Industrial
777,206041503,Melbourne CBD - East
778,206041504,Melbourne CBD - North
779,206041505,Melbourne CBD - West
780,206041506,North Melbourne
781,206041507,Royal Botanic Gardens Victoria
782,206041508,Southbank (West) - South Wharf
783,206041509,Southbank - East
784,206041510,West Melbourne - Residential
785,206051128,Albert Park
786,206051129,Elwood
787,206051130,Port Melbourne
788,206051134,St Kilda East
789,206051511,Port Melbourne Industrial
790,206051512,South Melbourne
791,206051513,St Kilda - Central
792,206051514,St Kilda - West
793,206061135,Armadale
794,206061136,Prahran - Windsor
795,206061138,Toorak
796,206061515,South Yarra - North
797,206061516,South Yarra - South
798,206071139,Abbotsford
799,206071140,Carlton North - Princes Hill
800,206071141,Collingwood
801,206071142,Fitzroy
802,206071143,Fitzroy North
803,206071145,Clifton Hill - Alphington
804,206071517,Richmond (South) - Cremorne
805,206071518,Richmond - North
806,207011146,Ashburton (Vic.)
807,207011147,Balwyn
808,207011148,Balwyn North
809,207011149,Camberwell
810,207011150,Glen Iris - East
811,207011152,Hawthorn East
812,207011154,Kew East
813,207011155,Surrey Hills (West) - Canterbury
814,207011519,Hawthorn - North
815,207011520,Hawthorn - South
816,207011521,Kew - South
817,207011522,Kew - West
818,207021156,Bulleen
819,207021157,Doncaster
820,207021159,Templestowe
821,207021160,Templestowe Lower
822,207021424,Doncaster East - North
823,207021425,Doncaster East - South
824,207031161,Blackburn
825,207031162,Blackburn South
826,207031163,Box Hill
827,207031164,Box Hill North
828,207031165,Burwood (Vic.)
829,207031166,Burwood East
830,207031167,Surrey Hills (East) - Mont Albert
831,208011168,Beaumaris
832,208011169,Brighton (Vic.)
833,208011170,Brighton East
834,208011171,Highett (West) - Cheltenham
835,208011172,Hampton
836,208011173,Sandringham - Black Rock
837,208021174,Bentleigh - McKinnon
838,208021176,Carnegie
839,208021177,Caulfield - North
840,208021178,Caulfield - South
841,208021179,Elsternwick
842,208021180,Hughesdale
843,208021181,Murrumbeena
844,208021182,Ormond - Glen Huntly
845,208021426,Bentleigh East - North
846,208021427,Bentleigh East - South
847,208031183,Aspendale Gardens - Waterways
848,208031184,Braeside
849,208031185,Carrum - Patterson Lakes
850,208031186,Chelsea - Bonbeach
851,208031187,Chelsea Heights
852,208031188,Highett (East) - Cheltenham
853,208031189,Edithvale - Aspendale
854,208031190,Mentone
855,208031191,Moorabbin - Heatherton
856,208031192,Moorabbin Airport
857,208031193,Mordialloc - Parkdale
858,208041194,Malvern - Glen Iris
859,208041195,Malvern East
860,209011196,Bundoora - East
861,209011197,Greensborough
862,209011198,Heidelberg - Rosanna
863,209011199,Heidelberg West
864,209011200,Ivanhoe
865,209011201,Ivanhoe East - Eaglemont
866,209011202,Montmorency - Briar Hill
867,209011203,Viewbank - Yallambie
868,209011204,Watsonia
869,209021205,Kingsbury
870,209021428,Preston - East
871,209021429,Preston - West
872,209021523,Reservoir - North East
873,209021524,Reservoir - North West
874,209021525,Reservoir - South East
875,209021526,Reservoir - South West
876,209031209,Eltham
877,209031210,Hurstbridge
878,209031211,Kinglake
879,209031212,Panton Hill - St Andrews
880,209031213,Plenty - Yarrambat
881,209031214,Research - North Warrandyte
882,209031215,Wattle Glen - Diamond Creek
883,209041216,Bundoora - North
884,209041217,Bundoora - West
885,209041220,Mill Park - North
886,209041221,Mill Park - South
887,209041223,Thomastown
888,209041224,Wallan
889,209041225,Whittlesea
890,209041431,Epping - East
891,209041432,Epping - South
892,209041433,Epping (Vic.) - West
893,209041435,South Morang - North
894,209041436,South Morang - South
895,209041437,Wollert
896,209041527,Doreen - North
897,209041528,Doreen - South
898,209041529,Lalor - East
899,209041530,Lalor - West
900,209041531,Mernda - North
901,209041532,Mernda - South
902,210011226,Airport West
903,210011227,Essendon Airport
904,210011228,Keilor
905,210011230,Niddrie - Essendon West
906,210011231,Strathmore
907,210011533,Avondale Heights
908,210011534,Keilor East
909,210021232,Gisborne
910,210021233,Macedon
911,210021234,Riddells Creek
912,210021235,Romsey
913,210031236,Coburg North
914,210031237,Fawkner
915,210031439,Gowanbrae
916,210031440,Hadfield
917,210031535,Glenroy - East
918,210031536,Glenroy - West
919,210031537,Oak Park
920,210031538,Pascoe Vale
921,210041240,Sunbury
922,210041539,Diggers Rest
923,210041540,Sunbury - South
924,210041541,Sunbury - West
925,210051242,Broadmeadows
926,210051243,Campbellfield - Coolaroo
927,210051245,Gladstone Park - Westmeadows
928,210051246,Greenvale - Bulla
929,210051247,Meadow Heights
930,210051248,Melbourne Airport
931,210051250,Tullamarine
932,210051441,Craigieburn - Central
933,210051442,Craigieburn - North
934,210051443,Craigieburn - South
935,210051445,Mickleham - Yuroke
936,210051542,Craigieburn - North West
937,210051543,Craigieburn - West
938,210051544,Roxburgh Park (South) - Somerton
939,210051545,Roxburgh Park - North
940,211011251,Bayswater
941,211011254,Knoxfield - Scoresby
942,211011255,Lysterfield
943,211011256,Rowville - Central
944,211011257,Rowville - North
945,211011258,Rowville - South
946,211011259,Wantirna
947,211011260,Wantirna South
948,211011446,Boronia
949,211011447,Ferntree Gully - North
950,211011448,Ferntree Gully (South) - Upper Ferntree Gully
951,211011449,The Basin
952,211021261,Donvale - Park Orchards
953,211021262,Warrandyte - Wonga Park
954,211031263,Bayswater North
955,211031265,Croydon Hills - Warranwood
956,211031266,Ringwood
957,211031267,Ringwood East
958,211031268,Ringwood North
959,211031450,Croydon - East
960,211031451,Croydon - West
961,211031452,Croydon South
962,211041269,Forest Hill
963,211041270,Mitcham (Vic.)
964,211041271,Nunawading
965,211041272,Vermont
966,211041273,Vermont South
967,211051274,Belgrave - Selby
968,211051275,Chirnside Park
969,211051276,Healesville - Yarra Glen
970,211051277,Kilsyth
971,211051278,Lilydale - Coldstream
972,211051279,Monbulk - Silvan
973,211051280,Montrose
974,211051281,Mooroolbark
975,211051282,Mount Dandenong - Olinda
976,211051283,Mount Evelyn
977,211051284,Upwey - Tecoma
978,211051285,Wandin - Seville
979,211051286,Yarra Valley
980,212011289,Emerald - Cockatoo
981,212011546,Beaconsfield - Officer
982,212011547,Bunyip - Garfield
983,212011548,Koo Wee Rup
984,212011549,Pakenham - North East
985,212011550,Pakenham - North West
986,212011551,Pakenham - South East
987,212011552,Pakenham - South West
988,212021293,Berwick - North
989,212021295,Doveton
990,212021297,Hallam
991,212021299,Narre Warren North
992,212021453,Endeavour Hills - North
993,212021454,Endeavour Hills - South
994,212021455,Narre Warren - North East
995,212021456,Narre Warren - South West
996,212021553,Berwick - South East
997,212021554,Berwick - South West
998,212031300,Cranbourne
999,212031303,Cranbourne South
1000,212031304,Cranbourne West
1001,212031306,Lynbrook - Lyndhurst
1002,212031308,Pearcedale - Tooradin
1003,212031457,Narre Warren South - East
1004,212031458,Narre Warren South - West
1005,212031555,Clyde North - North
1006,212031556,Clyde North - South
1007,212031557,Cranbourne East - North
1008,212031558,Cranbourne East - South
1009,212031559,Cranbourne North - East
1010,212031560,Cranbourne North - West
1011,212031561,Hampton Park - East
1012,212031562,Hampton Park - West
1013,212041309,Clarinda - Oakleigh South
1014,212041310,Clayton South
1015,212041312,Dandenong North
1016,212041313,Dingley Village
1017,212041316,Noble Park North
1018,212041317,Springvale
1019,212041318,Springvale South
1020,212041459,Noble Park - East
1021,212041460,Noble Park - West
1022,212041563,Dandenong - North
1023,212041564,Dandenong - South
1024,212041565,Keysborough - North
1025,212041566,Keysborough - South
1026,212051319,Ashwood - Chadstone
1027,212051321,Glen Waverley - East
1028,212051322,Glen Waverley - West
1029,212051323,Mount Waverley - North
1030,212051324,Mount Waverley - South
1031,212051325,Mulgrave
1032,212051326,Oakleigh - Huntingdale
1033,212051327,Wheelers Hill
1034,212051567,Clayton (North) - Notting Hill
1035,212051568,Clayton - Central
1036,213011328,Ardeer - Albion
1037,213011329,Cairnlea
1038,213011331,Delahey
1039,213011332,Keilor Downs
1040,213011333,Kings Park (Vic.)
1041,213011334,St Albans - North
1042,213011335,St Albans - South
1043,213011336,Sunshine
1044,213011337,Sunshine North
1045,213011338,Sunshine West
1046,213011339,Sydenham
1047,213011340,Taylors Lakes
1048,213011569,Deer Park
1049,213011570,Derrimut
1050,213021341,Altona
1051,213021342,Altona Meadows
1052,213021343,Altona North
1053,213021344,Newport
1054,213021345,Seabrook
1055,213021346,Williamstown
1056,213031347,Braybrook
1057,213031348,Footscray
1058,213031349,Maribyrnong
1059,213031350,Seddon - Kingsville
1060,213031351,West Footscray - Tottenham
1061,213031352,Yarraville
1062,213041353,Bacchus Marsh
1063,213041358,Melton West
1064,213041359,Rockbank - Mount Cottrell
1065,213041360,Taylors Hill
1066,213041461,Burnside
1067,213041462,Burnside Heights
1068,213041463,Caroline Springs
1069,213041571,Brookfield
1070,213041572,Cobblebank - Strathtulloh
1071,213041573,Eynesbury - Exford
1072,213041574,Fraser Rise - Plumpton
1073,213041575,Hillside
1074,213041576,Kurunjang - Toolern Vale
1075,213041577,Melton
1076,213041578,Melton South - Weir Views
1077,213051361,Hoppers Crossing - North
1078,213051362,Hoppers Crossing - South
1079,213051363,Laverton
1080,213051368,Werribee - South
1081,213051464,Point Cook - East
1082,213051466,Point Cook - South
1083,213051467,Werribee - East
1084,213051468,Werribee - West
1085,213051579,Manor Lakes - Quandong
1086,213051580,Point Cook - North East
1087,213051581,Point Cook - North West
1088,213051582,Tarneit (West) - Mount Cottrell
1089,213051583,Tarneit - Central
1090,213051584,Tarneit - North
1091,213051585,Tarneit - South
1092,213051586,Truganina - North
1093,213051587,Truganina - South East
1094,213051588,Truganina - South West
1095,213051589,Wyndham Vale - North
1096,213051590,Wyndham Vale - South
1097,214011370,Carrum Downs
1098,214011371,Frankston
1099,214011372,Frankston North
1100,214011373,Frankston South
1101,214011374,Langwarrin
1102,214011375,Seaford (Vic.)
1103,214011376,Skye - Sandhurst
1104,214021377,Dromana
1105,214021378,Flinders
1106,214021379,Hastings - Somers
1107,214021381,Mount Eliza
1108,214021382,Mount Martha
1109,214021383,Point Nepean
1110,214021384,Rosebud - McCrae
1111,214021385,Somerville
1112,214021591,Mornington - East
1113,214021592,Mornington - West
1114,215011386,Ararat
1115,215011387,Ararat Surrounds
1116,215011388,Horsham
1117,215011389,Horsham Surrounds
1118,215011390,Nhill Region
1119,215011391,St Arnaud
1120,215011392,Stawell
1121,215011393,West Wimmera
1122,215011394,Yarriambiack
1123,215021395,Irymple
1124,215021396,Merbein
1125,215021398,Mildura Surrounds
1126,215021399,Red Cliffs
1127,215021469,Mildura - North
1128,215021470,Mildura - South
1129,215031400,Buloke
1130,215031401,Gannawarra
1131,215031402,Kerang
1132,215031403,Robinvale
1133,215031404,Swan Hill
1134,215031405,Swan Hill Surrounds
1135,216011406,Echuca
1136,216011407,Kyabram
1137,216011408,Lockington - Gunbower
1138,216011409,Rochester
1139,216011410,Rushworth
1140,216021411,Cobram
1141,216021412,Moira
1142,216021413,Numurkah
1143,216021414,Yarrawonga
1144,216031415,Mooroopna
1145,216031416,Shepparton - North
1146,216031418,Shepparton Surrounds - East
1147,216031419,Shepparton Surrounds - West
1148,216031593,Kialla
1149,216031594,Shepparton - South East
1150,217011420,Glenelg (Vic.)
1151,217011421,Hamilton (Vic.)
1152,217011422,Portland
1153,217011423,Southern Grampians
1154,217031471,Camperdown
1155,217031472,Colac
1156,217031473,Colac Surrounds
1157,217031474,Corangamite - North
1158,217031475,Corangamite - South
1159,217031476,Otway
1160,217041477,Moyne - East
1161,217041478,Moyne - West
1162,217041479,Warrnambool - North
1163,217041480,Warrnambool - South
