,name,coordinates,nearestSchool,nearestSchool_distance,Y,X,School_Name,real_distance,real_duration
0,101/25-33 Wills Street Melbourne VIC 3000,"[-37.8107757, 144.9569269]",Ozford College,0.3222,-37.81289,144.95442,Ozford College,0.7,1.7
1,2905B/11 Rose Lane Melbourne VIC 3000,"[-37.815446, 144.9541165]",Hester Hornbrook Academy,0.2163,-37.81654,144.95615,Hester Hornbrook Academy,0.9,2.3
2,1901/368 St Kilda Road Melbourne VIC 3000,"[-37.8318086, 144.9710272]",MacRobertson Girls High School,0.4589,-37.83589,144.97186,MacRobertson Girls High School,2.0,3.6
3,1211/200 Spencer Street Melbourne VIC 3000,"[-37.816228, 144.9532465]",Hester Hornbrook Academy,0.258,-37.81654,144.95615,Hester Hornbrook Academy,0.8,1.8
4,1008/380 Little Lonsdale Street Melbourne VIC 3000,"[-37.8121026, 144.9581291]",Ozford College,0.3381,-37.81289,144.95442,Ozford College,0.7,1.8
5,3/27 Flinders Lane Melbourne VIC 3000,"[-37.8147317, 144.9733655]",Stott's College,0.4319,-37.81154,144.97056,Stott's College,0.6,1.4
6,611/408 Lonsdale Street Melbourne VIC 3000,"[-37.8125979, 144.9604012]",Ozford College,0.5277,-37.81289,144.95442,Ozford College,0.9,2.1
7,102/9 Bligh Place Melbourne VIC 3000,"[-37.817317, 144.96371]",Hester Hornbrook Academy,0.6712,-37.81654,144.95615,Hester Hornbrook Academy,0.9,2.3
8,1715/220 Spencer Street Melbourne VIC 3000,"[-37.8157157, 144.9529559]",Hester Hornbrook Academy,0.2958,-37.81654,144.95615,Hester Hornbrook Academy,0.8,1.9
9,104/300 Swanston Street Melbourne VIC 3000,"[-37.8106088, 144.9645798]",Stott's College,0.5366,-37.81154,144.97056,Stott's College,0.7,2.1
10,Unit 1713/200 Spencer St Melbourne VIC 3000,"[-37.816228, 144.9532465]",Hester Hornbrook Academy,0.258,-37.81654,144.95615,Hester Hornbrook Academy,0.8,1.8
