,name,coordinates,nearestSchool,nearestSchool_distance,Y,X,School_Name,real_distance,real_duration
11,701/101 Therry St Melbourne VIC 3000,"[-37.8074149, 144.9591227]",River Nile School,0.4326,-37.80519,144.95509,River Nile School,0.6,1.3
12,816/101 Therry St Melbourne VIC 3000,"[-37.8074149, 144.9591227]",River Nile School,0.4326,-37.80519,144.95509,River Nile School,0.6,1.3
13,3902/220 Spencer Street Melbourne VIC 3000,"[-37.8157157, 144.9529559]",Hester Hornbrook Academy,0.2958,-37.81654,144.95615,Hester Hornbrook Academy,0.8,1.9
14,3405/288 Spencer Street Melbourne VIC 3000,"[-37.813775, 144.9520948]",Ozford College,0.2271,-37.81289,144.95442,Ozford College,0.4,1.4
15,1007/238 Flinders St Melbourne VIC 3000,"[-37.8175167, 144.9664983]",Stott's College,0.7536,-37.81154,144.97056,Stott's College,1.4,3.1
16,1211/260 Spencer Street Melbourne VIC 3000,"[-37.814564, 144.9522856]",Ozford College,0.2643,-37.81289,144.95442,Ozford College,0.6,1.4
17,504/350 La Trobe Street Melbourne VIC 3000,"[-37.8106785, 144.9592774]",Ozford College,0.4932,-37.81289,144.95442,Ozford College,0.6,1.7
18,1106/555 Flinders Street Melbourne VIC 3000,"[-37.8209711, 144.9564827]",Hester Hornbrook Academy,0.4927,-37.81654,144.95615,Hester Hornbrook Academy,1.4,3.2
19,5401/464 Collins Street Melbourne VIC 3000,"[-37.8175602, 144.9585916]",Hester Hornbrook Academy,0.243,-37.81654,144.95615,Hester Hornbrook Academy,0.5,1.0
20,625/118 Franklin Street Melbourne VIC 3000,"[-37.8082052, 144.9589035]",River Nile School,0.4741,-37.80519,144.95509,River Nile School,0.8,1.6
21,1206/118 Russell Street Melbourne VIC 3000,"[-37.8135864, 144.9687232]",Stott's College,0.2788,-37.81154,144.97056,Stott's College,0.4,1.1
22,1411/120 A Beckett St Melbourne VIC 3000,"[-37.8093086, 144.9597389]",River Nile School,0.6137,-37.80519,144.95509,River Nile School,0.9,1.7
23,5003/464-466 Collins Street Melbourne VIC 3000,"[-37.81755500000001, 144.958633]",Hester Hornbrook Academy,0.2459,-37.81654,144.95615,Hester Hornbrook Academy,0.4,0.9
24,912/87 Franklin Street Melbourne VIC 3000,"[-37.8079392, 144.9617069]",River Nile School,0.6578,-37.80519,144.95509,River Nile School,0.8,1.7
25,1011/225 Elizabeth Street Melbourne VIC 3000,"[-37.8132308, 144.9623173]",Hester Hornbrook Academy,0.6556,-37.81654,144.95615,Hester Hornbrook Academy,0.8,1.8
26,405/325 Collins Street Melbourne VIC 3000,"[-37.8166442, 144.9635498]",Hester Hornbrook Academy,0.6517,-37.81654,144.95615,Hester Hornbrook Academy,0.8,1.7
27,3108/500 Elizabeth St Melbourne VIC 3000,"[-37.8072443, 144.9602814]",River Nile School,0.5109,-37.80519,144.95509,River Nile School,0.8,1.5
28,55/1 Albert Road Melbourne VIC 3000,"[-37.833957, 144.972793]",MacRobertson Girls High School,0.2297,-37.83589,144.97186,MacRobertson Girls High School,0.7,2.0
29,228 La Trobe St Melbourne VIC 3000,"[-37.8097514, 144.9626141]",Stott's College,0.7273,-37.81154,144.97056,Stott's College,1.0,2.4
30,Unit 913/39 Lonsdale St Melbourne VIC 3000,"[-37.80992639999999, 144.9711317]",Holmes Grammar School,0.1085,-37.8103,144.97227,Holmes Grammar School,0.5,1.6
31,34/546 Flinders Street Melbourne VIC 3000,"[-37.8205058, 144.9561717]",Hester Hornbrook Academy,0.4402,-37.81654,144.95615,Hester Hornbrook Academy,1.0,2.1
32,211A/441 Lonsdale Street Melbourne VIC 3000,"[-37.8134292, 144.9594445]",Ozford College,0.4465,-37.81289,144.95442,Ozford College,0.7,1.8
33,2104/38 Rose Lane Melbourne VIC 3000,"[-37.8148884, 144.9542283]",Ozford College,0.2224,-37.81289,144.95442,Ozford College,0.4,1.0
34,1313/268 Flinders Street Melbourne VIC 3000,"[-37.8178134, 144.9655688]",Stott's College,0.8234,-37.81154,144.97056,Stott's College,1.3,2.9
35,2807/81 Abeckett Street Melbourne VIC 3000,"[-37.8092252, 144.9613779]",River Nile School,0.7122,-37.80519,144.95509,River Nile School,0.9,1.7
36,217/339 Swanston St Melbourne VIC 3000,"[-37.8103818, 144.9638079]",Stott's College,0.6083,-37.81154,144.97056,Stott's College,0.9,2.0
37,925/555 Flinders Street Melbourne VIC 3000,"[-37.8209711, 144.9564827]",Hester Hornbrook Academy,0.4927,-37.81654,144.95615,Hester Hornbrook Academy,1.4,3.2
38,Unit 1402/560 Lonsdale St Melbourne VIC 3000,"[-37.8140313, 144.9556025]",Ozford College,0.164,-37.81289,144.95442,Ozford College,0.5,1.2
39,2.01/15 Collins Street Melbourne VIC 3000,"[-37.8137378, 144.9733348]",Stott's College,0.3453,-37.81154,144.97056,Stott's College,0.5,1.2
40,29/400 Little Collins Street Melbourne VIC 3000,"[-37.815794, 144.961354]",Hester Hornbrook Academy,0.4656,-37.81654,144.95615,Hester Hornbrook Academy,0.6,1.2
41,711/500 Flinders Street Melbourne VIC 3000,"[-37.8200193, 144.9578273]",Hester Hornbrook Academy,0.4135,-37.81654,144.95615,Hester Hornbrook Academy,0.8,1.7
42,2302/135 Abeckett Street Melbourne VIC 3000,"[-37.8097879, 144.9596466]",Ozford College,0.5748,-37.81289,144.95442,Ozford College,0.8,1.8
43,908/500 Flinders Street Melbourne VIC 3000,"[-37.8200193, 144.9578273]",Hester Hornbrook Academy,0.4135,-37.81654,144.95615,Hester Hornbrook Academy,0.8,1.7
44,3604/568 Collins Street Melbourne VIC 3000,"[-37.8183759, 144.9554361]",Hester Hornbrook Academy,0.2132,-37.81654,144.95615,Hester Hornbrook Academy,1.0,2.2
45,22/187 Collins Street Melbourne VIC 3000,"[-37.81540469999999, 144.9678522]",Stott's College,0.4908,-37.81154,144.97056,Stott's College,1.3,3.1
46,508/616 Little Collins Street Street Melbourne VIC 3000,"[-37.8176151, 144.9543219]",Hester Hornbrook Academy,0.2004,-37.81654,144.95615,Hester Hornbrook Academy,0.8,2.0
47,7/7 Drewery Lane Melbourne VIC 3000,"[-37.8110742, 144.9639021]",Stott's College,0.5886,-37.81154,144.97056,Stott's College,0.8,1.8
48,305/594 St Kilda Road Melbourne VIC 3000,"[-37.8496926, 144.9796418]",Victorian College For The Deaf,0.235,-37.84977,144.98231,Victorian College For The Deaf,0.3,1.1
49,6/410 Queen Street Melbourne VIC 3000,"[-37.8090899, 144.9582169]",River Nile School,0.513,-37.80519,144.95509,River Nile School,0.8,1.8
50,10/17 Queens Road Melbourne VIC 3000,"[-37.839809, 144.9744569]",MacRobertson Girls High School,0.4914,-37.83589,144.97186,MacRobertson Girls High School,0.5,1.2
51,4804/568 Collins Street Melbourne VIC 3000,"[-37.8183759, 144.9554361]",Hester Hornbrook Academy,0.2132,-37.81654,144.95615,Hester Hornbrook Academy,1.0,2.2
52,208/268 Flinders St Melbourne VIC 3000,"[-37.8178134, 144.9655688]",Stott's College,0.8234,-37.81154,144.97056,Stott's College,1.3,2.9
53,394 Collins Street Melbourne VIC 3000,"[-37.816819, 144.9611835]",Hester Hornbrook Academy,0.4443,-37.81654,144.95615,Hester Hornbrook Academy,0.7,1.4
54,211B/399 Bourke Street Melbourne VIC 3000,"[-37.8147259, 144.9621291]",Hester Hornbrook Academy,0.5637,-37.81654,144.95615,Hester Hornbrook Academy,0.6,1.2
55,1609/398 Elizabeth Street Melbourne VIC 3000,"[-37.8093316, 144.9613227]",River Nile School,0.7159,-37.80519,144.95509,River Nile School,0.9,1.8
56,712/478 Saint Kilda Road Melbourne VIC 3000,"[-37.8425885, 144.9770385]",South Yarra Primary School,0.7678,-37.84135,144.98562,South Yarra Primary School,1.7,3.4
57,3203/35 Spring Street Melbourne VIC 3000,"[-37.8141725, 144.9740049]",Stott's College,0.4212,-37.81154,144.97056,Stott's College,0.6,1.5
58,1012/339 Swanston St Melbourne VIC 3000,"[-37.8103818, 144.9638079]",Stott's College,0.6083,-37.81154,144.97056,Stott's College,0.9,2.0
59,251/350 St Kilda Road Melbourne VIC 3000,"[-37.831142, 144.9708545]",MacRobertson Girls High School,0.5344,-37.83589,144.97186,MacRobertson Girls High School,2.0,3.7
60,4203/35 Spring Street Melbourne VIC 3000,"[-37.8141725, 144.9740049]",Stott's College,0.4212,-37.81154,144.97056,Stott's College,0.6,1.5
61,2206/288 Spencer Street Melbourne VIC 3000,"[-37.813775, 144.9520948]",Ozford College,0.2271,-37.81289,144.95442,Ozford College,0.4,1.4
62,2707/288 Spencer Street Melbourne VIC 3000,"[-37.813775, 144.9520948]",Ozford College,0.2271,-37.81289,144.95442,Ozford College,0.4,1.4
63,Studio/480 Elizabeth Street Melbourne VIC 3000,"[-37.8075067, 144.9604861]",River Nile School,0.5403,-37.80519,144.95509,River Nile School,0.8,1.7
64,1012/605 St Kilda Road Melbourne VIC 3000,"[-37.85091269999999, 144.9814593]",Victorian College For The Deaf,0.1473,-37.84977,144.98231,Victorian College For The Deaf,0.8,1.5
65,719/555 St Kilda Road Melbourne VIC 3000,"[-37.8470517, 144.9806745]",Wesley College,0.2358,-37.84883,144.98214,Wesley College,0.3,0.8
66,1604/565 Flinders Street Melbourne VIC 3000,"[-37.8210586, 144.9559072]",Hester Hornbrook Academy,0.502,-37.81654,144.95615,Hester Hornbrook Academy,1.2,2.7
67,808/181 ABeckett Street Melbourne VIC 3000,"[-37.8101564, 144.9581958]",Ozford College,0.4501,-37.81289,144.95442,Ozford College,0.6,1.4
68,5407/60 A'Beckett Street Melbourne VIC 3000,"[-37.8087388, 144.9614417]",River Nile School,0.6841,-37.80519,144.95509,River Nile School,1.0,2.0
69,1601/35 Spring Street Melbourne VIC 3000,"[-37.8141725, 144.9740049]",Stott's College,0.4212,-37.81154,144.97056,Stott's College,0.6,1.5
70,802/455 Elizabeth Street Melbourne VIC 3000,"[-37.8084293, 144.9602064]",River Nile School,0.5764,-37.80519,144.95509,River Nile School,0.7,1.4
71,509/228 A'Beckett Street Melbourne VIC 3000,"[-37.8103101, 144.9566423]",Ozford College,0.3468,-37.81289,144.95442,Ozford College,0.5,1.2
72,4006/33 Rose Lane Melbourne VIC 3000,"[-37.8150137, 144.9538694]",Ozford College,0.2406,-37.81289,144.95442,Ozford College,0.4,1.1
73,410/576-578 St Kilda Road Melbourne VIC 3000,"[-37.8484163, 144.9794055]",Wesley College,0.245,-37.84883,144.98214,Wesley College,0.3,0.6
74,241/538 Little Lonsdale Street Melbourne VIC 3000,"[-37.8136966, 144.953207]",Ozford College,0.1394,-37.81289,144.95442,Ozford College,0.3,1.0
75,4807/500 Elizabeth Street Melbourne VIC 3000,"[-37.8072443, 144.9602814]",River Nile School,0.5109,-37.80519,144.95509,River Nile School,0.8,1.5
76,3413/22-24 Jane Bell Lane Melbourne VIC 3000,"[-37.8102205, 144.9662652]",Stott's College,0.4056,-37.81154,144.97056,Stott's College,0.6,1.4
77,604/118 Russell Street Melbourne VIC 3000,"[-37.8135864, 144.9687232]",Stott's College,0.2788,-37.81154,144.97056,Stott's College,0.4,1.1
78,57/398 La Trobe Street Melbourne VIC 3000,"[-37.8109426, 144.9578145]",Ozford College,0.3689,-37.81289,144.95442,Ozford College,0.6,1.8
79,6209/568 Collins Street Melbourne VIC 3000,"[-37.8183759, 144.9554361]",Hester Hornbrook Academy,0.2132,-37.81654,144.95615,Hester Hornbrook Academy,1.0,2.2
80,3502/318 Russell Street Melbourne VIC 3000,"[-37.8091709, 144.966801]",Stott's College,0.4227,-37.81154,144.97056,Stott's College,0.7,1.7
81,3507/568 Collins Street Melbourne VIC 3000,"[-37.8183759, 144.9554361]",Hester Hornbrook Academy,0.2132,-37.81654,144.95615,Hester Hornbrook Academy,1.0,2.2
82,1102/22 Coromandel Place Melbourne VIC 3000,"[-37.8130748, 144.9692397]",Stott's College,0.2062,-37.81154,144.97056,Stott's College,0.6,1.5
83,1403/279-289 La Trobe Street Melbourne VIC 3000,"[-37.810613, 144.960839]",Ozford College,0.6192,-37.81289,144.95442,Ozford College,0.7,1.8
84,912/181 ABeckett Street Melbourne VIC 3000,"[-37.8101564, 144.9581958]",Ozford College,0.4501,-37.81289,144.95442,Ozford College,0.6,1.4
85,204/408 Lonsdale Street Melbourne VIC 3000,"[-37.8125979, 144.9604012]",Ozford College,0.5277,-37.81289,144.95442,Ozford College,0.9,2.1
86,2403/380 Little Lonsdale Street Melbourne VIC 3000,"[-37.8121026, 144.9581291]",Ozford College,0.3381,-37.81289,144.95442,Ozford College,0.7,1.8
87,204/327 La Trobe Street Melbourne VIC 3000,"[-37.8110521, 144.9597639]",Ozford College,0.5129,-37.81289,144.95442,Ozford College,0.7,1.8
88,2614/350 William Street Melbourne VIC 3000,"[-37.8112344, 144.9564823]",Ozford College,0.2584,-37.81289,144.95442,Ozford College,0.3,0.9
89,1905/36 La Trobe Street Melbourne VIC 3000,"[-37.8081637, 144.967594]",Stott's College,0.4568,-37.81154,144.97056,Stott's College,0.5,1.3
90,306/33 Rose Lane Melbourne VIC 3000,"[-37.8150137, 144.9538694]",Ozford College,0.2406,-37.81289,144.95442,Ozford College,0.4,1.1
91,1109/601 Little Collins Street Melbourne VIC 3000,"[-37.8179283, 144.9548393]",Hester Hornbrook Academy,0.1925,-37.81654,144.95615,Hester Hornbrook Academy,0.7,1.8
92,412/7 Katherine Place Melbourne VIC 3000,"[-37.8201858, 144.9564628]",Hester Hornbrook Academy,0.4056,-37.81654,144.95615,Hester Hornbrook Academy,0.9,2.0
93,1201/118-134 ABeckett Street Melbourne VIC 3000,"[-37.809359, 144.959739]",Ozford College,0.6107,-37.81289,144.95442,Ozford College,0.8,1.8
94,2606/157 A'beckett street Melbourne VIC 3000,"[-37.8099156, 144.9591846]",Ozford College,0.5339,-37.81289,144.95442,Ozford College,0.7,1.6
95,818/139 Lonsdale Street Melbourne VIC 3000,"[-37.8107954, 144.9683039]",Stott's College,0.2152,-37.81154,144.97056,Stott's College,0.6,1.5
96,304/58 La Trobe Street Melbourne VIC 3000,"[-37.8084287, 144.9670537]",Stott's College,0.4632,-37.81154,144.97056,Stott's College,0.6,1.3
97,208/565 Flinders Street Melbourne VIC 3000,"[-37.8210586, 144.9559072]",Hester Hornbrook Academy,0.502,-37.81654,144.95615,Hester Hornbrook Academy,1.2,2.7
98,4507/318 Russell Street Melbourne VIC 3000,"[-37.8091709, 144.966801]",Stott's College,0.4227,-37.81154,144.97056,Stott's College,0.7,1.7
99,1412/25 Therry Street Melbourne VIC 3000,"[-37.8069574, 144.9610991]",River Nile School,0.5644,-37.80519,144.95509,River Nile School,0.7,1.5
100,18/300 King Street Melbourne VIC 3000,"[-37.8132242, 144.9546495]",Ozford College,0.0422,-37.81289,144.95442,Ozford College,0.3,0.8
101,924/555 Flinders Street Melbourne VIC 3000,"[-37.8209711, 144.9564827]",Hester Hornbrook Academy,0.4927,-37.81654,144.95615,Hester Hornbrook Academy,1.4,3.2
102,5206/318 Russell Street Melbourne VIC 3000,"[-37.8091709, 144.966801]",Stott's College,0.4227,-37.81154,144.97056,Stott's College,0.7,1.7
103,2912/350 William Street Melbourne VIC 3000,"[-37.8112344, 144.9564823]",Ozford College,0.2584,-37.81289,144.95442,Ozford College,0.3,0.9
104,2511/155 Franklin Street Melbourne VIC 3000,"[-37.8088259, 144.9595488]",River Nile School,0.5631,-37.80519,144.95509,River Nile School,0.9,1.7
105,2913/350 William Street Melbourne VIC 3000,"[-37.8112344, 144.9564823]",Ozford College,0.2584,-37.81289,144.95442,Ozford College,0.3,0.9
106,2008/228 La Trobe Street Melbourne VIC 3000,"[-37.8097514, 144.9626141]",Stott's College,0.7273,-37.81154,144.97056,Stott's College,1.0,2.4
107,2905/483 Swanston Street Melbourne VIC 3000,"[-37.8072179, 144.9623358]",River Nile School,0.6766,-37.80519,144.95509,River Nile School,0.9,1.8
108,308/65 Elizabeth Street Melbourne VIC 3000,"[-37.8167854, 144.964073]",Hester Hornbrook Academy,0.6982,-37.81654,144.95615,Hester Hornbrook Academy,1.0,1.9
109,1002/233 Collins St Melbourne VIC 3000,"[-37.8160052, 144.9661758]",Stott's College,0.6282,-37.81154,144.97056,Stott's College,1.3,2.9
110,1306/618 Lonsdale Street Melbourne VIC 3000,"[-37.8142509, 144.9539845]",Ozford College,0.1558,-37.81289,144.95442,Ozford College,0.3,1.2
111,120 Abekcett Street Melbourne VIC 3000,"[-37.8093086, 144.9597389]",River Nile School,0.6137,-37.80519,144.95509,River Nile School,0.9,1.7
112,1506B/639 Little Lonsdale Street Melbourne VIC 3000,"[-37.8141942, 144.9521662]",Ozford College,0.2456,-37.81289,144.95442,Ozford College,0.4,1.4
113,2707B/639 Little Lonsdale Street Melbourne VIC 3000,"[-37.8141942, 144.9521662]",Ozford College,0.2456,-37.81289,144.95442,Ozford College,0.4,1.4
114,1215/39 Lonsdale Street Melbourne VIC 3000,"[-37.80992639999999, 144.9711317]",Holmes Grammar School,0.1085,-37.8103,144.97227,Holmes Grammar School,0.5,1.6
115,5803/370 Queen Street Melbourne VIC 3000,"[-37.8101314, 144.9587648]",Ozford College,0.49,-37.81289,144.95442,Ozford College,0.6,1.6
116,1016/233 Collins St Melbourne VIC 3000,"[-37.8160052, 144.9661758]",Stott's College,0.6282,-37.81154,144.97056,Stott's College,1.3,2.9
117,4501/33 Rose Lane Melbourne VIC 3000,"[-37.8150137, 144.9538694]",Ozford College,0.2406,-37.81289,144.95442,Ozford College,0.4,1.1
118,2803/483 Swanston Street Melbourne VIC 3000,"[-37.8072179, 144.9623358]",River Nile School,0.6766,-37.80519,144.95509,River Nile School,0.9,1.8
119,201/108 Flinders Street Melbourne VIC 3000,"[-37.8161924, 144.971196]",Stott's College,0.5194,-37.81154,144.97056,Stott's College,0.6,1.4
120,2105/39 Lonsdale Street Melbourne VIC 3000,"[-37.80992639999999, 144.9711317]",Holmes Grammar School,0.1085,-37.8103,144.97227,Holmes Grammar School,0.5,1.6
121,2803/318 Russell Street Melbourne VIC 3000,"[-37.8091709, 144.966801]",Stott's College,0.4227,-37.81154,144.97056,Stott's College,0.7,1.7
122,135 Abekcett Street Melbourne VIC 3000,"[-37.8097879, 144.9596466]",Ozford College,0.5748,-37.81289,144.95442,Ozford College,0.8,1.8
123,907/270 King Street Melbourne VIC 3000,"[-37.813751, 144.9550317]",Ozford College,0.1097,-37.81289,144.95442,Ozford College,0.4,1.3
124,2401/8 Franklin Street Melbourne VIC 3000,"[-37.8074591, 144.9619559]",River Nile School,0.655,-37.80519,144.95509,River Nile School,0.9,1.7
125,3104/22 Jane Bell Lane Melbourne VIC 3000,"[-37.8102205, 144.9662652]",Stott's College,0.4056,-37.81154,144.97056,Stott's College,0.6,1.4
126,205/500 Flinders Street Melbourne VIC 3000,"[-37.8200193, 144.9578273]",Hester Hornbrook Academy,0.4135,-37.81654,144.95615,Hester Hornbrook Academy,0.8,1.7
127,1204/333 Exhibition St Melbourne VIC 3000,"[-37.8078948, 144.9685862]",Holmes Grammar School,0.4201,-37.8103,144.97227,Holmes Grammar School,0.9,2.2
128,0614/233 Collins St Melbourne VIC 3000,"[-37.8160052, 144.9661758]",Stott's College,0.6282,-37.81154,144.97056,Stott's College,1.3,2.9
129,2402/11 Rose Lane Melbourne VIC 3000,"[-37.815446, 144.9541165]",Hester Hornbrook Academy,0.2163,-37.81654,144.95615,Hester Hornbrook Academy,0.9,2.3
130,CARPARK/200 Spencer Street Melbourne VIC 3000,"[-37.8163003, 144.953168]",Hester Hornbrook Academy,0.2639,-37.81654,144.95615,Hester Hornbrook Academy,0.8,1.8
131,1108/68 La Trobe Street Melbourne VIC 3000,"[-37.8083648, 144.9667899]",Stott's College,0.4842,-37.81154,144.97056,Stott's College,0.6,1.3
132,1707/243 Franklin Street Melbourne VIC 3000,"[-37.809763, 144.9569891]",Ozford College,0.4143,-37.81289,144.95442,Ozford College,0.7,1.6
133,4703/560 Lonsdale Street Melbourne VIC 3000,"[-37.8140313, 144.9556025]",Ozford College,0.164,-37.81289,144.95442,Ozford College,0.5,1.2
134,204/445 Elizabeth Street Melbourne VIC 3000,"[-37.8086858, 144.9602751]",River Nile School,0.5992,-37.80519,144.95509,River Nile School,1.0,1.9
135,233 Collins Street Melbourne VIC 3000,"[-37.8160052, 144.9661758]",Stott's College,0.6282,-37.81154,144.97056,Stott's College,1.3,2.9
136,2108/11 Rose Lane Melbourne VIC 3000,"[-37.815446, 144.9541165]",Hester Hornbrook Academy,0.2163,-37.81654,144.95615,Hester Hornbrook Academy,0.9,2.3
137,2806/27 Lt Collins Street Melbourne VIC 3000,"[-37.8128985, 144.9727786]",Stott's College,0.2468,-37.81154,144.97056,Stott's College,0.4,1.1
138,2901/11 Rose Lane Melbourne VIC 3000,"[-37.815446, 144.9541165]",Hester Hornbrook Academy,0.2163,-37.81654,144.95615,Hester Hornbrook Academy,0.9,2.3
139,2102/25 Therry Street Melbourne VIC 3000,"[-37.8069574, 144.9610991]",River Nile School,0.5644,-37.80519,144.95509,River Nile School,0.7,1.5
140,4808/639 Little Lonsdale Street Melbourne VIC 3000,"[-37.8141942, 144.9521662]",Ozford College,0.2456,-37.81289,144.95442,Ozford College,0.4,1.4
141,1207/268 Flinders Street Melbourne VIC 3000,"[-37.8178134, 144.9655688]",Stott's College,0.8234,-37.81154,144.97056,Stott's College,1.3,2.9
142,1603/565 Flinders Street Melbourne VIC 3000,"[-37.8210586, 144.9559072]",Hester Hornbrook Academy,0.502,-37.81654,144.95615,Hester Hornbrook Academy,1.2,2.7
143,508/455 Elizabeth Street Melbourne VIC 3000,"[-37.8084293, 144.9602064]",River Nile School,0.5764,-37.80519,144.95509,River Nile School,0.7,1.4
144,Carpark/33 Rose Lane Melbourne VIC 3000,"[-37.8154398, 144.9540383]",Hester Hornbrook Academy,0.2225,-37.81654,144.95615,Hester Hornbrook Academy,0.9,2.3
145,5901/462 Elizabeth St Melbourne VIC 3000,"[-37.807859, 144.960611]",River Nile School,0.5693,-37.80519,144.95509,River Nile School,0.8,1.6
146,313/140 Little Collins Street Melbourne VIC 3000,"[-37.813462799999996, 144.969041]",Stott's College,0.2519,-37.81154,144.97056,Stott's College,0.5,1.2
147,1206/639 Little Lonsdale Street Melbourne VIC 3000,"[-37.8141942, 144.9521662]",Ozford College,0.2456,-37.81289,144.95442,Ozford College,0.4,1.4
148,309/402-408 La Trobe Street Melbourne VIC 3000,"[-37.8111586, 144.9577218]",Ozford College,0.3485,-37.81289,144.95442,Ozford College,0.6,1.8
149,1503/181 ABeckett Street Melbourne VIC 3000,"[-37.8101564, 144.9581958]",Ozford College,0.4501,-37.81289,144.95442,Ozford College,0.6,1.4
150,3304/639 Lonsdale Street Melbourne VIC 3000,"[-37.8150689, 144.9534096]",Ozford College,0.2577,-37.81289,144.95442,Ozford College,0.7,1.7
151,3711/157 Abeckett Street Melbourne VIC 3000,"[-37.8099156, 144.9591846]",Ozford College,0.5339,-37.81289,144.95442,Ozford College,0.7,1.6
152,2606/483 Swanston Street Melbourne VIC 3000,"[-37.8072179, 144.9623358]",River Nile School,0.6766,-37.80519,144.95509,River Nile School,0.9,1.8
153,5008/639 Little lonsdale street Melbourne VIC 3000,"[-37.8141942, 144.9521662]",Ozford College,0.2456,-37.81289,144.95442,Ozford College,0.4,1.4
154,2304/250 Elizabeth Street Melbourne VIC 3000,"[-37.812564, 144.9628184]",Stott's College,0.6911,-37.81154,144.97056,Stott's College,1.1,2.2
155,2504/442 Elizabeth Street Melbourne VIC 3000,"[-37.8082901, 144.9608496]",River Nile School,0.6129,-37.80519,144.95509,River Nile School,0.7,1.4
156,0203/233 Collins St Melbourne VIC 3000,"[-37.8160052, 144.9661758]",Stott's College,0.6282,-37.81154,144.97056,Stott's College,1.3,2.9
157,7021Y/220 Spencer Street Melbourne VIC 3000,"[-37.8157157, 144.9529559]",Hester Hornbrook Academy,0.2958,-37.81654,144.95615,Hester Hornbrook Academy,0.8,1.9
158,1501/568 St Kilda Road Melbourne VIC 3000,"[-37.8471627, 144.978741]",Wesley College,0.3518,-37.84883,144.98214,Wesley College,0.4,0.8
159,1903/462 Elizabeth St Melbourne VIC 3000,"[-37.807859, 144.960611]",River Nile School,0.5693,-37.80519,144.95509,River Nile School,0.8,1.6
160,1510/22-24 Jane Bell Lane Melbourne VIC 3000,"[-37.8102205, 144.9662652]",Stott's College,0.4056,-37.81154,144.97056,Stott's College,0.6,1.4
161,1104/23 Mackenzie Street Melbourne VIC 3000,"[-37.8075453, 144.9673268]",Stott's College,0.5269,-37.81154,144.97056,Stott's College,0.7,1.7
162,402/33 Rose Lane Melbourne VIC 3000,"[-37.8150137, 144.9538694]",Ozford College,0.2406,-37.81289,144.95442,Ozford College,0.4,1.1
163,206/639 Little Bourke Street Melbourne VIC 3000,"[-37.8161004, 144.9535691]",Hester Hornbrook Academy,0.2324,-37.81654,144.95615,Hester Hornbrook Academy,0.9,2.1
164,603/2 Queen Street Melbourne VIC 3000,"[-37.8185746, 144.9627257]",Hester Hornbrook Academy,0.6215,-37.81654,144.95615,Hester Hornbrook Academy,1.0,2.2
165,803/228 Abeckett Street Melbourne VIC 3000,"[-37.8103101, 144.9566423]",Ozford College,0.3468,-37.81289,144.95442,Ozford College,0.5,1.2
166,1214/22-24 Jane Bell Lane Melbourne VIC 3000,"[-37.8102205, 144.9662652]",Stott's College,0.4056,-37.81154,144.97056,Stott's College,0.6,1.4
167,500 FLINDERS STREET Melbourne VIC 3000,"[-37.8200193, 144.9578273]",Hester Hornbrook Academy,0.4135,-37.81654,144.95615,Hester Hornbrook Academy,0.8,1.7
168,215/181 Exhibition Street Melbourne VIC 3000,"[-37.8114561, 144.970058]",Stott's College,0.0452,-37.81154,144.97056,Stott's College,0.1,0.4
