,postcodes,SA2_names
1,3000,Melbourne
2,3001,Melbourne
3,3002,East Melbourne
4,3003,West Melbourne
5,3004,Southbank
6,3004,South Yarra - West
7,3004,South Yarra - West
8,3005,Docklands
9,3006,Southbank
10,3006,South Melbourne
11,3008,Docklands
12,3010,Parkville
13,3011,Footscray
14,3011,Seddon - Kingsville
15,3011,Seddon - Kingsville
16,3012,Sunshine West
17,3012,Seddon - Kingsville
18,3012,Seddon - Kingsville
19,3012,Braybrook
20,3012,West Footscray - Tottenham
21,3012,West Footscray - Tottenham
22,3013,Yarraville
23,3013,Yarraville
24,3015,Newport
25,3015,Newport
26,3015,Newport
27,3016,Williamstown
28,3016,Williamstown
29,3018,Altona
30,3018,Altona
31,3019,Braybrook
32,3019,Braybrook
33,3019,Braybrook
34,3020,Ardeer - Albion
35,3020,Sunshine West
36,3020,Sunshine
37,3020,Sunshine North
38,3020,Sunshine West
39,3021,Kings Park (Vic.)
40,3021,Keilor Downs
41,3021,Kings Park (Vic.)
42,3021,St Albans - North
43,3022,Ardeer - Albion
44,3022,Ardeer - Albion
45,3023,Burnside
46,3023,Burnside Heights
47,3023,Cairnlea
48,3023,Caroline Springs
49,3023,Deer Park - Derrimut
50,3023,Deer Park - Derrimut
51,3023,Rockbank - Mount Cottrell
52,3024,Rockbank - Mount Cottrell
53,3024,Werribee - West
54,3024,Wyndham Vale
55,3024,Tarneit
56,3024,Wyndham Vale
57,3025,Altona North
58,3025,Altona North
59,3025,Altona North
60,3026,Deer Park - Derrimut
61,3026,Laverton
62,3027,Laverton
63,3027,Laverton
64,3027,Point Cook - East
65,3028,Altona Meadows
66,3028,Laverton
67,3028,Seabrook
68,3029,Hoppers Crossing - North
69,3029,Tarneit
70,3029,Truganina
71,3030,Deer Park - Derrimut
72,3030,Werribee - South
73,3030,Point Cook - South
74,3030,Wyndham Vale
75,3030,Werribee - South
76,3030,Werribee - South
77,3031,Flemington
78,3031,Kensington (Vic.)
79,3032,Ascot Vale
80,3032,Maribyrnong
81,3032,Maribyrnong
82,3032,Flemington
83,3033,Keilor
84,3034,Keilor East
85,3036,Keilor
86,3036,Taylors Lakes
87,3037,Taylors Lakes
88,3037,Delahey
89,3037,Hillside
90,3037,Hillside
91,3037,Sydenham
92,3037,Taylors Hill
93,3038,Keilor Downs
94,3038,Taylors Lakes
95,3038,Taylors Lakes
96,3038,Taylors Lakes
97,3039,Moonee Ponds
98,3040,Essendon - Aberfeldie
99,3040,Essendon - Aberfeldie
100,3040,Niddrie - Essendon West
101,3041,Essendon Airport
102,3041,Essendon - Aberfeldie
103,3041,Strathmore
104,3041,Strathmore
105,3042,Airport West
106,3042,Keilor
107,3042,Niddrie - Essendon West
108,3042,Niddrie - Essendon West
109,3043,Gladstone Park - Westmeadows
110,3043,Gowanbrae
111,3043,Tullamarine
112,3044,Pascoe Vale
113,3044,Pascoe Vale South
114,3045,Melbourne Airport
115,3046,Glenroy
116,3046,Hadfield
117,3046,Pascoe Vale
118,3047,Broadmeadows
119,3047,Campbellfield - Coolaroo
120,3047,Broadmeadows
121,3048,Campbellfield - Coolaroo
122,3048,Meadow Heights
123,3049,Gladstone Park - Westmeadows
124,3049,Gladstone Park - Westmeadows
125,3050,Parkville
126,3051,North Melbourne
127,3051,North Melbourne
128,3052,Parkville
129,3052,Parkville
130,3053,Carlton
131,3053,Carlton
132,3054,Carlton North - Princes Hill
133,3054,Carlton North - Princes Hill
134,3055,Brunswick
135,3055,Brunswick West
136,3055,Brunswick West
137,3055,Brunswick West
138,3056,Brunswick
139,3056,Brunswick
140,3056,Brunswick
141,3057,Brunswick East
142,3057,Brunswick East
143,3057,Brunswick East
144,3058,Coburg
145,3058,Coburg
146,3058,Coburg North
147,3058,Coburg North
148,3058,Coburg
149,3059,Greenvale - Bulla
150,3060,Fawkner
151,3060,Fawkner
152,3060,Fawkner
153,3061,Campbellfield - Coolaroo
154,3062,Roxburgh Park - Somerton
155,3063,Greenvale - Bulla
156,3063,Mickleham - Yuroke
157,3064,Craigieburn - Central
158,3064,Whittlesea
159,3064,Mickleham - Yuroke
