Suburb/town(2018),1 Bed Flat,,,2 Bed Flat,,,2 Bed House,,,3 Bed House,,
,Count,Median,Annual,Count,Median,Annual,Count,Median,Annual,Count,Median,Annual
,,,% change,,,% change,,,% change,,,% change
Albert Park-Middle Park-West St Kilda,247,$350,0.00%,217,$500,4.20%,142,$675,3.80%,131,$950,6.10%
Armadale,242,$360,2.90%,415,$500,11.10%,33,$650,4.80%,66,$900,3.40%
Carlton North,73,$350,0.00%,101,$485,2.10%,103,$580,5.50%,66,$750,4.20%
Carlton-Parkville,"2,837",$390,8.30%,"1,131",$520,2.00%,56,$550,5.80%,70,$778,4.40%
CBD-St Kilda Rd,"5,151",$430,4.90%,"4,567",$590,2.30%,13,$429,-3.60%,-,-,-
Collingwood-Abbotsford,729,$400,2.60%,754,$540,5.90%,119,$600,6.60%,78,$753,4.60%
Docklands,"1,092",$450,1.10%,"1,296",$620,3.30%,-,-,-,-,-,-
East Melbourne,222,$400,0.00%,177,$580,5.50%,-,-,-,-,-,-
East St Kilda,550,$325,4.80%,798,$430,3.60%,43,$595,2.60%,68,$748,-0.10%
Elwood,475,$340,3.00%,877,$460,4.50%,16,$610,-2.90%,52,$870,1.80%
Fitzroy,218,$415,5.60%,203,$600,4.30%,78,$643,9.40%,36,$835,11.30%
Fitzroy North-Clifton Hill,221,$350,0.00%,250,$490,2.10%,163,$590,3.50%,121,$770,6.20%
Flemington-Kensington,388,$360,2.90%,578,$410,2.50%,168,$500,4.20%,136,$600,3.40%
North Melbourne-West Melbourne,"1,303",$390,6.00%,"1,010",$530,8.20%,70,$540,0.00%,80,$685,-2.10%
Port Melbourne,277,$440,2.30%,444,$600,5.30%,124,$600,3.80%,181,$800,0.00%
Prahran-Windsor,"1,094",$350,2.90%,713,$500,2.00%,194,$625,4.50%,149,$810,2.50%
Richmond-Burnley,"1,017",$400,3.90%,885,$550,3.80%,344,$600,0.30%,298,$778,3.70%
South Melbourne,471,$415,3.80%,509,$550,1.90%,90,$600,9.10%,60,$790,-7.10%
South Yarra,"1,636",$395,3.90%,"1,463",$560,3.70%,84,$635,-2.30%,114,$889,-2.30%
Southbank,"1,339",$440,2.30%,"1,848",$580,2.70%,-,-,-,-,-,-
St Kilda,"1,328",$360,1.40%,"1,193",$490,4.30%,42,$590,0.00%,47,$750,1.60%
Toorak,198,$340,1.50%,305,$495,1.00%,14,$648,-0.30%,55,"$1,150",15.60%
Balwyn,70,$380,5.60%,273,$425,0.00%,33,$430,5.40%,206,$550,0.00%
Blackburn,140,$350,2.90%,224,$400,0.00%,42,$390,-2.50%,267,$450,4.70%
Box Hill,632,$295,13.50%,"1,144",$450,12.50%,61,$400,1.30%,300,$473,5.10%
Bulleen-Templestowe-Doncaster,171,$370,2.80%,571,$440,2.30%,31,$395,1.30%,413,$480,4.30%
Burwood-Ashburton,317,$230,0.00%,260,$450,4.70%,66,$425,8.10%,270,$500,7.50%
Camberwell-Glen Iris,322,$355,4.40%,776,$450,4.70%,52,$525,5.00%,239,$650,0.00%
Canterbury-Surrey Hills-Mont Albert,23,$370,1.90%,360,$430,2.40%,32,$468,5.20%,101,$650,2.40%
Chadstone-Oakleigh,97,$380,8.60%,334,$415,3.80%,47,$410,5.10%,234,$450,2.30%
Clayton,417,$270,3.80%,616,$385,2.70%,45,$385,1.30%,216,$433,0.70%
Doncaster East-Donvale,29,$350,0.00%,180,$413,3.30%,17,$400,1.30%,272,$453,0.70%
East Hawthorn,314,$365,4.30%,470,$450,2.30%,44,$590,1.70%,73,$700,-2.80%
Glen Waverley-Mulgrave,41,$360,1.40%,194,$410,2.50%,30,$400,2.60%,702,$450,1.10%
Hawthorn,"1,010",$315,1.60%,847,$450,4.70%,50,$585,2.60%,80,$713,1.90%
Kew,81,$380,1.30%,551,$430,2.40%,48,$520,-1.90%,168,$655,2.30%
Mount Waverley,15,$350,9.40%,165,$405,2.50%,23,$375,-6.30%,289,$470,4.40%
Nunawading-Mitcham,82,$330,3.10%,286,$385,4.10%,49,$390,2.60%,242,$430,0.00%
Vermont-Forest Hill-Burwood East,29,$250,-18.80%,144,$388,3.50%,34,$400,11.10%,359,$440,3.50%
Aspendale-Chelsea-Carrum,48,$310,3.30%,506,$380,5.60%,71,$400,10.20%,325,$460,2.20%
Bentleigh,226,$315,5.00%,844,$440,7.30%,89,$450,2.30%,485,$550,3.80%
Brighton,83,$400,2.60%,355,$540,3.80%,35,$620,3.70%,102,$915,6.00%
Brighton East,-,-,-,68,$460,2.20%,27,$520,-1.70%,104,$670,3.10%
Carnegie,355,$300,1.70%,604,$440,3.50%,18,$430,-4.40%,68,$550,-1.40%
Caulfield,539,$300,3.40%,906,$450,2.50%,69,$520,6.60%,175,$660,5.90%
Cheltenham,148,$350,9.40%,765,$415,5.10%,61,$440,-0.70%,470,$525,1.90%
Elsternwick,219,$325,1.60%,311,$450,3.40%,12,$560,14.30%,58,$755,10.70%
Hampton-Beaumaris,151,$350,4.50%,392,$475,2.20%,41,$530,3.90%,220,$725,3.90%
Malvern,102,$350,-2.80%,206,$460,7.00%,16,$630,2.40%,56,$800,6.70%
Malvern East,391,$285,0.00%,346,$435,3.60%,40,$478,1.10%,133,$600,0.80%
Mentone-Parkdale-Mordialloc,281,$300,3.40%,608,$400,2.60%,48,$438,0.70%,190,$540,3.80%
Murrumbeena-Hughesdale,233,$300,3.40%,365,$425,1.20%,29,$420,-4.50%,82,$533,12.20%
Altona,85,$290,11.50%,609,$350,6.10%,138,$360,5.90%,"1,373",$385,2.70%
Footscray,451,$270,0.00%,583,$390,5.40%,121,$450,7.10%,147,$495,5.30%
Keilor East-Avondale Heights,158,$340,3.00%,421,$400,1.30%,36,$400,11.10%,352,$430,7.50%
Melton,31,$328,2.50%,118,$270,3.80%,29,$275,5.80%,"1,036",$320,6.70%
Newport-Spotswood,68,$298,7.20%,161,$360,2.90%,98,$450,0.00%,244,$510,-1.90%
St Albans-Deer Park,50,$250,8.70%,341,$320,6.70%,62,$320,3.20%,927,$350,2.90%
Sunshine,122,$240,4.30%,313,$315,5.00%,87,$320,0.00%,613,$350,2.90%
Sydenham,-,-,-,154,$350,2.90%,62,$350,2.90%,919,$390,4.00%
Werribee-Hoppers Crossing,68,$290,16.00%,583,$310,6.90%,162,$315,5.00%,"2,647",$350,2.90%
West Footscray,160,$260,4.00%,411,$360,5.90%,113,$370,-2.60%,317,$420,2.40%
Williamstown,68,$335,4.70%,145,$390,8.30%,56,$495,3.10%,140,$650,9.20%
Yarraville-Seddon,192,$300,9.10%,312,$380,8.60%,247,$480,3.20%,339,$550,2.80%
Broadmeadows-Roxburgh Park,51,$255,8.50%,224,$340,3.00%,57,$340,6.30%,798,$360,2.90%
Brunswick,565,$360,9.10%,738,$450,2.30%,238,$530,6.00%,204,$680,6.30%
Coburg-Pascoe Vale South,161,$320,1.60%,451,$400,3.90%,150,$450,4.70%,345,$530,6.00%
Craigieburn,-,-,-,131,$330,4.80%,90,$333,4.10%,740,$370,5.70%
East Brunswick,470,$380,5.60%,488,$470,2.20%,78,$530,1.90%,70,$650,-3.00%
Essendon,395,$320,6.70%,902,$380,2.70%,99,$400,0.00%,360,$470,4.40%
Gladstone Park-Tullamarine,-,-,-,135,$340,6.30%,14,$340,6.30%,256,$380,2.70%
Keilor,-,-,-,-,-,-,-,-,-,21,$450,13.90%
Moonee Ponds-Ascot Vale,261,$300,0.00%,504,$400,1.30%,143,$500,8.70%,259,$580,5.50%
Oak Park-Glenroy-Fawkner,62,$280,7.70%,691,$360,2.90%,122,$360,4.30%,524,$400,2.60%
Pascoe Vale-Coburg North,64,$215,-2.30%,480,$385,4.10%,105,$400,5.30%,238,$450,2.30%
Sunbury,17,$240,9.10%,132,$325,4.80%,29,$320,1.60%,399,$355,4.40%
West Brunswick,418,$300,3.40%,490,$390,6.00%,56,$500,8.00%,89,$590,3.00%
Bundoora-Greensborough-Hurstbridge,302,$298,3.50%,630,$360,2.90%,128,$360,5.90%,992,$400,2.60%
Eltham-Research-Montmorency,23,$285,-3.10%,163,$375,7.10%,30,$400,0.00%,203,$460,4.50%
Fairfield-Alphington,224,$300,3.40%,261,$445,17.10%,23,$500,1.00%,90,$650,6.60%
Heidelberg-Heidelberg West,109,$350,2.90%,424,$395,3.90%,132,$365,4.30%,338,$430,2.40%
Ivanhoe-Ivanhoe East,130,$378,-0.50%,275,$420,0.00%,21,$425,-4.50%,93,$575,1.80%
Mill Park-Epping,53,$290,1.80%,322,$330,3.10%,106,$340,6.30%,813,$370,2.80%
Northcote,385,$340,6.30%,445,$490,5.40%,154,$570,2.20%,213,$680,4.60%
Preston,261,$330,3.10%,589,$400,2.60%,145,$430,4.90%,326,$498,6.00%
Reservoir,232,$300,3.40%,810,$350,2.90%,167,$360,5.90%,447,$400,5.30%
Thomastown-Lalor,43,$300,4.20%,257,$330,6.50%,28,$340,3.00%,510,$365,4.30%
Thornbury,312,$300,3.40%,426,$400,2.60%,101,$530,8.20%,166,$600,4.30%
Whittlesea,-,-,-,58,$298,2.80%,41,$320,4.90%,409,$365,4.30%
Bayswater,-,-,-,228,$350,6.10%,11,$345,-1.40%,204,$400,5.30%
Boronia,39,$295,5.40%,290,$360,2.90%,25,$345,1.50%,250,$400,5.30%
Croydon-Lilydale,83,$270,3.80%,520,$350,1.40%,106,$370,5.70%,872,$410,2.50%
Ferntree Gully,-,-,-,122,$350,2.90%,12,$330,-1.50%,266,$400,0.00%
Ringwood,71,$295,-4.80%,575,$360,2.90%,73,$370,1.40%,401,$420,5.00%
Rowville,-,-,-,52,$373,-1.80%,-,-,-,242,$430,3.60%
Wantirna-Scoresby,32,$345,6.20%,80,$373,0.80%,16,$388,2.10%,458,$420,5.00%
Yarra Ranges,60,$250,7.30%,90,$320,6.70%,112,$340,4.60%,428,$400,5.30%
Berwick,-,-,-,109,$335,4.70%,36,$340,0.00%,768,$380,2.70%
Cranbourne,34,$275,5.80%,185,$310,3.30%,88,$315,-2.50%,"1,399",$365,1.40%
Dandenong,179,$250,4.20%,816,$300,3.40%,70,$330,3.10%,450,$380,2.70%
Dandenong North-Endeavour Hills,51,$250,-3.50%,202,$320,3.20%,64,$305,5.20%,685,$360,2.90%
Narre Warren-Hampton Park,21,$260,6.10%,195,$320,3.20%,62,$320,0.00%,"1,178",$360,1.40%
Noble Park,208,$230,4.50%,525,$330,3.10%,46,$330,0.00%,318,$370,2.80%
Pakenham,19,$250,4.20%,192,$290,3.60%,69,$300,0.00%,983,$350,2.90%
Springvale,142,$270,8.00%,549,$350,2.90%,67,$350,0.60%,528,$390,2.60%
Dromana-Portsea,22,$250,8.70%,224,$320,6.70%,206,$320,3.20%,949,$370,2.80%
Frankston,328,$240,6.70%,738,$320,6.70%,116,$335,1.50%,913,$385,4.10%
Hastings-Flinders,11,$275,0.70%,155,$320,6.70%,34,$340,9.70%,323,$390,6.80%
Mt Eliza-Mornington-Mt Martha,13,$280,8.50%,234,$368,5.10%,37,$400,1.30%,469,$460,2.20%
