Suburb/town(2018),1 Bed Flat,,,2 Bed Flat,,,2 Bed House,,,3 Bed House,,
Seaford-Carrum Downs,44,$245,2.10%,252,$327,5.50%,49,$330,0.00%,760,$365,4.30%
Belmont-Grovedale,130,$238,3.50%,382,$310,5.10%,73,$330,6.50%,713,$375,4.20%
Corio,47,$190,2.70%,87,$270,3.80%,134,$250,8.70%,548,$280,5.70%
Geelong-Newcomb,173,$230,-4.20%,323,$300,1.70%,146,$320,6.70%,475,$340,3.00%
Herne Hill-Geelong West,104,$220,4.80%,172,$290,3.60%,89,$330,0.00%,255,$370,2.80%
Lara,-,-,-,55,$290,3.60%,15,$300,3.40%,158,$378,6.50%
Newtown,34,$230,9.50%,95,$310,3.30%,37,$325,-7.10%,128,$415,5.10%
North Geelong,51,$205,2.50%,135,$300,3.40%,60,$308,3.40%,370,$345,4.50%
Ballarat,87,$180,2.90%,256,$250,0.00%,217,$260,4.00%,800,$300,3.40%
Mount Clear-Buninyong,-,-,-,32,$245,2.10%,12,$265,15.20%,95,$320,3.20%
Sebastopol-Delacombe,60,$300,66.70%,171,$240,4.30%,72,$250,2.90%,330,$280,1.80%
Wendouree-Alfredton,94,$165,3.10%,153,$240,4.30%,72,$260,8.30%,562,$310,3.30%
Bendigo,37,$200,11.10%,114,$250,4.20%,85,$260,0.00%,243,$310,3.30%
Flora Hill-Bendigo East,50,$163,-4.10%,297,$250,4.20%,91,$260,0.00%,422,$310,3.30%
Golden Square-Kangaroo Flat,33,$260,30.00%,99,$260,4.00%,54,$260,4.00%,321,$300,3.40%
North Bendigo,20,$180,0.00%,172,$250,0.00%,80,$255,2.00%,418,$300,6.00%
Bairnsdale,17,$165,-2.90%,79,$240,4.30%,41,$250,0.00%,208,$300,0.00%
Benalla,29,$160,6.70%,94,$203,1.50%,37,$230,9.50%,161,$280,3.70%
Castlemaine,-,-,-,28,$285,3.60%,48,$300,0.00%,131,$350,7.70%
Echuca,19,$150,0.00%,105,$250,0.00%,22,$280,0.00%,211,$335,3.70%
Hamilton,37,$140,-6.70%,51,$200,8.10%,45,$230,9.50%,175,$250,4.20%
Horsham,39,$190,-19.10%,144,$210,2.40%,38,$250,13.60%,292,$275,5.80%
Mildura,85,$190,0.00%,300,$210,2.40%,119,$250,0.00%,612,$310,3.30%
Moe-Newborough,119,$140,7.70%,93,$170,6.30%,56,$200,5.30%,213,$250,0.00%
Morwell,53,$155,3.30%,120,$185,2.80%,82,$190,0.00%,307,$230,0.00%
Ocean Grove-Barwon Heads,-,-,-,87,$340,9.70%,22,$350,4.50%,196,$400,3.90%
Portland,18,$155,0.00%,51,$195,14.70%,22,$230,15.00%,131,$260,6.10%
Sale-Maffra,94,$163,1.90%,203,$230,0.90%,72,$240,0.00%,418,$270,-3.60%
Seymour,12,$178,1.70%,33,$220,4.80%,-,-,-,103,$280,3.70%
Shepparton,112,$170,0.00%,372,$230,4.50%,105,$250,0.00%,697,$290,0.00%
Swan Hill,54,$145,0.00%,93,$230,4.50%,17,$220,-2.20%,136,$270,0.00%
Torquay,-,-,-,42,$350,6.10%,20,$395,1.30%,208,$478,6.20%
Traralgon,81,$175,9.40%,196,$235,4.40%,83,$260,4.00%,519,$290,0.70%
Wangaratta,36,$185,5.70%,125,$225,2.30%,52,$250,8.70%,288,$295,1.70%
Warragul,12,$188,-3.60%,67,$265,1.90%,30,$280,7.70%,170,$325,4.80%
Warrnambool,81,$200,5.30%,341,$250,4.20%,83,$280,0.00%,431,$330,3.10%
Wodonga,58,$175,2.90%,328,$235,2.20%,63,$270,8.00%,565,$320,3.20%
Colac-Otway,10,$205,-,19,$260,4.00%,-,-,-,14,$275,10.00%
Corangamite,-,-,-,-,-,-,-,-,-,-,-,-
Glenelg,-,-,-,14,$203,19.40%,-,-,-,-,-,-
Greater Geelong,109,$220,2.30%,361,$300,3.40%,111,$370,5.70%,147,$300,0.00%
Moyne,-,-,-,-,-,-,-,-,-,-,-,-
Queenscliffe,-,-,-,-,-,-,-,-,-,-,-,-
Southern Grampians,10,$140,-,12,$190,5.60%,-,-,-,-,-,-
Surf Coast,-,-,-,17,$350,9.40%,-,-,-,-,-,-
Warrnambool,20,$218,11.80%,75,$260,4.00%,-,-,-,23,$260,-3.70%
Ararat,-,-,-,-,-,-,-,-,-,-,-,-
Ballarat,60,$175,2.90%,126,$250,8.70%,48,$305,10.90%,80,$260,4.00%
Golden Plains,-,-,-,-,-,-,-,-,-,-,-,-
Hepburn,-,-,-,-,-,-,-,-,-,17,$340,6.30%
Hindmarsh,-,-,-,-,-,-,-,-,-,-,-,-
Horsham,10,$150,-31.20%,40,$210,-6.70%,15,$290,11.50%,-,-,-
Moorabool,-,-,-,21,$280,0.70%,16,$355,9.20%,-,-,-
Northern Grampians,-,-,-,-,-,-,-,-,-,10,$220,-
Pyrenees,-,-,-,-,-,-,-,-,-,-,-,-
West Wimmera,-,-,-,-,-,-,-,-,-,-,-,-
Yarriambiack,-,-,-,-,-,-,-,-,-,-,-,-
Buloke,-,-,-,-,-,-,-,-,-,-,-,-
Campaspe,-,-,-,35,$215,-2.30%,-,-,-,-,-,-
Central Goldfields,-,-,-,13,$235,2.20%,-,-,-,-,-,-
Gannawarra,-,-,-,-,-,-,-,-,-,-,-,-
Greater Bendigo,31,$180,0.00%,161,$255,2.00%,51,$300,0.00%,83,$260,2.00%
Loddon,-,-,-,-,-,-,-,-,-,-,-,-
Macedon Ranges,-,15,$340,3.00%,14,$385,-3.80%,14,$338,4.00%,70,$400
Mildura,-14.20%,65,$230,15.00%,-,-,-,32,$253,1.20%,159,$305
Mount Alexander,-,-,-,-,-,-,-,16,$320,4.90%,36,$350
Swan Hill,0.00%,24,$230,0.00%,-,-,-,-,-,-,37,$275
Alpine,-,15,$275,31.00%,-,-,-,-,-,-,35,$285
Benalla,-,24,$210,0.00%,-,-,-,12,$220,-,44,$275
Greater Shepparton,-5.90%,81,$240,14.30%,23,$310,27.60%,19,$245,-2.00%,191,$300
Indigo,-,-,-,-,-,-,-,-,-,-,12,$325
Mansfield,-,-,-,-,-,-,-,-,-,-,12,$323
Mitchell,-,14,$273,9.20%,13,$320,3.20%,-,-,-,82,$335
Moira,16.00%,33,$245,16.70%,10,$255,4.90%,10,$220,0.00%,66,$295
Murrindindi,-,-,-,-,-,-,-,-,-,-,31,$300
Strathbogie,-,-,-,-,-,-,-,-,-,-,25,$330
Towong,-,-,-,-,-,-,-,-,-,-,-,-
Wangaratta,-,31,$235,6.80%,13,$325,-,20,$248,3.30%,70,$300
Wodonga,0.00%,76,$243,5.70%,18,$305,0.00%,11,$260,4.00%,133,$320
Bass Coast,-,20,$278,11.20%,12,$345,15.00%,22,$268,7.20%,83,$320
Baw Baw,-,38,$273,3.00%,13,$310,0.00%,19,$300,17.60%,118,$320
East Gippsland,-,42,$250,8.70%,-,-,-,27,$240,-4.00%,120,$310
Latrobe,0.00%,86,$200,5.30%,17,$250,0.00%,59,$220,4.80%,274,$260
South Gippsland,-,14,$245,9.90%,-,-,-,11,$270,12.50%,67,$270
Wellington,3.10%,40,$230,2.20%,12,$298,-0.70%,24,$230,0.00%,137,$270
Banyule,11.50%,288,$390,2.60%,115,$450,1.10%,64,$373,0.80%,306,$430
Brimbank,6.50%,191,$330,6.50%,128,$380,8.60%,42,$340,3.00%,480,$370
Darebin,6.70%,545,$390,2.60%,109,$480,10.30%,140,$450,4.70%,299,$500
Hobsons Bay,3.30%,191,$350,1.40%,47,$525,16.70%,56,$430,0.00%,217,$460
Hume,-6.40%,145,$340,3.00%,78,$360,2.90%,58,$340,6.30%,504,$370
Maribyrnong,-6.70%,409,$385,4.10%,63,$470,4.40%,127,$450,4.70%,218,$495
Melbourne,5.00%,"2,512",$580,0.00%,517,$404,-48.90%,89,$540,3.80%,74,$665
Melton,-,62,$310,11.50%,77,$340,6.30%,25,$350,23.70%,482,$350
Moonee Valley,-8.60%,383,$400,3.90%,68,$500,6.40%,75,$485,3.20%,174,$498
Moreland,7.70%,834,$410,5.10%,156,$490,8.90%,179,$450,2.30%,362,$490
Nillumbik,-,13,$375,3.30%,26,$425,0.00%,14,$348,-,103,$420
Whittlesea,1.70%,141,$330,3.10%,62,$360,4.30%,44,$340,3.00%,398,$370
Wyndham,27.20%,167,$320,5.60%,83,$350,6.10%,52,$345,7.80%,722,$360
Yarra,5.30%,554,$545,3.80%,46,$780,4.00%,198,$595,0.80%,153,$750
Boroondara,3.00%,649,$450,4.70%,115,$600,1.70%,50,$500,-3.80%,193,$625
Knox,9.30%,161,$360,2.90%,119,$420,1.20%,18,$380,2.70%,334,$413
Manningham,2.80%,175,$440,4.80%,97,$500,-1.00%,-,-,-,176,$460
Maroondah,-1.60%,225,$360,2.90%,116,$440,6.00%,32,$373,3.60%,218,$420
Monash,-3.20%,342,$410,5.10%,205,$495,1.00%,37,$410,5.10%,337,$460
Whitehorse,3.30%,474,$420,2.40%,159,$490,-1.00%,48,$410,3.80%,317,$460
Yarra Ranges,0.00%,71,$350,1.40%,39,$420,2.40%,42,$358,6.90%,181,$400
Bayside,5.60%,239,$480,3.20%,88,$650,0.30%,39,$540,3.80%,130,$720
Cardinia,-,66,$300,7.10%,48,$330,3.10%,23,$320,3.20%,330,$360
Casey,-1.90%,125,$320,1.60%,116,$370,5.70%,45,$330,0.00%,865,$370
Frankston,6.70%,229,$320,3.20%,126,$370,2.80%,41,$325,-4.40%,413,$380
Glen Eira,5.10%,829,$450,7.10%,161,$590,3.50%,47,$450,-5.30%,188,$590
Greater Dandenong,4.20%,416,$320,3.20%,142,$390,2.60%,52,$330,-2.90%,335,$380
Kingston,3.20%,489,$395,3.90%,128,$483,7.30%,50,$405,-3.10%,238,$485
Mornington Peninsula,5.00%,173,$330,0.60%,109,$410,2.50%,72,$330,3.80%,427,$390
Port Phillip,1.40%,889,$500,4.20%,98,$695,4.50%,107,$625,4.20%,107,$850
Stonnington,1.30%,827,$515,1.00%,105,$695,0.00%,84,$630,5.00%,149,$820
