,name,coordinates,nearestSchool,nearestSchool_distance,nearestStation,nearestStation_distance,School_Y,School_X,School_Name,STOP_ID,LATITUDE,LONGITUDE,STOP_NAME,real_school_distance,real_school_duration,real_station_distance,real_station_duration
0,10/250 Eighth Street Mildura VIC 3500,"[-34.1749257, 142.1512978]",Mildura West Primary School,0.5423,Sunbury Railway Station (Sunbury),443.5518,-34.17973,142.15239,Mildura West Primary School,15351,-37.5791,144.7273,Sunbury Railway Station (Sunbury),0.7,1.6,509.8,349.5
1,2 Shakira Court Mildura VIC 3500,"[-34.1722957, 142.1404582]",Mildura West Primary School,1.3748,Sunbury Railway Station (Sunbury),444.3156,-34.17973,142.15239,Mildura West Primary School,15351,-37.5791,144.7273,Sunbury Railway Station (Sunbury),2.4,3.7,510.5,350.3
2,57 Orchard Circuit Shepparton VIC 3630,"[-36.3586479, 145.4050076]",Shepparton Christian College Ltd,1.1185,Mernda Railway Station (Mernda),140.6693,-36.35387,145.41598,Shepparton Christian College Ltd,52161,-37.6025,145.1009,Mernda Railway Station (Mernda),2.7,5.2,158.6,113.0
3,112 Burrows Street Mildura VIC 3500,"[-34.1991478, 142.1521062]",Chaffey Secondary College,0.537,Sunbury Railway Station (Sunbury),441.2095,-34.19573,142.14798,Chaffey Secondary College,15351,-37.5791,144.7273,Sunbury Railway Station (Sunbury),0.9,1.7,506.0,345.0
4,2/147 Orange Avenue Mildura VIC 3500,"[-34.1904786, 142.1599844]",Mildura Primary School,0.4253,Sunbury Railway Station (Sunbury),441.6602,-34.19429,142.16049,Mildura Primary School,15351,-37.5791,144.7273,Sunbury Railway Station (Sunbury),1.1,2.2,507.6,346.5
5,7 Acacia Street Shepparton VIC 3630,"[-36.3646956, 145.4192374]",Verney Road School,0.4672,Mernda Railway Station (Mernda),140.2611,-36.36744,145.41529,Verney Road School,52161,-37.6025,145.1009,Mernda Railway Station (Mernda),0.8,2.2,160.0,112.9
6,13 Rhapsody Road Beveridge VIC 3753,"[-37.4759712, 144.9428402]",Beveridge Primary School,3.1192,Craigieburn Railway Station (Craigieburn),13.9655,-37.47206,144.97776,Beveridge Primary School,40221,-37.6018,144.9433,Craigieburn Railway Station (Craigieburn),3.9,9.5,18.5,23.2
7,2/20 Maude Street Shepparton VIC 3630,"[-36.38056419999999, 145.4006543]",Shepparton ACE Secondary College,0.3356,Mernda Railway Station (Mernda),138.2075,-36.37766,145.4017,Shepparton ACE Secondary College,52161,-37.6025,145.1009,Mernda Railway Station (Mernda),1.1,2.1,156.2,108.4
8,16 Hicken Crescent Shepparton VIC 3630,"[-36.3595359, 145.3945006]",Gowrie Street Primary School Shepparton,0.823,Mernda Railway Station (Mernda),140.3954,-36.3668,145.39635,Gowrie Street Primary School Shepparton,52161,-37.6025,145.1009,Mernda Railway Station (Mernda),1.3,2.6,159.2,113.2
9,1/41 Corio Street Shepparton VIC 3630,"[-36.37110759999999, 145.4056049]",Notre Dame College,0.4395,Mernda Railway Station (Mernda),139.3227,-36.37471,145.40764,Notre Dame College,52161,-37.6025,145.1009,Mernda Railway Station (Mernda),0.6,1.2,157.4,110.4
