,Unnamed: 0,name,property_type,years,coordinates,postcode,sa2_coor,closest_sa2,bed,bath,car,Income,Population,week_rent,real_school_distance,real_school_duration,real_station_distance,real_station_duration
2532,2532,33 Stockmans Way Kensington VIC 3031,House,2022,"[-37.7915848, 144.9221606]",3031,"[xcoord    144.930191
ycoord    -37.783939
Name: Flemington, dtype: float64, xcoord    144.927259
ycoord    -37.793454
Name: Kensington (Vic.), dtype: float64]",Kensington (Vic.),4.0,3.0,3.0,82681.84761904785,12300.339146839457,1100.0,,,1.5,3.3
3678,3678,170 Sunbury Road Bulla VIC 3428,House,2022,"[-37.6301643, 144.801167]",3428,"[xcoord    144.886407
ycoord    -37.638076
Name: Greenvale - Bulla, dtype: float64]",Greenvale - Bulla,3.0,2.0,1.0,71060.0761904763,23075.78937322437,440.0,,,9.7,13.4
5908,5908,45 RIVERSDALE Road Yarra Junction VIC 3797,House,2022,"[-37.7889973, 145.6246886]",3797,"[xcoord    145.636115
ycoord    -37.775864
Name: Yarra Valley, dtype: float64]",Yarra Valley,4.0,2.0,,55533.09523809515,16992.027112926124,350.0,,,28.5,33.6
5909,5909,13 Yarra Valley Crescent East Warburton VIC 3799,House,2022,"[-37.7288752, 145.7508393]",3799,"[xcoord    145.636115
ycoord    -37.775864
Name: Yarra Valley, dtype: float64, xcoord    145.914859
ycoord    -37.670899
Name: Upper Yarra Valley, dtype: float64]",Yarra Valley,3.0,3.0,2.0,55533.09523809515,16992.027112926124,200.0,,,42.4,49.9
9021,9021,2 Oakpark Drive Harkness VIC 3337,House,2022,"[-37.6661572, 144.5475945]",3337,"[xcoord    144.585674
ycoord    -37.671406
Name: Melton, dtype: float64, xcoord    144.555845
ycoord    -37.672260
Name: Melton West, dtype: float64]",Melton West,3.0,2.0,1.0,60205.80952380924,22123.16801313928,380.0,,,24.2,23.0
9022,9022,7 Maple Close Harkness VIC 3337,House,2022,"[-37.6642329, 144.5429072]",3337,"[xcoord    144.585674
ycoord    -37.671406
Name: Melton, dtype: float64, xcoord    144.555845
ycoord    -37.672260
Name: Melton West, dtype: float64]",Melton West,4.0,2.0,2.0,60205.80952380924,22123.16801313928,440.0,,,24.8,24.3
9023,9023,75 Oakpark Drive Melton West VIC 3337,House,2022,"[-37.6652157, 144.5406814]",3337,"[xcoord    144.585674
ycoord    -37.671406
Name: Melton, dtype: float64, xcoord    144.555845
ycoord    -37.672260
Name: Melton West, dtype: float64]",Melton West,4.0,2.0,2.0,60205.80952380924,22123.16801313928,430.0,,,24.9,24.5
9024,9024,24 Lady Penrhyn Drive Melton West VIC 3337,House,2022,"[-37.6677816, 144.5549576]",3337,"[xcoord    144.585674
ycoord    -37.671406
Name: Melton, dtype: float64, xcoord    144.555845
ycoord    -37.672260
Name: Melton West, dtype: float64]",Melton West,3.0,2.0,2.0,60205.80952380924,22123.16801313928,350.0,,,23.9,22.1
9025,9025,1 Gregory place Melton West VIC 3337,House,2022,"[-37.6842537, 144.5525174]",3337,"[xcoord    144.585674
ycoord    -37.671406
Name: Melton, dtype: float64, xcoord    144.555845
ycoord    -37.672260
Name: Melton West, dtype: float64]",Melton West,4.0,1.0,2.0,60205.80952380924,22123.16801313928,430.0,,,23.1,21.7
9026,9026,47 Fairhaven Boulevard Melton West VIC 3337,House,2022,"[-37.687897, 144.5523034]",3337,"[xcoord    144.585674
ycoord    -37.671406
Name: Melton, dtype: float64, xcoord    144.555845
ycoord    -37.672260
Name: Melton West, dtype: float64]",Melton West,3.0,2.0,2.0,60205.80952380924,22123.16801313928,350.0,,,23.3,22.2
9027,9027,5 Homestead Close Melton West VIC 3337,House,2022,"[-37.6781126, 144.5572266]",3337,"[xcoord    144.585674
ycoord    -37.671406
Name: Melton, dtype: float64, xcoord    144.555845
ycoord    -37.672260
Name: Melton West, dtype: float64]",Melton West,3.0,2.0,2.0,60205.80952380924,22123.16801313928,385.0,,,24.3,23.1
9028,9028,41 Gallery Avenue Harkness VIC 3337,House,2022,"[-37.6673961, 144.5493924]",3337,"[xcoord    144.585674
ycoord    -37.671406
Name: Melton, dtype: float64, xcoord    144.555845
ycoord    -37.672260
Name: Melton West, dtype: float64]",Melton West,4.0,2.0,2.0,60205.80952380924,22123.16801313928,375.0,,,24.0,22.3
9029,9029,4/13 Fishburn Grove Harkness VIC 3337,Townhouse,2022,"[-37.6689743, 144.554187]",3337,"[xcoord    144.585674
ycoord    -37.671406
Name: Melton, dtype: float64, xcoord    144.555845
ycoord    -37.672260
Name: Melton West, dtype: float64]",Melton West,2.0,1.0,1.0,60205.80952380924,22123.16801313928,340.0,,,24.0,22.4
9030,9030,14 Flemings Avenue Harkness VIC 3337,House,2022,"[-37.6683179, 144.5521749]",3337,"[xcoord    144.585674
ycoord    -37.671406
Name: Melton, dtype: float64, xcoord    144.555845
ycoord    -37.672260
Name: Melton West, dtype: float64]",Melton West,3.0,2.0,2.0,60205.80952380924,22123.16801313928,360.0,,,23.9,21.9
9031,9031,11 Whitegum Street Harkness VIC 3337,House,2022,"[-37.667112, 144.5637683]",3337,"[xcoord    144.585674
ycoord    -37.671406
Name: Melton, dtype: float64, xcoord    144.555845
ycoord    -37.672260
Name: Melton West, dtype: float64]",Melton West,3.0,2.0,1.0,60205.80952380924,22123.16801313928,335.0,,,22.9,22.2
9032,9032,9 Whitegum Street Harkness VIC 3337,House,2022,"[-37.667112, 144.5637683]",3337,"[xcoord    144.585674
ycoord    -37.671406
Name: Melton, dtype: float64, xcoord    144.555845
ycoord    -37.672260
Name: Melton West, dtype: float64]",Melton West,3.0,2.0,1.0,60205.80952380924,22123.16801313928,355.0,,,22.9,22.2
9033,9033,15A Haywood Grove Melton West VIC 3337,House,2022,"[-37.68493840000001, 144.5413269]",3337,"[xcoord    144.585674
ycoord    -37.671406
Name: Melton, dtype: float64, xcoord    144.555845
ycoord    -37.672260
Name: Melton West, dtype: float64]",Melton West,2.0,1.0,1.0,60205.80952380924,22123.16801313928,310.0,,,24.1,23.2
9034,9034,5 Gongurra Bowl Harkness VIC 3337,House,2022,"[-37.6609012, 144.568594]",3337,"[xcoord    144.585674
ycoord    -37.671406
Name: Melton, dtype: float64, xcoord    144.555845
ycoord    -37.672260
Name: Melton West, dtype: float64]",Melton West,4.0,2.0,2.0,60205.80952380924,22123.16801313928,460.0,,,21.8,19.6
9035,9035,59 Rosina Drive Melton VIC 3337,House,2022,"[-37.6858477, 144.570539]",3337,"[xcoord    144.585674
ycoord    -37.671406
Name: Melton, dtype: float64, xcoord    144.555845
ycoord    -37.672260
Name: Melton West, dtype: float64]",Melton West,3.0,1.0,2.0,60205.80952380924,22123.16801313928,330.0,,,21.9,20.2
9036,9036,2/7 Burswood Circuit Harkness VIC 3337,Apartment / Unit / Flat,2022,"[-37.6670317, 144.5552145]",3337,"[xcoord    144.585674
ycoord    -37.671406
Name: Melton, dtype: float64, xcoord    144.555845
ycoord    -37.672260
Name: Melton West, dtype: float64]",Melton West,3.0,2.0,1.0,60205.80952380924,22123.16801313928,350.0,,,23.8,22.0
9037,9037,32 Fairhaven Boulevard Melton West VIC 3337,House,2022,"[-37.6877129, 144.5536733]",3337,"[xcoord    144.585674
ycoord    -37.671406
Name: Melton, dtype: float64, xcoord    144.555845
ycoord    -37.672260
Name: Melton West, dtype: float64]",Melton West,3.0,2.0,2.0,60205.80952380924,22123.16801313928,400.0,,,23.3,22.1
9038,9038,13 Gloucester Way Melton West VIC 3337,House,2022,"[-37.67339279999999, 144.5563276]",3337,"[xcoord    144.585674
ycoord    -37.671406
Name: Melton, dtype: float64, xcoord    144.555845
ycoord    -37.672260
Name: Melton West, dtype: float64]",Melton West,4.0,2.0,2.0,60205.80952380924,22123.16801313928,340.0,,,24.4,23.1
9039,9039,2/7 Fishburn Grove Harkness VIC 3337,Apartment / Unit / Flat,2022,"[-37.66940779999999, 144.5545091]",3337,"[xcoord    144.585674
ycoord    -37.671406
Name: Melton, dtype: float64, xcoord    144.555845
ycoord    -37.672260
Name: Melton West, dtype: float64]",Melton West,2.0,1.0,1.0,60205.80952380924,22123.16801313928,300.0,,,24.0,22.6
9040,9040,7 Shalimar Place Melton West VIC 3337,House,2022,"[-37.6733408, 144.5560707]",3337,"[xcoord    144.585674
ycoord    -37.671406
Name: Melton, dtype: float64, xcoord    144.555845
ycoord    -37.672260
Name: Melton West, dtype: float64]",Melton West,3.0,1.0,2.0,60205.80952380924,22123.16801313928,350.0,,,24.5,23.3
