,name,coordinates,real_station_distance,real_station_duration,nearestSchool,nearestSchool_distance,School_Y,School_X,School_Name,real_school_distance,real_school_duration
897,28 Buckland Hill Drive Wallan VIC 3756,"[-37.4273017, 144.9918419]",25.6,25.4,Our Lady of the Way Catholic Primary School,0.7921,-37.4241,144.99984,Our Lady of the Way Catholic Primary School,1.1,3.2
898,Wallan VIC 3756,"[-37.4115786, 144.9716234]",23.2,22.3,Wallan Primary School,0.3028,-37.41146,144.97504,Wallan Primary School,1.1,2.5
899,13 ROSE AVENUE Wallan VIC 3756,"[-37.3945786, 144.9682415]",25.1,25.2,Wallan Primary School,1.9679,-37.41146,144.97504,Wallan Primary School,3.1,5.7
900,1380 Wallan-Whittlesea Road Upper Plenty VIC 3756,"[-37.4182719, 145.0430519]",28.6,23.3,Upper Plenty Primary School,1.4439,-37.42371,145.05787,Upper Plenty Primary School,1.5,1.2
901,95 Dudley Street Wallan VIC 3756,"[-37.4111189, 144.973568]",22.9,21.4,Wallan Primary School,0.1357,-37.41146,144.97504,Wallan Primary School,0.5,1.2
902,8 Indigo Street Wallan VIC 3756,"[-37.4210681, 144.9632178]",23.0,22.2,Wallan Primary School,1.4941,-37.41146,144.97504,Wallan Primary School,3.9,7.4
903,38 MCCARTHY COURT Wallan VIC 3756,"[-37.4175763, 144.9872801]",22.7,20.8,Wallan Secondary College,0.5222,-37.41839,144.98147,Wallan Secondary College,0.8,1.2
904,1/91 Dudley St Wallan VIC 3756,"[-37.4114294, 144.9736374]",22.9,21.4,Wallan Primary School,0.1242,-37.41146,144.97504,Wallan Primary School,0.6,1.2
905,Unit 2/4A Stanley Street Wallan VIC 3756,"[-37.4188198, 144.976307]",22.5,20.5,Wallan Secondary College,0.4595,-37.41839,144.98147,Wallan Secondary College,1.0,1.9
906,19 Mt Eliza Avenue Wallan VIC 3756,"[-37.4290394, 144.9891973]",26.2,27.9,Our Lady of the Way Catholic Primary School,1.0899,-37.4241,144.99984,Our Lady of the Way Catholic Primary School,1.7,5.7
907,52 Dudley Street Wallan VIC 3756,"[-37.4147449, 144.973936]",22.5,20.7,Wallan Primary School,0.3774,-37.41146,144.97504,Wallan Primary School,0.9,1.9
908,3 Stag Place Wallan VIC 3756,"[-37.43140980133226, 144.9911314764217]",26.1,26.6,Our Lady of the Way Catholic Primary School,1.1191,-37.4241,144.99984,Our Lady of the Way Catholic Primary School,1.6,4.5
909,1/88 King Street Wallan VIC 3756,"[-37.4098323, 144.9814752]",22.8,21.1,Wallan Primary School,0.5977,-37.41146,144.97504,Wallan Primary School,1.4,2.5
910,2977A Epping Kilmore Road Heathcote Junction VIC 3758,"[-37.3842513, 145.0290509]",30.8,24.8,Wandong Primary School,2.6603,-37.3603,145.02786,Wandong Primary School,2.9,3.7
911,1160 NORTHERN HIGHWAY Bylands VIC 3762,"[-37.3510486, 144.9618504]",29.5,25.9,Colmont School,5.6039,-37.30103,144.9532,Colmont School,5.9,4.9
912,5/221 Anzac Ave Seymour VIC 3660,"[-37.0355068, 145.1557874]",78.5,58.6,Seymour College,1.4486,-37.02984,145.14112,Seymour College,2.2,4.2
913,33 Sinclair Crescent Seymour VIC 3660,"[-37.0301813, 145.1531337]",78.6,59.6,Seymour College,1.0696,-37.02984,145.14112,Seymour College,2.2,5.2
914,88a High Street Seymour VIC 3660,"[-37.0201008, 145.1401699]",76.5,55.5,St Mary's College,0.0704,-37.0199,145.14092,St Mary's College,0.1,0.2
