,name,coordinates,real_station_distance,real_station_duration,nearestSchool,nearestSchool_distance,School_Y,School_X,School_Name,real_school_distance,real_school_duration
0,33 Stockmans Way Kensington VIC 3031,"[-37.7915848, 144.9221606]",1.5,3.3,Kensington Primary School,0.4957,-37.79267,144.92762,Kensington Primary School,1.5,3.6
1,170 Sunbury Road Bulla VIC 3428,"[-37.6301643, 144.801167]",9.7,13.4,Keelonith Primary School,6.9001,-37.6232,144.87884,Keelonith Primary School,10.4,11.1
2,45 RIVERSDALE Road Yarra Junction VIC 3797,"[-37.7889973, 145.6246886]",28.5,33.6,Upper Yarra Secondary College,0.3497,-37.79209,145.62393,Upper Yarra Secondary College,0.4,0.8
3,13 Yarra Valley Crescent East Warburton VIC 3799,"[-37.7288752, 145.7508393]",42.4,49.9,Warburton Primary School,5.262,-37.7558,145.7017,Warburton Primary School,7.6,10.2
4,2 Oakpark Drive Harkness VIC 3337,"[-37.6661572, 144.5475945]",24.2,23.0,Arnolds Creek Primary School,0.4183,-37.66636,144.54286,Arnolds Creek Primary School,0.6,1.3
5,7 Maple Close Harkness VIC 3337,"[-37.6642329, 144.5429072]",24.8,24.3,Arnolds Creek Primary School,0.2361,-37.66636,144.54286,Arnolds Creek Primary School,0.4,1.0
6,75 Oakpark Drive Melton West VIC 3337,"[-37.6652157, 144.5406814]",24.9,24.5,Arnolds Creek Primary School,0.2304,-37.66636,144.54286,Arnolds Creek Primary School,0.3,0.8
7,24 Lady Penrhyn Drive Melton West VIC 3337,"[-37.6677816, 144.5549576]",23.9,22.1,Wedge Park Primary School,0.8725,-37.67562,144.55421,Wedge Park Primary School,1.2,2.3
8,1 Gregory place Melton West VIC 3337,"[-37.6842537, 144.5525174]",23.1,21.7,St Catherine of Siena School,0.641,-37.67878,144.5502,St Catherine of Siena School,0.9,1.8
9,47 Fairhaven Boulevard Melton West VIC 3337,"[-37.687897, 144.5523034]",23.3,22.2,OneSchool Global Vic,0.8913,-37.6863,144.5424,OneSchool Global Vic,1.2,2.0
10,5 Homestead Close Melton West VIC 3337,"[-37.6781126, 144.5572266]",24.3,23.1,Wedge Park Primary School,0.3839,-37.67562,144.55421,Wedge Park Primary School,1.1,2.2
11,41 Gallery Avenue Harkness VIC 3337,"[-37.6673961, 144.5493924]",24.0,22.3,Arnolds Creek Primary School,0.5877,-37.66636,144.54286,Arnolds Creek Primary School,0.9,2.2
12,4/13 Fishburn Grove Harkness VIC 3337,"[-37.6689743, 144.554187]",24.0,22.4,Wedge Park Primary School,0.7376,-37.67562,144.55421,Wedge Park Primary School,1.3,2.6
13,14 Flemings Avenue Harkness VIC 3337,"[-37.6683179, 144.5521749]",23.9,21.9,Wedge Park Primary School,0.8301,-37.67562,144.55421,Wedge Park Primary School,1.1,1.9
14,11 Whitegum Street Harkness VIC 3337,"[-37.667112, 144.5637683]",22.9,22.2,Melton West Primary School,1.1967,-37.67748,144.56749,Melton West Primary School,2.0,3.4
15,9 Whitegum Street Harkness VIC 3337,"[-37.667112, 144.5637683]",22.9,22.2,Melton West Primary School,1.1967,-37.67748,144.56749,Melton West Primary School,2.0,3.4
16,15A Haywood Grove Melton West VIC 3337,"[-37.68493840000001, 144.5413269]",24.1,23.2,OneSchool Global Vic,0.1783,-37.6863,144.5424,OneSchool Global Vic,0.5,1.1
17,5 Gongurra Bowl Harkness VIC 3337,"[-37.6609012, 144.568594]",21.8,19.6,Melton West Primary School,1.8427,-37.67748,144.56749,Melton West Primary School,3.0,5.5
18,59 Rosina Drive Melton VIC 3337,"[-37.6858477, 144.570539]",21.9,20.2,Melton Secondary College,0.4987,-37.68175,144.56822,Melton Secondary College,1.2,2.5
19,2/7 Burswood Circuit Harkness VIC 3337,"[-37.6670317, 144.5552145]",23.8,22.0,Wedge Park Primary School,0.9573,-37.67562,144.55421,Wedge Park Primary School,1.5,2.7
20,32 Fairhaven Boulevard Melton West VIC 3337,"[-37.6877129, 144.5536733]",23.3,22.1,OneSchool Global Vic,1.0066,-37.6863,144.5424,OneSchool Global Vic,1.3,2.3
21,13 Gloucester Way Melton West VIC 3337,"[-37.67339279999999, 144.5563276]",24.4,23.1,Wedge Park Primary School,0.3098,-37.67562,144.55421,Wedge Park Primary School,0.6,1.5
22,2/7 Fishburn Grove Harkness VIC 3337,"[-37.66940779999999, 144.5545091]",24.0,22.6,Wedge Park Primary School,0.69,-37.67562,144.55421,Wedge Park Primary School,1.2,2.5
23,7 Shalimar Place Melton West VIC 3337,"[-37.6733408, 144.5560707]",24.5,23.3,Wedge Park Primary School,0.3016,-37.67562,144.55421,Wedge Park Primary School,0.6,1.7
24,9/10-12 Fishburn Grove Harkness VIC 3337,"[-37.6689809, 144.5544583]",24.0,22.5,Wedge Park Primary School,0.7372,-37.67562,144.55421,Wedge Park Primary School,1.2,2.6
25,1 Sherwood Place Melton West VIC 3337,"[-37.687534, 144.5545295]",23.1,21.8,St Catherine of Siena School,1.044,-37.67878,144.5502,St Catherine of Siena School,1.6,3.0
26,64 Fairhaven Boulevard Melton West VIC 3337,"[-37.6865773, 144.5521749]",23.7,22.4,OneSchool Global Vic,0.8627,-37.6863,144.5424,OneSchool Global Vic,1.0,1.7
27,113 West Melton Drive Melton West VIC 3337,"[-37.6750366, 144.5543797]",24.4,22.4,Wedge Park Primary School,0.0665,-37.67562,144.55421,Wedge Park Primary School,0.1,0.3
28,1/130 Coburns Road Melton VIC 3337,"[-37.6868899, 144.5680989]",21.5,19.1,Melton Secondary College,0.5706,-37.68175,144.56822,Melton Secondary College,0.8,1.4
29,9 Westmill Vista Melton VIC 3337,"[-37.686641, 144.5554285]",23.1,21.7,St Catherine of Siena School,0.9869,-37.67878,144.5502,St Catherine of Siena School,1.6,2.9
30,506 High Street Melton VIC 3337,"[-37.6835794, 144.5692684]",20.4,20.3,Melton Secondary College,0.2231,-37.68175,144.56822,Melton Secondary College,0.7,1.7
31,51 Fairhaven Boulevard Melton West VIC 3337,"[-37.68775540000001, 144.5519716]",23.4,22.3,OneSchool Global Vic,0.8596,-37.6863,144.5424,OneSchool Global Vic,1.1,2.0
32,37 Oakpark Drive Harkness VIC 3337,"[-37.6655345, 144.5439346]",24.6,23.8,Arnolds Creek Primary School,0.1318,-37.66636,144.54286,Arnolds Creek Primary School,0.2,0.6
33,10 Amelia Place Harkness VIC 3337,"[-37.6667281, 144.5359732]",25.4,25.9,Arnolds Creek Primary School,0.609,-37.66636,144.54286,Arnolds Creek Primary School,0.8,2.1
34,503 High St Melton VIC 3337,"[-37.68475, 144.5699428]",20.4,20.1,Melton Secondary College,0.366,-37.68175,144.56822,Melton Secondary College,0.6,1.4
35,4 Findon Way Melton West VIC 3337,"[-37.674698, 144.564771]",23.8,22.5,Melton West Primary School,0.391,-37.67748,144.56749,Melton West Primary School,0.6,1.5
36,1/18 Haywood Grove Melton West VIC 3337,"[-37.6843578, 144.5413321]",24.2,23.3,OneSchool Global Vic,0.2352,-37.6863,144.5424,OneSchool Global Vic,0.6,1.2
37,20 Shandeau Boardwalk Melton West VIC 3337,"[-37.6873793, 144.5559851]",23.2,22.0,St Catherine of Siena School,1.0823,-37.67878,144.5502,St Catherine of Siena School,1.7,3.2
38,1 Crepe Myrtle Close Harkness VIC 3337,"[-37.6679642, 144.536123]",25.4,25.8,Arnolds Creek Primary School,0.6205,-37.66636,144.54286,Arnolds Creek Primary School,0.9,2.2
39,5 Kingsley Place Melton West VIC 3337,"[-37.6745718, 144.5577403]",24.2,22.4,Wedge Park Primary School,0.3325,-37.67562,144.55421,Wedge Park Primary School,0.5,1.0
40,1/7 Carramar Drive Harkness VIC 3337,"[-37.6658086, 144.5556854]",23.9,22.3,Wedge Park Primary School,1.0967,-37.67562,144.55421,Wedge Park Primary School,1.6,3.0
41,19 Torrance Drive Harkness VIC 3337,"[-37.6539406, 144.5664317]",21.1,18.7,Arnolds Creek Primary School,2.4952,-37.66636,144.54286,Arnolds Creek Primary School,4.3,7.1
42,29 Hilton Way Melton West VIC 3337,"[-37.6818076, 144.5570554]",23.3,22.2,St Catherine of Siena School,0.6918,-37.67878,144.5502,St Catherine of Siena School,1.6,4.5
43,56 Long Forest Avenue Melton West VIC 3337,"[-37.6619943, 144.5380491]",25.4,25.9,Arnolds Creek Primary School,0.6442,-37.66636,144.54286,Arnolds Creek Primary School,0.8,2.2
44,8 Esta Street Melton VIC 3337,"[-37.6864072, 144.5696216]",21.7,20.1,Melton Secondary College,0.5315,-37.68175,144.56822,Melton Secondary College,1.0,2.3
45,30 Hawthorn Avenue Harkness VIC 3337,"[-37.6639489, 144.5458394]",24.6,24.0,Arnolds Creek Primary School,0.3751,-37.66636,144.54286,Arnolds Creek Primary School,0.6,1.5
46,8 Essence Boulevard Maddingley VIC 3340,"[-37.6874366, 144.4162193]",38.3,33.7,Bacchus Marsh Grammar,1.3917,-37.69027,144.43159,Bacchus Marsh Grammar,2.3,3.8
47,8 Valentina Drive Darley VIC 3340,"[-37.6528919, 144.4200871]",31.9,30.8,Pentland Primary School,0.4278,-37.65586,144.42318,Pentland Primary School,0.7,2.1
48,36 Graham Street Bacchus Marsh VIC 3340,"[-37.6801936, 144.4371634]",36.1,30.5,Bacchus Marsh College,0.7036,-37.68563,144.43306,Bacchus Marsh College,1.1,2.0
49,11a Wellington Street Bacchus Marsh VIC 3340,"[-37.6563038, 144.4468039]",29.1,25.4,Darley Primary School,0.8804,-37.65528,144.43691,Darley Primary School,1.3,2.3
50,150 Hopetoun Park Road Hopetoun Park VIC 3340,"[-37.6925378, 144.5013193]",27.9,23.1,OneSchool Global Vic,3.6889,-37.6863,144.5424,OneSchool Global Vic,5.0,5.9
51,34 McLachlan Street Bacchus Marsh VIC 3340,"[-37.6752276, 144.425387]",37.0,30.4,Bacchus Marsh College,1.3383,-37.68563,144.43306,Bacchus Marsh College,2.6,5.8
52,63 Grant Street Maddingley VIC 3340,"[-37.6841787, 144.4333162]",36.4,30.8,Bacchus Marsh College,0.1627,-37.68563,144.43306,Bacchus Marsh College,0.5,0.9
53,14 Beresford Crescent Darley VIC 3340,"[-37.6618422, 144.4434905]",34.4,27.1,Darley Primary School,0.9315,-37.65528,144.43691,Darley Primary School,1.4,3.4
54,5 Tudball Court Bacchus Marsh VIC 3340,"[-37.6695104, 144.4351757]",35.5,29.6,Bacchus Marsh Primary School,0.8024,-37.67303,144.44312,Bacchus Marsh Primary School,1.4,3.2
55,97 Halletts Way Bacchus Marsh VIC 3340,"[-37.667224, 144.4225661]",35.9,27.9,Pentland Primary School,1.2625,-37.65586,144.42318,Pentland Primary School,1.3,2.5
56,11 McLachlan Street Bacchus Marsh VIC 3340,"[-37.6735277, 144.4247886]",36.8,29.8,Bacchus Marsh College,1.5286,-37.68563,144.43306,Bacchus Marsh College,3.1,5.3
57,6 Griffith Street Maddingley VIC 3340,"[-37.6857291, 144.4297469]",37.0,31.7,Bacchus Marsh College,0.2924,-37.68563,144.43306,Bacchus Marsh College,0.4,0.9
58,128 Stonehill Drive Bacchus Marsh VIC 3340,"[-37.6864957, 144.4098098]",38.9,35.4,Bacchus Marsh Grammar,1.9662,-37.69027,144.43159,Bacchus Marsh Grammar,3.0,5.8
59,3 Forest Court Bacchus Marsh VIC 3340,"[-37.6653909, 144.421583]",36.9,30.1,Pentland Primary School,1.0672,-37.65586,144.42318,Pentland Primary School,2.3,4.7
60,60 Holts Lane Darley VIC 3340,"[-37.6618994, 144.4338077]",34.5,27.6,Darley Primary School,0.784,-37.65528,144.43691,Darley Primary School,1.3,3.1
61,42 Burbidge Drive Bacchus Marsh VIC 3340,"[-37.6655139, 144.4200444]",36.8,29.9,Pentland Primary School,1.1066,-37.65586,144.42318,Pentland Primary School,2.2,4.5
62,70B Halletts Way Bacchus Marsh VIC 3340,"[-37.6693404, 144.4234209]",36.3,28.4,Pentland Primary School,1.4963,-37.65586,144.42318,Pentland Primary School,1.7,3.0
63,21 Graham Street Bacchus Marsh VIC 3340,"[-37.6785284, 144.4369283]",35.9,30.2,Bacchus Marsh Primary School,0.819,-37.67303,144.44312,Bacchus Marsh Primary School,1.1,2.4
64,4/2 Gladman Road Maddingley VIC 3340,"[-37.6876722, 144.4106915]",38.8,34.8,Bacchus Marsh Grammar,1.8657,-37.69027,144.43159,Bacchus Marsh Grammar,2.8,5.0
65,40 Gisborne Road Bacchus Marsh VIC 3340,"[-37.6713194, 144.4371421]",35.0,28.2,Bacchus Marsh Primary School,0.5605,-37.67303,144.44312,Bacchus Marsh Primary School,0.7,1.4
66,13 Orton Crescent Bacchus Marsh VIC 3340,"[-37.6873736, 144.4173518]",38.3,33.9,Bacchus Marsh Grammar,1.2963,-37.69027,144.43159,Bacchus Marsh Grammar,2.3,4.1
67,13 Raglan Street Darley VIC 3340,"[-37.6572394, 144.4444524]",29.5,25.8,Darley Primary School,0.7002,-37.65528,144.43691,Darley Primary School,1.2,2.3
68,43 McLachlan Street Bacchus Marsh VIC 3340,"[-37.6750194, 144.4259427]",37.0,30.4,Bacchus Marsh College,1.3346,-37.68563,144.43306,Bacchus Marsh College,3.2,5.9
69,5 Lidgett Street Bacchus Marsh VIC 3340,"[-37.6732494, 144.4314567]",35.5,29.5,Bacchus Marsh Primary School,1.0292,-37.67303,144.44312,Bacchus Marsh Primary School,1.4,3.0
70,2 Linda Drive Bacchus Marsh VIC 3340,"[-37.6676363, 144.439023]",34.7,27.9,Bacchus Marsh Primary School,0.6993,-37.67303,144.44312,Bacchus Marsh Primary School,1.0,2.2
71,30 Lyle Street Bacchus Marsh VIC 3340,"[-37.6705273, 144.4317987]",35.4,29.5,Bacchus Marsh Primary School,1.0367,-37.67303,144.44312,Bacchus Marsh Primary School,1.4,3.1
72,432 Bacchus Marsh Road Bacchus Marsh VIC 3340,"[-37.6808749, 144.457555]",32.9,29.0,Bacchus Marsh Primary School,1.5426,-37.67303,144.44312,Bacchus Marsh Primary School,1.8,2.6
73,Bacchus Marsh VIC 3340,"[-37.67202959999999, 144.4307728]",35.7,30.0,Bacchus Marsh Primary School,1.0949,-37.67303,144.44312,Bacchus Marsh Primary School,1.7,3.5
74,26 Caspar Place Bacchus Marsh VIC 3340,"[-37.6876628, 144.4165737]",38.3,33.9,Bacchus Marsh Grammar,1.3557,-37.69027,144.43159,Bacchus Marsh Grammar,2.3,4.1
75,22 Somerton Court Bacchus Marsh VIC 3340,"[-37.6614052, 144.4383818]",34.3,26.8,Darley Primary School,0.6921,-37.65528,144.43691,Darley Primary School,1.3,3.0
76,2/10 McCormacks Road Maddingley VIC 3340,"[-37.6889406, 144.4120204]",38.5,34.0,Bacchus Marsh Grammar,1.7324,-37.69027,144.43159,Bacchus Marsh Grammar,2.5,4.1
77,19 Sweet Avenue Maddingley VIC 3340,"[-37.6877706, 144.4133987]",38.5,34.2,Bacchus Marsh Grammar,1.6283,-37.69027,144.43159,Bacchus Marsh Grammar,2.5,4.4
78,7 Pippin Court Darley VIC 3340,"[-37.6596116, 144.4380398]",30.3,27.9,Darley Primary School,0.491,-37.65528,144.43691,Darley Primary School,0.9,2.4
79,21 Connor Street Bacchus Marsh VIC 3340,"[-37.6732176, 144.4260495]",36.8,29.6,Bacchus Marsh Primary School,1.5061,-37.67303,144.44312,Bacchus Marsh Primary School,2.6,4.9
80,210 Lerderderg Park Merrimu VIC 3340,"[-37.6625601, 144.4669648]",30.5,28.5,Bacchus Marsh Primary School,2.4034,-37.67303,144.44312,Bacchus Marsh Primary School,5.0,10.4
81,93 Greenes Lane Gordon VIC 3345,"[-37.5960674, 144.0994985]",72.6,51.9,Gordon Primary School,1.4419,-37.58385,144.10505,Gordon Primary School,1.9,3.1
82,190 Bungaree-Wallace Road Bungaree VIC 3352,"[-37.5591151, 143.9893242]",82.8,55.4,Bungaree Primary School,1.5797,-37.55759,144.0071,Bungaree Primary School,1.6,1.6
83,45 Mullingar Drive Alfredton VIC 3350,"[-37.5663193, 143.8003283]",99.3,76.8,Alfredton Primary School,1.2881,-37.5548,143.8021,Alfredton Primary School,2.1,4.2
84,57 Dyson Drive Alfredton VIC 3350,"[-37.550549, 143.7860381]",101.9,73.5,Lucas Primary School,0.5751,-37.54796,143.7804,Lucas Primary School,1.1,1.9
85,38 Signature Drive Alfredton VIC 3350,"[-37.551532, 143.8118524]",96.4,74.1,Ballarat Specialist School,0.6134,-37.55244,143.8187,Ballarat Specialist School,2.0,4.5
86,4 Windsor Avenue Alfredton VIC 3350,"[-37.5486993, 143.7998397]",100.9,72.3,St Thomas More School,0.5318,-37.55349,143.79995,St Thomas More School,0.7,2.4
87,1/34 Learmonth Street Alfredton VIC 3350,"[-37.5652069, 143.8108053]",96.5,72.6,Ballarat High School,1.3546,-37.55452,143.81821,Ballarat High School,1.8,2.6
88,8 Sapphire Dr Alfredton VIC 3350,"[-37.5454481, 143.8073245]",96.4,74.1,St Thomas More School,1.1051,-37.55349,143.79995,St Thomas More School,2.5,5.7
89,5 McCallum Street Lucas VIC 3350,"[-37.5492524, 143.7764781]",102.6,75.1,Lucas Primary School,0.3751,-37.54796,143.7804,Lucas Primary School,0.5,1.0
90,31 Mimosa Avenue Alfredton VIC 3350,"[-37.5502843, 143.8023204]",101.4,73.2,St Thomas More School,0.4129,-37.55349,143.79995,St Thomas More School,0.6,2.4
91,39 Belltower Avenue Alfredton VIC 3350,"[-37.5446016, 143.7889212]",101.3,73.4,Siena Catholic Primary School,0.7673,-37.54597,143.78041,Siena Catholic Primary School,1.1,2.4
92,1805 Sturt Street Alfredton VIC 3350,"[-37.5490286, 143.8020024]",101.0,72.6,St Thomas More School,0.5273,-37.55349,143.79995,St Thomas More School,0.9,3.3
93,1621A Sturt Street Alfredton VIC 3350,"[-37.5546948, 143.815602]",95.3,71.2,Ballarat High School,0.2313,-37.55452,143.81821,Ballarat High School,0.3,0.6
94,21 Evans Way Lucas VIC 3350,"[-37.5429702, 143.7690314]",102.9,75.4,Siena Catholic Primary School,1.0592,-37.54597,143.78041,Siena Catholic Primary School,2.1,3.8
95,16 O'Callaghan Parade Lucas VIC 3350,"[-37.5467111, 143.7741678]",102.8,75.4,Siena Catholic Primary School,0.5577,-37.54597,143.78041,Siena Catholic Primary School,0.9,1.9
96,19 Echo Place Alfredton VIC 3350,"[-37.5563183, 143.7904476]",98.0,76.6,St Thomas More School,0.8964,-37.55349,143.79995,St Thomas More School,1.3,2.9
97,6/33 Tremain Drive Lucas VIC 3350,"[-37.5435011, 143.7802723]",102.0,74.1,Siena Catholic Primary School,0.2743,-37.54597,143.78041,Siena Catholic Primary School,0.5,1.8
98,20 Adrianus Street Alfredton VIC 3350,"[-37.5642076, 143.785562]",103.6,75.9,St Thomas More School,1.741,-37.55349,143.79995,St Thomas More School,2.9,4.1
99,314 Cuthberts Road Lucas VIC 3350,"[-37.5516007, 143.7840879]",102.1,74.3,Lucas Primary School,0.5191,-37.54796,143.7804,Lucas Primary School,1.4,2.7
100,25 O'Callaghan Parade Lucas VIC 3350,"[-37.5467111, 143.7741678]",102.8,75.4,Siena Catholic Primary School,0.5577,-37.54597,143.78041,Siena Catholic Primary School,0.9,1.9
101,1/8 Christine Avenue Alfredton VIC 3350,"[-37.5515975, 143.802596]",101.7,74.4,St Thomas More School,0.3143,-37.55349,143.79995,St Thomas More School,0.5,1.9
102,15 Sells Road Lucas VIC 3350,"[-37.5485179, 143.7769865]",102.5,74.7,Lucas Primary School,0.3079,-37.54796,143.7804,Lucas Primary School,0.3,0.6
103,15 Nyon Road Alfredton VIC 3350,"[-37.5633279, 143.7885131]",99.4,76.0,St Thomas More School,1.4877,-37.55349,143.79995,St Thomas More School,3.9,5.5
104,4 Towong Street Alfredton VIC 3350,"[-37.5552169, 143.8068792]",96.2,73.2,Alfredton Primary School,0.4248,-37.5548,143.8021,Alfredton Primary School,0.6,1.3
105,33 Walters Way Alfredton VIC 3350,"[-37.5605227, 143.7901525]",99.8,77.0,St Thomas More School,1.1656,-37.55349,143.79995,St Thomas More School,4.3,6.6
106,2/19 Lawrie Drive Alfredton VIC 3350,"[-37.5566683, 143.8031764]",96.9,74.3,Alfredton Primary School,0.2281,-37.5548,143.8021,Alfredton Primary School,0.2,0.6
107,11 Obrien Drive Alfredton VIC 3350,"[-37.5662322, 143.7936554]",99.0,76.1,Alfredton Primary School,1.4719,-37.5548,143.8021,Alfredton Primary School,2.3,4.7
108,19 Dromana Street Alfredton VIC 3350,"[-37.55955, 143.8100304]",96.6,73.7,Alfredton Primary School,0.8769,-37.5548,143.8021,Alfredton Primary School,1.7,3.5
109,6 Heathcote Drive Alfredton VIC 3350,"[-37.5472533, 143.7710834]",103.2,75.5,Lucas Primary School,0.827,-37.54796,143.7804,Lucas Primary School,1.1,2.0
110,66 Lugano Avenue Alfredton VIC 3350,"[-37.5634529, 143.7894892]",99.5,76.3,St Thomas More School,1.4412,-37.55349,143.79995,St Thomas More School,4.0,5.8
111,13 Kernick Street Lucas VIC 3350,"[-37.5461923, 143.7717781]",103.2,75.5,Siena Catholic Primary School,0.7632,-37.54597,143.78041,Siena Catholic Primary School,0.9,2.6
112,21 Sutcliffe Street Lucas VIC 3350,"[-37.5495241, 143.7827312]",102.1,74.3,Lucas Primary School,0.2694,-37.54796,143.7804,Lucas Primary School,0.3,1.1
113,52 Vale Street Alfredton VIC 3350,"[-37.5594151, 143.815213]",95.5,71.8,Ballarat High School,0.6044,-37.55452,143.81821,Ballarat High School,0.8,1.9
114,164 Shortridge Drive Lucas VIC 3350,"[-37.5472414, 143.7701059]",103.2,75.1,Lucas Primary School,0.9132,-37.54796,143.7804,Lucas Primary School,1.1,2.2
115,41 Moore Way Lucas VIC 3350,"[-37.5423133, 143.7741672]",102.4,74.6,Siena Catholic Primary School,0.6849,-37.54597,143.78041,Siena Catholic Primary School,0.9,3.1
116,47 Vetrano Avenue Alfredton VIC 3350,"[-37.5546263, 143.8073019]",96.1,72.8,Alfredton Primary School,0.46,-37.5548,143.8021,Alfredton Primary School,0.5,0.9
117,10 Towong Street Alfredton VIC 3350,"[-37.5558764, 143.8067944]",96.3,73.4,Alfredton Primary School,0.4317,-37.5548,143.8021,Alfredton Primary School,0.7,1.5
118,59 Dyson Drive Alfredton VIC 3350,"[-37.5507368, 143.7859533]",101.9,73.6,Lucas Primary School,0.5795,-37.54796,143.7804,Lucas Primary School,1.1,1.9
119,Lucas VIC 3350,"[-37.5485179, 143.7769865]",102.5,74.7,Lucas Primary School,0.3079,-37.54796,143.7804,Lucas Primary School,0.3,0.6
120,Alfredton Estate Ballarat Central VIC 3350,"[-37.5671987, 143.78883]",99.1,75.5,Alfredton Primary School,1.8078,-37.5548,143.8021,Alfredton Primary School,3.1,5.4
121,29 Walters Way Alfredton VIC 3350,"[-37.5605227, 143.7901525]",99.8,77.0,St Thomas More School,1.1656,-37.55349,143.79995,St Thomas More School,4.3,6.6
122,9 Kilkenny Drive Alfredton VIC 3350,"[-37.5630731, 143.7938749]",98.3,76.8,Alfredton Primary School,1.171,-37.5548,143.8021,Alfredton Primary School,1.7,3.1
123,17 Munro Street Alfredton VIC 3350,"[-37.5560095, 143.8147676]",95.5,72.3,Ballarat High School,0.3462,-37.55452,143.81821,Ballarat High School,0.6,1.7
124,7 Gleno Court Cardigan VIC 3352,"[-37.53262, 143.7689805]",103.1,74.5,Siena Catholic Primary School,1.7933,-37.54597,143.78041,Siena Catholic Primary School,2.6,3.4
125,2/112 Lonsdale Street Redan VIC 3350,"[-37.5747976, 143.8341267]",94.8,71.8,Newington Primary School,1.0075,-37.56602,143.83122,Newington Primary School,1.3,3.5
126,2/6 Bath Lane Ballarat Central VIC 3350,"[-37.5624769, 143.8570226]",91.3,66.2,Ballarat Primary School (Dana Street),0.3211,-37.56401,143.85394,Ballarat Primary School (Dana Street),0.6,1.0
127,13 Ripon Avenue Lake Wendouree VIC 3350,"[-37.5573965, 143.8424259]",93.1,68.6,Pleasant Street Primary School (Ballarat),0.3665,-37.55633,143.8385,Pleasant Street Primary School (Ballarat),0.6,1.1
128,803 Doveton Street North Soldiers Hill VIC 3350,"[-37.5449579, 143.8576505]",92.3,67.1,Macarthur Street Primary School,0.6874,-37.55115,143.85749,Macarthur Street Primary School,0.9,1.8
129,23 Junction Street Newington VIC 3350,"[-37.562236, 143.8342377]",93.9,70.4,Ballarat Clarendon College,0.2917,-37.55965,143.83365,Ballarat Clarendon College,0.9,2.4
130,217 Lydiard Street Soldiers Hill VIC 3350,"[-37.55666069999999, 143.8583381]",91.6,66.5,Macarthur Street Primary School,0.6162,-37.55115,143.85749,Macarthur Street Primary School,0.8,1.9
131,318 Talbot Street South Ballarat Central VIC 3350,"[-37.5679152, 143.8410682]",93.5,69.9,Newington Primary School,0.8951,-37.56602,143.83122,Newington Primary School,1.0,3.4
132,2 Baird Street Ballarat Central VIC 3350,"[-37.5498246, 143.8519304]",92.7,67.7,Macarthur Street Primary School,0.5128,-37.55115,143.85749,Macarthur Street Primary School,0.6,2.3
133,7 Waller Avenue Newington VIC 3350,"[-37.5702907, 143.8359771]",94.2,70.2,Newington Primary School,0.6335,-37.56602,143.83122,Newington Primary School,1.0,2.5
134,701 Cosmopolitan Place Ballarat Central VIC 3350,"[-37.5662968, 143.8429259]",93.2,69.0,Ballarat Primary School (Dana Street),1.0056,-37.56401,143.85394,Ballarat Primary School (Dana Street),1.4,2.4
135,3/503 Lydiard Street North Soldiers Hill VIC 3350,"[-37.550643, 143.8595852]",92.1,67.1,Macarthur Street Primary School,0.1935,-37.55115,143.85749,Macarthur Street Primary School,0.3,0.9
136,106/18-22 Wendouree Parade Lake Wendouree VIC 3350,"[-37.5542795, 143.8432108]",92.9,68.5,Pleasant Street Primary School (Ballarat),0.4744,-37.55633,143.8385,Pleasant Street Primary School (Ballarat),0.6,0.9
137,606 LA TROBE STREET Redan VIC 3350,"[-37.5722064, 143.8346195]",94.5,70.7,Newington Primary School,0.7494,-37.56602,143.83122,Newington Primary School,1.1,2.1
138,119 Clyde Street Soldiers Hill VIC 3350,"[-37.5490472, 143.8552827]",92.9,67.8,Macarthur Street Primary School,0.3042,-37.55115,143.85749,Macarthur Street Primary School,0.4,1.2
139,1/1005 South Street Ballarat Central VIC 3350,"[-37.5685894, 143.8389112]",94.0,70.1,Newington Primary School,0.7369,-37.56602,143.83122,Newington Primary School,0.9,3.2
140,48 Loch Avenue Ballarat Central VIC 3350,"[-37.5534719, 143.8514637]",92.4,67.4,Macarthur Street Primary School,0.5916,-37.55115,143.85749,Macarthur Street Primary School,1.7,3.5
141,1/1306 Mair Street Lake Wendouree VIC 3350,"[-37.5575946, 143.8413848]",93.1,68.4,Pleasant Street Primary School (Ballarat),0.291,-37.55633,143.8385,Pleasant Street Primary School (Ballarat),0.6,1.2
142,1C Haymes Crescent Golden Point VIC 3350,"[-37.5671819, 143.8635564]",90.9,65.8,Ballarat Primary School (Dana Street),0.9196,-37.56401,143.85394,Ballarat Primary School (Dana Street),1.2,2.1
143,528 Humffray Street South Golden Point VIC 3350,"[-37.5692657, 143.857744]",91.5,66.8,Ballarat Primary School (Dana Street),0.6732,-37.56401,143.85394,Ballarat Primary School (Dana Street),1.2,2.4
144,12 Leechs Lane Ballarat Central VIC 3350,"[-37.5622293, 143.854634]",91.7,66.5,Ballarat Primary School (Dana Street),0.2069,-37.56401,143.85394,Ballarat Primary School (Dana Street),0.4,1.1
145,1324 Gregory Street Lake Wendouree VIC 3350,"[-37.5423108, 143.8362528]",94.3,70.8,Ballarat Grammar,0.5881,-37.53924,143.83083,Ballarat Grammar,0.9,2.7
146,503 Drummond Street South Redan VIC 3350,"[-37.5715382, 143.8457778]",93.4,68.7,Ballarat Primary School (Dana Street),1.1037,-37.56401,143.85394,Ballarat Primary School (Dana Street),1.6,2.1
