FID,PFI,FEATURE_ID,PARENT_FEATURE_ID,FEATURE_TYPE,FEATURE_SUBTYPE,FEATURE_STATUS,NAME,NAME_LABEL,PARENT_NAME,CHILD_EXISTS,AUTH_ORG_CODE,AUTH_ORG_ID,AUTH_ORG_VERIFIED,VMADD_PFI,VICNAMES_ID,VICNAMES_STATUS_CODE,THEME1,THEME2,STATE,CREATE_DATE_PFI,SUPERCEDED_PFI,CREATE_DATE_UFI,OBJECTID,SHAPE
VMFEAT_POLICE_STATION.64779196,142297,142297,,emergency facility,police station,,RESERVOIR POLICE STATION,Reservoir Police Station,,,107,NRR,2021-04-20T00:00:00,429470866,-1939526,11,,,VIC,2009-05-21T02:07:29,,2022-07-20T12:34:59,2039353,POINT (-37.69380543 144.99840662)
VMFEAT_POLICE_STATION.59913907,134710,134710,,emergency facility,police station,,ALEXANDRA POLICE STATION,Alexandra Police Station,,,107,EAL,2021-04-20T00:00:00,51913267,188,10,,,VIC,2009-05-21T02:06:36,,2021-04-22T07:42:13,1887916,POINT (-37.18863456 145.70777089)
VMFEAT_POLICE_STATION.59913908,134827,134827,,emergency facility,police station,,ANGLESEA POLICE STATION,Anglesea Police Station,,,107,WAG,2021-04-20T00:00:00,53046487,392,10,,,VIC,2009-05-21T02:06:36,,2021-04-22T07:42:13,1887917,POINT (-38.40339864 144.19222815)
VMFEAT_POLICE_STATION.59913909,134850,134850,,emergency facility,police station,,APOLLO BAY POLICE STATION,Apollo Bay Police Station,,,107,WAB,2021-04-20T00:00:00,127044959,454,10,,,VIC,2009-05-21T02:06:36,,2021-04-22T07:42:13,1887918,POINT (-38.7596644 143.6703816)
VMFEAT_POLICE_STATION.59913910,134862,134862,,emergency facility,police station,,APSLEY POLICE STATION,Apsley Police Station,,,107,WAS,2021-04-20T00:00:00,54279590,474,10,,,VIC,2009-05-21T02:06:36,,2021-04-22T07:42:13,1887919,POINT (-36.9670606 141.08361854)
VMFEAT_POLICE_STATION.59913911,134873,134873,,emergency facility,police station,,ARARAT POLICE STATION,Ararat Police Station,,,107,WAR,2021-04-20T00:00:00,134102501,496,10,,,VIC,2009-05-21T02:06:36,,2021-04-22T07:42:13,1887920,POINT (-37.28424319 142.92672242)
VMFEAT_POLICE_STATION.59913912,134933,134933,,emergency facility,police station,,ASHBURTON POLICE STATION,Ashburton Police Station,,,107,EAT,2021-04-20T00:00:00,208619530,652,10,,,VIC,2009-05-21T02:06:37,,2021-04-22T07:42:13,1887921,POINT (-37.86287427 145.07970969)
VMFEAT_POLICE_STATION.59913913,134996,134996,,emergency facility,police station,,AVOCA POLICE STATION,Avoca Police Station,,,107,WAV,2021-04-20T00:00:00,54602063,731,10,,,VIC,2009-05-21T02:06:37,,2021-04-22T07:42:13,1887922,POINT (-37.08717014 143.47409564)
VMFEAT_POLICE_STATION.59913914,135009,135009,,emergency facility,police station,,AVONDALE HEIGHTS POLICE STATION,Avondale Heights Police Station,,,107,NAH,2021-04-20T00:00:00,53612905,748,10,,,VIC,2009-05-21T02:06:37,,2021-04-22T07:42:13,1887923,POINT (-37.75572979 144.85944098)
VMFEAT_POLICE_STATION.59913915,135019,135019,,emergency facility,police station,,AXEDALE POLICE STATION,Axedale Police Station,,,107,WAX,2021-04-20T00:00:00,134118373,767,10,,,VIC,2009-05-21T02:06:37,,2021-04-22T07:42:13,1887924,POINT (-36.78699283 144.50156786)
