,name,property_type,property_feature,coordinates,desc,postcode,week_rent,sa2_coor,closest_sa2,2023 Population,2023Pred,bedroom_num,bathroom_num,parking_num
0,Unit 1201/162 Albert St East Melbourne VIC 3002,Apartment / Unit / Flat,"['Available Now', '$2253']","[-37.8100432, 144.9855313]",Anthony Verrocchi,3002,520.0,"[xcoord    144.983863
ycoord    -37.814001
Name: East Melbourne, dtype: float64]",East Melbourne,5864.590097508306,148341.33333333302,['2'],['1'],['1']
1,12 Vale Street East Melbourne VIC 3002,House,"['Friday, 9th September 2022', '$7200']","[-37.8190688, 144.9893458]",Jess Eude,3002,200.0,"[xcoord    144.983863
ycoord    -37.814001
Name: East Melbourne, dtype: float64]",East Melbourne,5864.590097508306,148341.33333333302,['4'],['2'],[]
2,1306V/296 Victoria Parade East Melbourne VIC 3002,Apartment / Unit / Flat,"['Available Now', '$3259']","[-37.8091912, 144.9815952]",Elina Fry,3002,750.0,"[xcoord    144.983863
ycoord    -37.814001
Name: East Melbourne, dtype: float64]",East Melbourne,5864.590097508306,148341.33333333302,['1'],['1'],[]
3,13/86 Hotham Street East Melbourne VIC 3002,Apartment / Unit / Flat,"['Available Now', '$1955', '53m²']","[-37.8141406, 144.9874786]",Mikaele Horsnell,3002,450.0,"[xcoord    144.983863
ycoord    -37.814001
Name: East Melbourne, dtype: float64]",East Melbourne,5864.590097508306,148341.33333333302,['1'],['1'],['1']
4,38/400 Victoria Parade East Melbourne VIC 3002,Apartment / Unit / Flat,"['Available Now', '$3080']","[-37.8095627, 144.9848541]",Ashleigh Sumpter,3002,770.0,"[xcoord    144.983863
ycoord    -37.814001
Name: East Melbourne, dtype: float64]",East Melbourne,5864.590097508306,148341.33333333302,['3'],['2'],['2']
5,7/126 Wellington Parade East Melbourne VIC 3002,Apartment / Unit / Flat,"['Available Now', '$10800']","[-37.8162107, 144.9859245]",Jordan Palma,3002,1800.0,"[xcoord    144.983863
ycoord    -37.814001
Name: East Melbourne, dtype: float64]",East Melbourne,5864.590097508306,148341.33333333302,['3'],['2'],['1']
6,1/60 Simpson Street East Melbourne VIC 3002,Apartment / Unit / Flat,"['Available Now', '$2303']","[-37.8106589, 144.9890876]",Elina Fry,3002,530.0,"[xcoord    144.983863
ycoord    -37.814001
Name: East Melbourne, dtype: float64]",East Melbourne,5864.590097508306,148341.33333333302,['2'],['1'],[]
7,P08P/191 Powlett Street East Melbourne VIC 3002,Apartment / Unit / Flat,"['Available Now', '$2500']","[-37.8100943, 144.9860492]",Ashleigh Sumpter,3002,625.0,"[xcoord    144.983863
ycoord    -37.814001
Name: East Melbourne, dtype: float64]",East Melbourne,5864.590097508306,148341.33333333302,['2'],['1'],['1']
8,Unit 101/170 Albert St East Melbourne VIC 3002,Apartment / Unit / Flat,"['Available Now', '$1950']","[-37.809620699999996, 144.985273]",Anthony Verrocchi,3002,450.0,"[xcoord    144.983863
ycoord    -37.814001
Name: East Melbourne, dtype: float64]",East Melbourne,5864.590097508306,148341.33333333302,['1'],['1'],['1']
9,27/155 Powlett Street East Melbourne VIC 3002,Apartment / Unit / Flat,"['Available Now', '$2607']","[-37.8113488, 144.9855803]",Jordan Palma,3002,600.0,"[xcoord    144.983863
ycoord    -37.814001
Name: East Melbourne, dtype: float64]",East Melbourne,5864.590097508306,148341.33333333302,['2'],['1'],['1']
