,name,property_type,years,coordinates,postcode,sa2_coor,closest_sa2,bed,bath,car,Income,Population,week_rent,real_distance,real_duration,real_station_distance,real_station_duration
10,Unit 1713/200 Spencer St Melbourne VIC 3000,Apartment / Unit / Flat,2022,"[-37.816228, 144.9532465]",3000,"[xcoord    144.962765
ycoord    -37.813377
Name: Melbourne, dtype: float64]",Melbourne,1.0,1.0,1.0,126197.0,47618.39999999997,440.0,0.8,1.8,1.4,2.4
11,701/101 Therry St Melbourne VIC 3000,Apartment / Unit / Flat,2022,"[-37.8074149, 144.9591227]",3000,"[xcoord    144.962765
ycoord    -37.813377
Name: Melbourne, dtype: float64]",Melbourne,1.0,1.0,,126197.0,47618.39999999997,No Available,0.6,1.3,0.6,1.1
12,816/101 Therry St Melbourne VIC 3000,Apartment / Unit / Flat,2022,"[-37.8074149, 144.9591227]",3000,"[xcoord    144.962765
ycoord    -37.813377
Name: Melbourne, dtype: float64]",Melbourne,2.0,2.0,,126197.0,47618.39999999997,No Available,0.6,1.3,0.6,1.1
13,3902/220 Spencer Street Melbourne VIC 3000,Apartment / Unit / Flat,2022,"[-37.8157157, 144.9529559]",3000,"[xcoord    144.962765
ycoord    -37.813377
Name: Melbourne, dtype: float64]",Melbourne,2.0,2.0,1.0,126197.0,47618.39999999997,650.0,0.8,1.9,1.4,2.5
14,3405/288 Spencer Street Melbourne VIC 3000,Apartment / Unit / Flat,2022,"[-37.813775, 144.9520948]",3000,"[xcoord    144.962765
ycoord    -37.813377
Name: Melbourne, dtype: float64]",Melbourne,1.0,1.0,,126197.0,47618.39999999997,440.0,0.4,1.4,0.6,2.1
15,1007/238 Flinders St Melbourne VIC 3000,Apartment / Unit / Flat,2022,"[-37.8175167, 144.9664983]",3000,"[xcoord    144.962765
ycoord    -37.813377
Name: Melbourne, dtype: float64]",Melbourne,1.0,1.0,,126197.0,47618.39999999997,320.0,1.4,3.1,2.4,5.6
16,1211/260 Spencer Street Melbourne VIC 3000,Apartment / Unit / Flat,2022,"[-37.814564, 144.9522856]",3000,"[xcoord    144.962765
ycoord    -37.813377
Name: Melbourne, dtype: float64]",Melbourne,2.0,2.0,,126197.0,47618.39999999997,700.0,0.6,1.4,1.6,2.9
17,504/350 La Trobe Street Melbourne VIC 3000,Apartment / Unit / Flat,2022,"[-37.8106785, 144.9592774]",3000,"[xcoord    144.962765
ycoord    -37.813377
Name: Melbourne, dtype: float64]",Melbourne,2.0,1.0,,126197.0,47618.39999999997,395.0,0.6,1.7,0.4,1.2
18,1106/555 Flinders Street Melbourne VIC 3000,Apartment / Unit / Flat,2022,"[-37.8209711, 144.9564827]",3000,"[xcoord    144.962765
ycoord    -37.813377
Name: Melbourne, dtype: float64]",Melbourne,1.0,1.0,,126197.0,47618.39999999997,370.0,1.4,3.2,1.1,2.9
19,5401/464 Collins Street Melbourne VIC 3000,Apartment / Unit / Flat,2022,"[-37.8175602, 144.9585916]",3000,"[xcoord    144.962765
ycoord    -37.813377
Name: Melbourne, dtype: float64]",Melbourne,3.0,3.0,2.0,126197.0,47618.39999999997,2500.0,0.5,1.0,1.5,2.9
20,625/118 Franklin Street Melbourne VIC 3000,Apartment / Unit / Flat,2022,"[-37.8082052, 144.9589035]",3000,"[xcoord    144.962765
ycoord    -37.813377
Name: Melbourne, dtype: float64]",Melbourne,3.0,2.0,,126197.0,47618.39999999997,530.0,0.8,1.6,0.5,1.0
21,1206/118 Russell Street Melbourne VIC 3000,Apartment / Unit / Flat,2022,"[-37.8135864, 144.9687232]",3000,"[xcoord    144.962765
ycoord    -37.813377
Name: Melbourne, dtype: float64]",Melbourne,2.0,1.0,,126197.0,47618.39999999997,550.0,0.4,1.1,0.6,1.5
22,1411/120 A Beckett St Melbourne VIC 3000,Apartment / Unit / Flat,2022,"[-37.8093086, 144.9597389]",3000,"[xcoord    144.962765
ycoord    -37.813377
Name: Melbourne, dtype: float64]",Melbourne,2.0,2.0,,126197.0,47618.39999999997,680.0,0.9,1.7,0.3,0.7
23,5003/464-466 Collins Street Melbourne VIC 3000,Apartment / Unit / Flat,2022,"[-37.81755500000001, 144.958633]",3000,"[xcoord    144.962765
ycoord    -37.813377
Name: Melbourne, dtype: float64]",Melbourne,1.0,1.0,1.0,126197.0,47618.39999999997,550.0,0.4,0.9,1.5,2.9
24,912/87 Franklin Street Melbourne VIC 3000,Apartment / Unit / Flat,2022,"[-37.8079392, 144.9617069]",3000,"[xcoord    144.962765
ycoord    -37.813377
Name: Melbourne, dtype: float64]",Melbourne,1.0,1.0,1.0,126197.0,47618.39999999997,450.0,0.8,1.7,0.5,1.0
25,1011/225 Elizabeth Street Melbourne VIC 3000,Apartment / Unit / Flat,2022,"[-37.8132308, 144.9623173]",3000,"[xcoord    144.962765
ycoord    -37.813377
Name: Melbourne, dtype: float64]",Melbourne,1.0,1.0,,126197.0,47618.39999999997,430.0,0.8,1.8,0.7,2.1
26,405/325 Collins Street Melbourne VIC 3000,Apartment / Unit / Flat,2022,"[-37.8166442, 144.9635498]",3000,"[xcoord    144.962765
ycoord    -37.813377
Name: Melbourne, dtype: float64]",Melbourne,2.0,1.0,,126197.0,47618.39999999997,420.0,0.8,1.7,2.4,5.7
27,3108/500 Elizabeth St Melbourne VIC 3000,Apartment / Unit / Flat,2022,"[-37.8072443, 144.9602814]",3000,"[xcoord    144.962765
ycoord    -37.813377
Name: Melbourne, dtype: float64]",Melbourne,1.0,1.0,,126197.0,47618.39999999997,410.0,0.8,1.5,0.5,0.8
28,55/1 Albert Road Melbourne VIC 3000,Apartment / Unit / Flat,2022,"[-37.833957, 144.972793]",3000,"[xcoord    144.962765
ycoord    -37.813377
Name: Melbourne, dtype: float64]",Melbourne,2.0,2.0,2.0,126197.0,47618.39999999997,950.0,0.7,2.0,2.4,4.5
29,228 La Trobe St Melbourne VIC 3000,Carspace,2022,"[-37.8097514, 144.9626141]",3000,"[xcoord    144.962765
ycoord    -37.813377
Name: Melbourne, dtype: float64]",Melbourne,0.0,1.0,1.0,126197.0,47618.39999999997,70.0,1.0,2.4,0.5,1.2
30,Unit 913/39 Lonsdale St Melbourne VIC 3000,Apartment / Unit / Flat,2022,"[-37.80992639999999, 144.9711317]",3000,"[xcoord    144.962765
ycoord    -37.813377
Name: Melbourne, dtype: float64]",Melbourne,2.0,1.0,,126197.0,47618.39999999997,420.0,0.5,1.6,0.6,1.2
31,34/546 Flinders Street Melbourne VIC 3000,Studio,2022,"[-37.8205058, 144.9561717]",3000,"[xcoord    144.962765
ycoord    -37.813377
Name: Melbourne, dtype: float64]",Melbourne,1.0,1.0,,126197.0,47618.39999999997,260.0,1.0,2.1,1.6,2.9
32,211A/441 Lonsdale Street Melbourne VIC 3000,Apartment / Unit / Flat,2022,"[-37.8134292, 144.9594445]",3000,"[xcoord    144.962765
ycoord    -37.813377
Name: Melbourne, dtype: float64]",Melbourne,1.0,1.0,,126197.0,47618.39999999997,300.0,0.7,1.8,0.5,1.3
33,2104/38 Rose Lane Melbourne VIC 3000,Apartment / Unit / Flat,2022,"[-37.8148884, 144.9542283]",3000,"[xcoord    144.962765
ycoord    -37.813377
Name: Melbourne, dtype: float64]",Melbourne,2.0,1.0,,126197.0,47618.39999999997,550.0,0.4,1.0,0.6,1.4
34,1313/268 Flinders Street Melbourne VIC 3000,Apartment / Unit / Flat,2022,"[-37.8178134, 144.9655688]",3000,"[xcoord    144.962765
ycoord    -37.813377
Name: Melbourne, dtype: float64]",Melbourne,2.0,1.0,,126197.0,47618.39999999997,350.0,1.3,2.9,2.3,5.5
35,2807/81 Abeckett Street Melbourne VIC 3000,Apartment / Unit / Flat,2022,"[-37.8092252, 144.9613779]",3000,"[xcoord    144.962765
ycoord    -37.813377
Name: Melbourne, dtype: float64]",Melbourne,2.0,1.0,,126197.0,47618.39999999997,650.0,0.9,1.7,0.3,0.7
36,217/339 Swanston St Melbourne VIC 3000,Apartment / Unit / Flat,2022,"[-37.8103818, 144.9638079]",3000,"[xcoord    144.962765
ycoord    -37.813377
Name: Melbourne, dtype: float64]",Melbourne,2.0,1.0,,126197.0,47618.39999999997,370.0,0.9,2.0,0.8,2.1
37,925/555 Flinders Street Melbourne VIC 3000,Apartment / Unit / Flat,2022,"[-37.8209711, 144.9564827]",3000,"[xcoord    144.962765
ycoord    -37.813377
Name: Melbourne, dtype: float64]",Melbourne,2.0,2.0,1.0,126197.0,47618.39999999997,500.0,1.4,3.2,1.1,2.9
38,Unit 1402/560 Lonsdale St Melbourne VIC 3000,Apartment / Unit / Flat,2022,"[-37.8140313, 144.9556025]",3000,"[xcoord    144.962765
ycoord    -37.813377
Name: Melbourne, dtype: float64]",Melbourne,2.0,1.0,,126197.0,47618.39999999997,595.0,0.5,1.2,0.4,1.0
39,2.01/15 Collins Street Melbourne VIC 3000,Apartment / Unit / Flat,2022,"[-37.8137378, 144.9733348]",3000,"[xcoord    144.962765
ycoord    -37.813377
Name: Melbourne, dtype: float64]",Melbourne,2.0,2.0,1.0,126197.0,47618.39999999997,695.0,0.5,1.2,0.7,1.5
40,29/400 Little Collins Street Melbourne VIC 3000,Apartment / Unit / Flat,2022,"[-37.815794, 144.961354]",3000,"[xcoord    144.962765
ycoord    -37.813377
Name: Melbourne, dtype: float64]",Melbourne,1.0,1.0,,126197.0,47618.39999999997,400.0,0.6,1.2,2.4,5.6
41,711/500 Flinders Street Melbourne VIC 3000,Apartment / Unit / Flat,2022,"[-37.8200193, 144.9578273]",3000,"[xcoord    144.962765
ycoord    -37.813377
Name: Melbourne, dtype: float64]",Melbourne,1.0,1.0,,126197.0,47618.39999999997,250.0,0.8,1.7,1.6,3.3
42,2302/135 Abeckett Street Melbourne VIC 3000,Apartment / Unit / Flat,2022,"[-37.8097879, 144.9596466]",3000,"[xcoord    144.962765
ycoord    -37.813377
Name: Melbourne, dtype: float64]",Melbourne,2.0,1.0,1.0,126197.0,47618.39999999997,600.0,0.8,1.8,0.4,0.8
43,908/500 Flinders Street Melbourne VIC 3000,Apartment / Unit / Flat,2022,"[-37.8200193, 144.9578273]",3000,"[xcoord    144.962765
ycoord    -37.813377
Name: Melbourne, dtype: float64]",Melbourne,1.0,1.0,,126197.0,47618.39999999997,200.0,0.8,1.7,1.6,3.3
44,3604/568 Collins Street Melbourne VIC 3000,Apartment / Unit / Flat,2022,"[-37.8183759, 144.9554361]",3000,"[xcoord    144.962765
ycoord    -37.813377
Name: Melbourne, dtype: float64]",Melbourne,2.0,2.0,1.0,126197.0,47618.39999999997,550.0,1.0,2.2,1.2,2.2
45,22/187 Collins Street Melbourne VIC 3000,Apartment / Unit / Flat,2022,"[-37.81540469999999, 144.9678522]",3000,"[xcoord    144.962765
ycoord    -37.813377
Name: Melbourne, dtype: float64]",Melbourne,1.0,1.0,,126197.0,47618.39999999997,400.0,1.3,3.1,2.1,4.8
46,508/616 Little Collins Street Street Melbourne VIC 3000,Apartment / Unit / Flat,2022,"[-37.8176151, 144.9543219]",3000,"[xcoord    144.962765
ycoord    -37.813377
Name: Melbourne, dtype: float64]",Melbourne,2.0,1.0,,126197.0,47618.39999999997,500.0,0.8,2.0,1.2,2.3
47,7/7 Drewery Lane Melbourne VIC 3000,Apartment / Unit / Flat,2022,"[-37.8110742, 144.9639021]",3000,"[xcoord    144.962765
ycoord    -37.813377
Name: Melbourne, dtype: float64]",Melbourne,2.0,2.0,1.0,126197.0,47618.39999999997,680.0,0.8,1.8,0.8,1.8
48,305/594 St Kilda Road Melbourne VIC 3000,Apartment / Unit / Flat,2022,"[-37.8496926, 144.9796418]",3000,"[xcoord    144.962765
ycoord    -37.813377
Name: Melbourne, dtype: float64]",Melbourne,2.0,2.0,1.0,126197.0,47618.39999999997,610.0,0.3,1.1,1.3,2.6
49,6/410 Queen Street Melbourne VIC 3000,Apartment / Unit / Flat,2022,"[-37.8090899, 144.9582169]",3000,"[xcoord    144.962765
ycoord    -37.813377
Name: Melbourne, dtype: float64]",Melbourne,3.0,2.0,1.0,126197.0,47618.39999999997,695.0,0.8,1.8,0.5,1.3
50,10/17 Queens Road Melbourne VIC 3000,Apartment / Unit / Flat,2022,"[-37.839809, 144.9744569]",3000,"[xcoord    144.962765
ycoord    -37.813377
Name: Melbourne, dtype: float64]",Melbourne,1.0,1.0,1.0,126197.0,47618.39999999997,380.0,0.5,1.2,2.2,4.6
51,4804/568 Collins Street Melbourne VIC 3000,Apartment / Unit / Flat,2022,"[-37.8183759, 144.9554361]",3000,"[xcoord    144.962765
ycoord    -37.813377
Name: Melbourne, dtype: float64]",Melbourne,2.0,2.0,1.0,126197.0,47618.39999999997,580.0,1.0,2.2,1.2,2.2
52,208/268 Flinders St Melbourne VIC 3000,Apartment / Unit / Flat,2022,"[-37.8178134, 144.9655688]",3000,"[xcoord    144.962765
ycoord    -37.813377
Name: Melbourne, dtype: float64]",Melbourne,1.0,1.0,,126197.0,47618.39999999997,235.0,1.3,2.9,2.3,5.5
53,394 Collins Street Melbourne VIC 3000,Apartment / Unit / Flat,2022,"[-37.816819, 144.9611835]",3000,"[xcoord    144.962765
ycoord    -37.813377
Name: Melbourne, dtype: float64]",Melbourne,1.0,1.0,,126197.0,47618.39999999997,550.0,0.7,1.4,2.3,5.5
54,211B/399 Bourke Street Melbourne VIC 3000,Apartment / Unit / Flat,2022,"[-37.8147259, 144.9621291]",3000,"[xcoord    144.962765
ycoord    -37.813377
Name: Melbourne, dtype: float64]",Melbourne,1.0,1.0,,126197.0,47618.39999999997,350.0,0.6,1.2,1.0,1.9
55,1609/398 Elizabeth Street Melbourne VIC 3000,Apartment / Unit / Flat,2022,"[-37.8093316, 144.9613227]",3000,"[xcoord    144.962765
ycoord    -37.813377
Name: Melbourne, dtype: float64]",Melbourne,2.0,1.0,1.0,126197.0,47618.39999999997,600.0,0.9,1.8,0.3,0.7
56,712/478 Saint Kilda Road Melbourne VIC 3000,Apartment / Unit / Flat,2022,"[-37.8425885, 144.9770385]",3000,"[xcoord    144.962765
ycoord    -37.813377
Name: Melbourne, dtype: float64]",Melbourne,1.0,1.0,,126197.0,47618.39999999997,400.0,1.7,3.4,2.0,3.5
57,3203/35 Spring Street Melbourne VIC 3000,Apartment / Unit / Flat,2022,"[-37.8141725, 144.9740049]",3000,"[xcoord    144.962765
ycoord    -37.813377
Name: Melbourne, dtype: float64]",Melbourne,2.0,2.0,1.0,126197.0,47618.39999999997,1100.0,0.6,1.5,0.4,0.9
58,1012/339 Swanston St Melbourne VIC 3000,Apartment / Unit / Flat,2022,"[-37.8103818, 144.9638079]",3000,"[xcoord    144.962765
ycoord    -37.813377
Name: Melbourne, dtype: float64]",Melbourne,2.0,1.0,,126197.0,47618.39999999997,370.0,0.9,2.0,0.8,2.1
59,251/350 St Kilda Road Melbourne VIC 3000,Apartment / Unit / Flat,2022,"[-37.831142, 144.9708545]",3000,"[xcoord    144.962765
ycoord    -37.813377
Name: Melbourne, dtype: float64]",Melbourne,3.0,3.0,3.0,126197.0,47618.39999999997,2800.0,2.0,3.7,1.5,2.4
60,4203/35 Spring Street Melbourne VIC 3000,Apartment / Unit / Flat,2022,"[-37.8141725, 144.9740049]",3000,"[xcoord    144.962765
ycoord    -37.813377
Name: Melbourne, dtype: float64]",Melbourne,3.0,2.0,4.0,126197.0,47618.39999999997,4500.0,0.6,1.5,0.4,0.9
61,2206/288 Spencer Street Melbourne VIC 3000,Apartment / Unit / Flat,2022,"[-37.813775, 144.9520948]",3000,"[xcoord    144.962765
ycoord    -37.813377
Name: Melbourne, dtype: float64]",Melbourne,1.0,1.0,,126197.0,47618.39999999997,440.0,0.4,1.4,0.6,2.1
62,2707/288 Spencer Street Melbourne VIC 3000,Apartment / Unit / Flat,2022,"[-37.813775, 144.9520948]",3000,"[xcoord    144.962765
ycoord    -37.813377
Name: Melbourne, dtype: float64]",Melbourne,1.0,1.0,,126197.0,47618.39999999997,440.0,0.4,1.4,0.6,2.1
63,Studio/480 Elizabeth Street Melbourne VIC 3000,Apartment / Unit / Flat,2022,"[-37.8075067, 144.9604861]",3000,"[xcoord    144.962765
ycoord    -37.813377
Name: Melbourne, dtype: float64]",Melbourne,,,,126197.0,47618.39999999997,389.0,0.8,1.7,0.5,1.0
64,1012/605 St Kilda Road Melbourne VIC 3000,Apartment / Unit / Flat,2022,"[-37.85091269999999, 144.9814593]",3000,"[xcoord    144.962765
ycoord    -37.813377
Name: Melbourne, dtype: float64]",Melbourne,2.0,2.0,1.0,126197.0,47618.39999999997,780.0,0.8,1.5,1.3,2.9
65,719/555 St Kilda Road Melbourne VIC 3000,Apartment / Unit / Flat,2022,"[-37.8470517, 144.9806745]",3000,"[xcoord    144.962765
ycoord    -37.813377
Name: Melbourne, dtype: float64]",Melbourne,2.0,2.0,1.0,126197.0,47618.39999999997,620.0,0.3,0.8,1.0,2.1
66,1604/565 Flinders Street Melbourne VIC 3000,Apartment / Unit / Flat,2022,"[-37.8210586, 144.9559072]",3000,"[xcoord    144.962765
ycoord    -37.813377
Name: Melbourne, dtype: float64]",Melbourne,1.0,1.0,,126197.0,47618.39999999997,450.0,1.2,2.7,0.9,2.4
67,808/181 ABeckett Street Melbourne VIC 3000,Apartment / Unit / Flat,2022,"[-37.8101564, 144.9581958]",3000,"[xcoord    144.962765
ycoord    -37.813377
Name: Melbourne, dtype: float64]",Melbourne,1.0,1.0,,126197.0,47618.39999999997,400.0,0.6,1.4,0.4,0.9
68,5407/60 A'Beckett Street Melbourne VIC 3000,Apartment / Unit / Flat,2022,"[-37.8087388, 144.9614417]",3000,"[xcoord    144.962765
ycoord    -37.813377
Name: Melbourne, dtype: float64]",Melbourne,1.0,1.0,,126197.0,47618.39999999997,No Available,1.0,2.0,0.4,0.9
69,1601/35 Spring Street Melbourne VIC 3000,Apartment / Unit / Flat,2022,"[-37.8141725, 144.9740049]",3000,"[xcoord    144.962765
ycoord    -37.813377
Name: Melbourne, dtype: float64]",Melbourne,1.0,1.0,1.0,126197.0,47618.39999999997,650.0,0.6,1.5,0.4,0.9
70,802/455 Elizabeth Street Melbourne VIC 3000,Apartment / Unit / Flat,2022,"[-37.8084293, 144.9602064]",3000,"[xcoord    144.962765
ycoord    -37.813377
Name: Melbourne, dtype: float64]",Melbourne,2.0,1.0,,126197.0,47618.39999999997,450.0,0.7,1.4,0.4,0.8
71,509/228 A'Beckett Street Melbourne VIC 3000,Apartment / Unit / Flat,2022,"[-37.8103101, 144.9566423]",3000,"[xcoord    144.962765
ycoord    -37.813377
Name: Melbourne, dtype: float64]",Melbourne,1.0,1.0,,126197.0,47618.39999999997,450.0,0.5,1.2,0.3,0.7
72,4006/33 Rose Lane Melbourne VIC 3000,Apartment / Unit / Flat,2022,"[-37.8150137, 144.9538694]",3000,"[xcoord    144.962765
ycoord    -37.813377
Name: Melbourne, dtype: float64]",Melbourne,1.0,1.0,,126197.0,47618.39999999997,420.0,0.4,1.1,0.6,1.5
73,410/576-578 St Kilda Road Melbourne VIC 3000,Apartment / Unit / Flat,2022,"[-37.8484163, 144.9794055]",3000,"[xcoord    144.962765
ycoord    -37.813377
Name: Melbourne, dtype: float64]",Melbourne,2.0,2.0,1.0,126197.0,47618.39999999997,780.0,0.3,0.6,1.1,2.0
74,241/538 Little Lonsdale Street Melbourne VIC 3000,Apartment / Unit / Flat,2022,"[-37.8136966, 144.953207]",3000,"[xcoord    144.962765
ycoord    -37.813377
Name: Melbourne, dtype: float64]",Melbourne,4.0,2.0,2.0,126197.0,47618.39999999997,500.0,0.3,1.0,0.5,1.6
75,4807/500 Elizabeth Street Melbourne VIC 3000,Apartment / Unit / Flat,2022,"[-37.8072443, 144.9602814]",3000,"[xcoord    144.962765
ycoord    -37.813377
Name: Melbourne, dtype: float64]",Melbourne,2.0,2.0,,126197.0,47618.39999999997,570.0,0.8,1.5,0.5,0.8
76,3413/22-24 Jane Bell Lane Melbourne VIC 3000,Apartment / Unit / Flat,2022,"[-37.8102205, 144.9662652]",3000,"[xcoord    144.962765
ycoord    -37.813377
Name: Melbourne, dtype: float64]",Melbourne,2.0,2.0,2.0,126197.0,47618.39999999997,700.0,0.6,1.4,0.8,2.0
77,604/118 Russell Street Melbourne VIC 3000,Apartment / Unit / Flat,2022,"[-37.8135864, 144.9687232]",3000,"[xcoord    144.962765
ycoord    -37.813377
Name: Melbourne, dtype: float64]",Melbourne,2.0,1.0,,126197.0,47618.39999999997,585.0,0.4,1.1,0.6,1.5
78,57/398 La Trobe Street Melbourne VIC 3000,Apartment / Unit / Flat,2022,"[-37.8109426, 144.9578145]",3000,"[xcoord    144.962765
ycoord    -37.813377
Name: Melbourne, dtype: float64]",Melbourne,3.0,2.0,1.0,126197.0,47618.39999999997,910.0,0.6,1.8,0.4,1.3
79,6209/568 Collins Street Melbourne VIC 3000,Apartment / Unit / Flat,2022,"[-37.8183759, 144.9554361]",3000,"[xcoord    144.962765
ycoord    -37.813377
Name: Melbourne, dtype: float64]",Melbourne,1.0,1.0,,126197.0,47618.39999999997,500.0,1.0,2.2,1.2,2.2
80,3502/318 Russell Street Melbourne VIC 3000,Apartment / Unit / Flat,2022,"[-37.8091709, 144.966801]",3000,"[xcoord    144.962765
ycoord    -37.813377
Name: Melbourne, dtype: float64]",Melbourne,2.0,2.0,,126197.0,47618.39999999997,800.0,0.7,1.7,0.8,1.9
81,3507/568 Collins Street Melbourne VIC 3000,Apartment / Unit / Flat,2022,"[-37.8183759, 144.9554361]",3000,"[xcoord    144.962765
ycoord    -37.813377
Name: Melbourne, dtype: float64]",Melbourne,1.0,1.0,,126197.0,47618.39999999997,480.0,1.0,2.2,1.2,2.2
82,1102/22 Coromandel Place Melbourne VIC 3000,Apartment / Unit / Flat,2022,"[-37.8130748, 144.9692397]",3000,"[xcoord    144.962765
ycoord    -37.813377
Name: Melbourne, dtype: float64]",Melbourne,1.0,1.0,,126197.0,47618.39999999997,400.0,0.6,1.5,0.8,1.9
83,1403/279-289 La Trobe Street Melbourne VIC 3000,Apartment / Unit / Flat,2022,"[-37.810613, 144.960839]",3000,"[xcoord    144.962765
ycoord    -37.813377
Name: Melbourne, dtype: float64]",Melbourne,2.0,1.0,,126197.0,47618.39999999997,570.0,0.7,1.8,0.5,1.4
84,912/181 ABeckett Street Melbourne VIC 3000,Apartment / Unit / Flat,2022,"[-37.8101564, 144.9581958]",3000,"[xcoord    144.962765
ycoord    -37.813377
Name: Melbourne, dtype: float64]",Melbourne,1.0,1.0,,126197.0,47618.39999999997,440.0,0.6,1.4,0.4,0.9
85,204/408 Lonsdale Street Melbourne VIC 3000,Apartment / Unit / Flat,2022,"[-37.8125979, 144.9604012]",3000,"[xcoord    144.962765
ycoord    -37.813377
Name: Melbourne, dtype: float64]",Melbourne,1.0,1.0,,126197.0,47618.39999999997,420.0,0.9,2.1,0.5,1.2
86,2403/380 Little Lonsdale Street Melbourne VIC 3000,Apartment / Unit / Flat,2022,"[-37.8121026, 144.9581291]",3000,"[xcoord    144.962765
ycoord    -37.813377
Name: Melbourne, dtype: float64]",Melbourne,1.0,1.0,,126197.0,47618.39999999997,400.0,0.7,1.8,0.5,1.3
87,204/327 La Trobe Street Melbourne VIC 3000,Apartment / Unit / Flat,2022,"[-37.8110521, 144.9597639]",3000,"[xcoord    144.962765
ycoord    -37.813377
Name: Melbourne, dtype: float64]",Melbourne,1.0,1.0,,126197.0,47618.39999999997,450.0,0.7,1.8,0.5,1.6
88,2614/350 William Street Melbourne VIC 3000,Apartment / Unit / Flat,2022,"[-37.8112344, 144.9564823]",3000,"[xcoord    144.962765
ycoord    -37.813377
Name: Melbourne, dtype: float64]",Melbourne,1.0,1.0,,126197.0,47618.39999999997,315.0,0.3,0.9,0.1,0.4
89,1905/36 La Trobe Street Melbourne VIC 3000,Apartment / Unit / Flat,2022,"[-37.8081637, 144.967594]",3000,"[xcoord    144.962765
ycoord    -37.813377
Name: Melbourne, dtype: float64]",Melbourne,2.0,2.0,,126197.0,47618.39999999997,600.0,0.5,1.3,1.1,2.5
90,306/33 Rose Lane Melbourne VIC 3000,Apartment / Unit / Flat,2022,"[-37.8150137, 144.9538694]",3000,"[xcoord    144.962765
ycoord    -37.813377
Name: Melbourne, dtype: float64]",Melbourne,2.0,2.0,1.0,126197.0,47618.39999999997,550.0,0.4,1.1,0.6,1.5
91,1109/601 Little Collins Street Melbourne VIC 3000,Apartment / Unit / Flat,2022,"[-37.8179283, 144.9548393]",3000,"[xcoord    144.962765
ycoord    -37.813377
Name: Melbourne, dtype: float64]",Melbourne,1.0,1.0,,126197.0,47618.39999999997,370.0,0.7,1.8,1.2,2.3
