,name,coordinates,nearestSchool,nearestSchool_distance,nearestStation,nearestStation_distance,School_Y,School_X,School_Name,STOP_ID,LATITUDE,LONGITUDE,STOP_NAME,real_school_distance,real_school_duration,real_station_distance,real_station_duration
317,3408/33 rose Lane Melbourne VIC 3000,"[-37.8150137, 144.9538694]",Ozford College,0.2406,Flagstaff Railway Station (Melbourne City),0.3713,-37.81289,144.95442,Ozford College,19841,-37.812,144.9557,Flagstaff Railway Station (Melbourne City),,,,
318,4202/33 Rose Lane Melbourne VIC 3000,"[-37.8150137, 144.9538694]",Ozford College,0.2406,Flagstaff Railway Station (Melbourne City),0.3713,-37.81289,144.95442,Ozford College,19841,-37.812,144.9557,Flagstaff Railway Station (Melbourne City),,,,
319,1316/555-557 St Kilda Road Melbourne VIC 3000,"[-37.8470517, 144.9806745]",Wesley College,0.2358,Prahran Railway Station (Prahran),0.8562,-37.84883,144.98214,Wesley College,19958,-37.8495,144.9899,Prahran Railway Station (Prahran),,,,
320,1305/280 Spencer Street Melbourne VIC 3000,"[-37.8139297, 144.952069]",Ozford College,0.237,Flagstaff Railway Station (Melbourne City),0.3848,-37.81289,144.95442,Ozford College,19841,-37.812,144.9557,Flagstaff Railway Station (Melbourne City),,,,
321,208A/441 Lonsdale Street Melbourne VIC 3000,"[-37.8134292, 144.9594445]",Ozford College,0.4465,Flagstaff Railway Station (Melbourne City),0.3659,-37.81289,144.95442,Ozford College,19841,-37.812,144.9557,Flagstaff Railway Station (Melbourne City),,,,
322,112/318 Little Bourke Street Melbourne VIC 3000,"[-37.8129327, 144.963098]",Stott's College,0.675,Melbourne Central Railway Station (Melbourne City),0.3395,-37.81154,144.97056,Stott's College,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
323,415/118 Franklin Street Melbourne VIC 3000,"[-37.8082052, 144.9589035]",River Nile School,0.4741,Melbourne Central Railway Station (Melbourne City),0.376,-37.80519,144.95509,River Nile School,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
324,1119/268 Flinders Street Melbourne VIC 3000,"[-37.8178134, 144.9655688]",Stott's College,0.8234,Flinders Street Railway Station (Melbourne City),0.1371,-37.81154,144.97056,Stott's College,19854,-37.8183,144.967,Flinders Street Railway Station (Melbourne City),,,,
325,3712/134-160 Spencer Street Melbourne VIC 3000,"[-37.8174166, 144.9536383]",Hester Hornbrook Academy,0.2416,Southern Cross Railway Station (Melbourne City),0.2043,-37.81654,144.95615,Hester Hornbrook Academy,22180,-37.8179,144.9514,Southern Cross Railway Station (Melbourne City),,,,
326,L34/452 Elizabeth St Melbourne VIC 3000,"[-37.8079005, 144.9605172]",River Nile School,0.5647,Melbourne Central Railway Station (Melbourne City),0.2879,-37.80519,144.95509,River Nile School,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
327,Carpark 403/135 Abeckett Street Melbourne VIC 3000,"[-37.8097879, 144.9596466]",Ozford College,0.5748,Melbourne Central Railway Station (Melbourne City),0.2604,-37.81289,144.95442,Ozford College,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
328,712/300 Swanston Street Melbourne VIC 3000,"[-37.8106088, 144.9645798]",Stott's College,0.5366,Melbourne Central Railway Station (Melbourne City),0.1913,-37.81154,144.97056,Stott's College,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
329,1101/8 Exploration Lane Melbourne VIC 3000,"[-37.8091129, 144.9684545]",Stott's College,0.327,Parliament Railway Station (Melbourne City),0.4493,-37.81154,144.97056,Stott's College,19843,-37.8111,144.9729,Parliament Railway Station (Melbourne City),,,,
330,L44/22-24 Jane Bell Lane Melbourne VIC 3000,"[-37.8102205, 144.9662652]",Stott's College,0.4056,Melbourne Central Railway Station (Melbourne City),0.3247,-37.81154,144.97056,Stott's College,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
331,L37/452 Elizabeth St Melbourne VIC 3000,"[-37.8079005, 144.9605172]",River Nile School,0.5647,Melbourne Central Railway Station (Melbourne City),0.2879,-37.80519,144.95509,River Nile School,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
332,L45/228 La Trobe St Melbourne VIC 3000,"[-37.8097514, 144.9626141]",Stott's College,0.7273,Melbourne Central Railway Station (Melbourne City),0.0165,-37.81154,144.97056,Stott's College,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
333,L44/81 A'beckett Street Melbourne VIC 3000,"[-37.8092252, 144.9613779]",River Nile School,0.7122,Melbourne Central Railway Station (Melbourne City),0.1311,-37.80519,144.95509,River Nile School,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
334,L11/452 Elizabeth Street Melbourne VIC 3000,"[-37.8079005, 144.9605172]",River Nile School,0.5647,Melbourne Central Railway Station (Melbourne City),0.2879,-37.80519,144.95509,River Nile School,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
335,8092Y/33 Rose Lane Melbourne VIC 3000,"[-37.8150137, 144.9538694]",Ozford College,0.2406,Flagstaff Railway Station (Melbourne City),0.3713,-37.81289,144.95442,Ozford College,19841,-37.812,144.9557,Flagstaff Railway Station (Melbourne City),,,,
336,285 La Trobe Street Melbourne VIC 3000,"[-37.810735, 144.9608179]",Ozford College,0.612,Melbourne Central Railway Station (Melbourne City),0.1823,-37.81289,144.95442,Ozford College,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
