,name,coordinates,nearestSchool,nearestSchool_distance,nearestStation,nearestStation_distance,School_Y,School_X,School_Name,STOP_ID,LATITUDE,LONGITUDE,STOP_NAME,real_school_distance,real_school_duration,real_station_distance,real_station_duration
221,1903/22-40 Wills Street Melbourne VIC 3000,"[-37.8107551, 144.9570001]",Ozford College,0.3283,Flagstaff Railway Station (Melbourne City),0.1794,-37.81289,144.95442,Ozford College,19841,-37.812,144.9557,Flagstaff Railway Station (Melbourne City),,,,
222,206/118 Franklin Street Melbourne VIC 3000,"[-37.8082052, 144.9589035]",River Nile School,0.4741,Melbourne Central Railway Station (Melbourne City),0.376,-37.80519,144.95509,River Nile School,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
223,507/318 Little Lonsdale Street Melbourne VIC 3000,"[-37.8115806, 144.9602845]",Ozford College,0.5365,Melbourne Central Railway Station (Melbourne City),0.2763,-37.81289,144.95442,Ozford College,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
224,403/95 Berkeley Street Melbourne VIC 3000,"[-37.8033781, 144.9587815]",St Joseph's Flexible Learning Centre Melbourne,0.3422,Melbourne Central Railway Station (Melbourne City),0.7982,-37.80384,144.95494,St Joseph's Flexible Learning Centre Melbourne,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
225,1003/270 King Street Melbourne VIC 3000,"[-37.813751, 144.9550317]",Ozford College,0.1097,Flagstaff Railway Station (Melbourne City),0.2031,-37.81289,144.95442,Ozford College,19841,-37.812,144.9557,Flagstaff Railway Station (Melbourne City),,,,
226,3202/618 Lonsdale Street Melbourne VIC 3000,"[-37.8142509, 144.9539845]",Ozford College,0.1558,Flagstaff Railway Station (Melbourne City),0.292,-37.81289,144.95442,Ozford College,19841,-37.812,144.9557,Flagstaff Railway Station (Melbourne City),,,,
227,310/268 Flinders Street Melbourne VIC 3000,"[-37.8178134, 144.9655688]",Stott's College,0.8234,Flinders Street Railway Station (Melbourne City),0.1371,-37.81154,144.97056,Stott's College,19854,-37.8183,144.967,Flinders Street Railway Station (Melbourne City),,,,
228,2209/181 ABeckett Street Melbourne VIC 3000,"[-37.8101564, 144.9581958]",Ozford College,0.4501,Flagstaff Railway Station (Melbourne City),0.3003,-37.81289,144.95442,Ozford College,19841,-37.812,144.9557,Flagstaff Railway Station (Melbourne City),,,,
229,3511/80 A'Beckett Street Melbourne VIC 3000,"[-37.8089991, 144.9610792]",River Nile School,0.676,Melbourne Central Railway Station (Melbourne City),0.1671,-37.80519,144.95509,River Nile School,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
230,1607/5 Sutherland Street Melbourne VIC 3000,"[-37.811416, 144.9608504]",Ozford College,0.5894,Melbourne Central Railway Station (Melbourne City),0.2281,-37.81289,144.95442,Ozford College,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
231,1310/7 Katherine Place Melbourne VIC 3000,"[-37.8201858, 144.9564628]",Hester Hornbrook Academy,0.4056,Southern Cross Railway Station (Melbourne City),0.5129,-37.81654,144.95615,Hester Hornbrook Academy,22180,-37.8179,144.9514,Southern Cross Railway Station (Melbourne City),,,,
232,1204/380 Little Lonsdale Melbourne VIC 3000,"[-37.8121026, 144.9581291]",Ozford College,0.3381,Flagstaff Railway Station (Melbourne City),0.2142,-37.81289,144.95442,Ozford College,19841,-37.812,144.9557,Flagstaff Railway Station (Melbourne City),,,,
233,2206/75-89 A'beckett Street Melbourne VIC 3000,"[-37.8093797, 144.9612103]",River Nile School,0.7119,Melbourne Central Railway Station (Melbourne City),0.1353,-37.80519,144.95509,River Nile School,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
