year_num,property_type,coordinates,postcode,sa2_region,bedroom_num,bathroom_num,parking_num,Income,Population,median_price
2017,House,"[-38.150918, 144.3508573]",3220,"['Geelong', 'Newtown (Vic.)']",['3'],['2'],['1'],0,0,0
2017,Townhouse,"[-37.7963514, 144.8290887]",3020,"['Ardeer - Albion', 'Sunshine North', 'Sunshine West', 'Sunshine']",['3'],['2'],['1'],0,0,0
2017,Apartment / Unit / Flat,"[-37.7519759, 144.933882]",3055,"['Brunswick', 'Brunswick West']",['1'],['1'],['1'],0,0,0
2017,House,"[-37.8508965, 145.1082513]",3125,"['Surrey Hills (West) - Canterbury', 'Burwood']",['4'],['2'],['3'],0,0,0
2017,Apartment / Unit / Flat,"[-37.4888069, 144.5882653]",3437,['Gisborne'],['2'],['1'],[],0,0,0
2017,Apartment / Unit / Flat,"[-37.78283070000001, 144.9905832]",3068,"['Yarra - North', 'Fitzroy North']",['2'],['1'],['1'],0,0,0
2017,House,"[-37.7012297, 144.5680588]",3338,['Melton South'],['3'],['1'],['2'],0,0,0
2017,House,"[-37.9940403, 145.2373362]",3177,['Doveton'],['3'],['1'],['2'],0,0,0
2017,Townhouse,"[-37.827477, 145.0006366]",3121,['Richmond (Vic.)'],['2'],['1'],['1'],0,0,0
2017,House,"[-38.17140330000001, 145.0906267]",3930,['Mount Eliza'],['5'],['3'],['3'],0,0,0
2017,Apartment / Unit / Flat,"[-37.8546836, 145.0459571]",3146,['Malvern - Glen Iris'],['1'],['1'],['1'],0,0,0
2017,Apartment / Unit / Flat,"[-37.9650429, 144.706584]",3030,"['Point Cook - South', 'Werribee - South', 'Deer Park - Derrimut', 'Wyndham Vale']",['1'],['1'],['1'],0,0,0
2017,Apartment / Unit / Flat,"[-37.907028, 145.091218]",3166,"['Hughesdale', 'Oakleigh - Huntingdale']",['2'],['1'],['1'],0,0,0
2017,Townhouse,"[-37.858055, 145.0944777]",3125,"['Surrey Hills (West) - Canterbury', 'Burwood']",['3'],['2'],['2'],0,0,0
2017,House,"[-37.8636, 144.978221]",3182,['St Kilda'],['3'],['1'],['1'],0,0,0
2017,Apartment / Unit / Flat,"[-37.8033362, 144.9837513]",3066,['Collingwood'],['3'],['2'],['2'],0,0,0
2017,Apartment / Unit / Flat,"[-37.706251, 144.924806]",3046,"['Hadfield', 'Glenroy', 'Pascoe Vale']",['2'],['1'],['1'],0,0,0
2017,House,"[-38.2551991, 145.0407893]",3934,['Mount Martha'],['3'],['1'],['2'],0,0,0
2017,Apartment / Unit / Flat,"[-37.9551906, 145.0244919]",3191,['Sandringham - Black Rock'],['2'],['2'],['1'],0,0,0
2017,Studio,"[-37.792558, 144.893274]",3011,"['Seddon - Kingsville', 'Footscray']",['1'],['1'],[],0,0,0
2017,House,"[-37.5815135, 143.8565558]",3350,"['Ballarat - North', 'Alfredton', 'Ballarat', 'Ballarat - South', 'Buninyong']",['4'],['2'],['2'],0,0,0
2017,House,"[-36.74879689999999, 144.2866739]",3550,"['Bendigo Region - South', 'East Bendigo - Kennington', 'Flora Hill - Spring Gully', 'Bendigo', 'California Gully - Eaglehawk', 'White Hills - Ascot']",['2'],['1'],['1'],0,0,0
2017,Apartment / Unit / Flat,"[-37.8092252, 144.9613779]",3000,['Melbourne'],['1'],['1'],[],0,0,0
2017,Apartment / Unit / Flat,"[-37.8083648, 144.9667899]",3000,['Melbourne'],['1'],['1'],['1'],0,0,0
2017,House,"[-37.804306, 144.976491]",3065,['Fitzroy'],['3'],['2'],['1'],0,0,0
2017,House,"[-37.8118544, 144.8854785]",3013,['Yarraville'],['3'],['1'],[],0,0,0
2017,House,"[-37.7214345, 144.7162502]",3336,['Rockbank - Mount Cottrell'],['3'],['2'],['1'],0,0,0
2017,Apartment / Unit / Flat,"[-38.3729412, 142.4728864]",3280,"['Moyne - East', 'Warrnambool - North']",['2'],['1'],['2'],0,0,0
2017,Apartment / Unit / Flat,"[-37.8176013, 145.1186637]",3128,"['Burwood', 'Box Hill']",['2'],['2'],['1'],0,0,0
2017,Townhouse,"[-37.6839243, 144.9196137]",3047,"['Broadmeadows', 'Campbellfield - Coolaroo']",['2'],['2'],['1'],0,0,0
2017,House,"[-37.76618149999999, 144.943138]",3055,"['Brunswick', 'Brunswick West']",['3'],['1'],['1'],0,0,0
2017,House,"[-37.9034471, 145.16809]",3150,"['Wheelers Hill', 'Glen Waverley - East']",['3'],['2'],['1'],0,0,0
2017,House,"[-37.87287, 144.7775977]",3028,"['Altona Meadows', 'Seabrook', 'Laverton']",['3'],['2'],['2'],0,0,0
2017,House,"[-38.0630837, 145.3494778]",3806,"['Berwick - North', 'Narre Warren North']",['5'],['2'],['2'],0,0,0
2017,House,"[-37.5691087, 143.8563224]",3350,"['Ballarat - North', 'Alfredton', 'Ballarat', 'Ballarat - South', 'Buninyong']",['4'],['2'],['2'],0,0,0
2017,House,"[-38.1288529, 145.8667563]",3818,"['Warragul', 'Drouin', 'Mount Baw Baw Region']",['4'],['3'],['2'],0,0,0
2017,House,"[-37.7617837, 145.0379903]",3079,"['Ivanhoe', 'Ivanhoe East - Eaglemont']",['3'],['1'],['2'],0,0,0
2017,House,"[-38.15147530000001, 145.1326904]",3199,"['Frankston North', 'Frankston South', 'Frankston']",['2'],['1'],['1'],0,0,0
2017,Townhouse,"[-37.7232754, 145.0235662]",3073,"['Reservoir - East', 'Thomastown']",['2'],['2'],['1'],0,0,0
2017,Apartment / Unit / Flat,"[-37.961039, 145.049884]",3192,['Cheltenham - Highett (East)'],['2'],['1'],['1'],0,0,0
2017,Apartment / Unit / Flat,"[-37.8281507, 144.9663248]",3006,"['Southbank', 'South Melbourne']",['2'],['1'],['1'],0,0,0
2017,House,"[-37.8565023, 144.8929148]",3016,['Williamstown'],['2'],['1'],['1'],0,0,0
2017,House,"[-38.2292444, 144.3662655]",3217,"['Grovedale', 'Torquay', 'Winchelsea', 'Ocean Grove - Barwon Heads', 'Burwood']",['4'],['2'],['2'],0,0,0
2017,Townhouse,"[-37.5961142, 144.8997392]",3064,"['Craigieburn - Central', 'Whittlesea', 'Roxburgh Park - Somerton', 'Mickleham - Yuroke']",['3'],['2'],['1'],0,0,0
2017,Apartment / Unit / Flat,"[-37.8211627, 144.9419443]",3008,['Docklands'],['2'],['1'],['1'],0,0,0
2017,Apartment / Unit / Flat,"[-37.9007349, 145.0635293]",3163,"['Caulfield - South', 'Ormond - Glen Huntly', 'Murrumbeena', 'Carnegie']",['2'],['1'],['1'],0,0,0
2017,Apartment / Unit / Flat,"[-37.876818, 144.9985293]",3183,['St Kilda East'],['1'],['1'],['1'],0,0,0
2017,Apartment / Unit / Flat,"[-37.0382828, 143.7381177]",3465,"['Maryborough (Vic.)', 'Maryborough Region', 'Avoca']",['2'],['1'],['1'],0,0,0
2017,Studio,"[-37.87654070000001, 147.9965983]",3909,"['Orbost', 'Lakes Entrance']",['0'],['1'],['1'],0,0,0
2017,Townhouse,"[-37.7161449, 144.9952807]",3073,"['Reservoir - East', 'Thomastown']",['2'],['1'],['1'],0,0,0
2017,Townhouse,"[-37.7671248, 145.0432581]",3079,"['Ivanhoe', 'Ivanhoe East - Eaglemont']",['3'],['2'],['1'],0,0,0
2017,House,"[0.0, 0.0]",3167,['Oakleigh - Huntingdale'],['4'],['2'],['2'],0,0,0
2017,Apartment / Unit / Flat,"[-37.8033781, 144.9587815]",3000,['Melbourne'],['2'],['2'],['1'],0,0,0
2017,Apartment / Unit / Flat,"[-37.917138, 145.1282072]",3168,['Clayton'],['6'],['3'],[],0,0,0
2017,House,"[-37.4274736, 144.9887884]",3756,"['Wallan', 'Romsey']",['3'],['2'],['2'],0,0,0
2017,Apartment / Unit / Flat,"[-37.7552025, 145.0114906]",3071,['Thornbury'],['2'],['1'],['1'],0,0,0
2017,Apartment / Unit / Flat,"[-36.3920441, 145.3638182]",3629,"['Mooroopna', 'Shepparton Region - West']",['1'],['1'],['1'],0,0,0
2017,Apartment / Unit / Flat,"[-38.3085601, 145.1820371]",3915,"['Hastings - Somers', 'Flinders']",['2'],['1'],['1'],0,0,0
2017,Apartment / Unit / Flat,"[-38.1195651, 144.6549001]",3223,['Portarlington'],['2'],['2'],[],0,0,0
2017,House,"[-37.993949500000014, 145.2396669]",3177,['Doveton'],['3'],['1'],['1'],0,0,0
2017,House,"[-37.8206899, 145.0052532]",3121,['Richmond (Vic.)'],['3'],['2'],[],0,0,0
2017,Townhouse,"[-37.75150670000001, 144.9747345]",3058,"['Coburg North', 'Coburg']",['3'],['1'],['1'],0,0,0
2017,House,"[-37.6839243, 144.9196137]",3047,"['Broadmeadows', 'Campbellfield - Coolaroo']",['2'],['2'],['1'],0,0,0
2017,Penthouse,"[-37.7644929, 144.9228602]",3039,['Moonee Ponds'],['3'],['2'],['2'],0,0,0
2017,Apartment / Unit / Flat,"[-37.855477, 145.0092]",3181,['Prahran - Windsor'],['2'],['1'],['1'],0,0,0
