Suburb/town(2021),1 Bed Flat,,,2 Bed Flat,,,2 Bed House,,,3 Bed House,,
,Count,Median,Annual,Count,Median,Annual,Count,Median,Annual,Count,Median,Annual
,,,% change,,,% change,,,% change,,,% change
Albert Park-Middle Park-West St Kilda,263,$340,-8.10%,225,$460,-11.50%,95,$650,-4.40%,108,$885,-11.50%
Armadale,206,$350,-6.70%,365,$450,-10.00%,47,$600,-7.70%,52,$860,-7.00%
Carlton North,68,$338,-6.90%,104,$440,-10.20%,141,$580,-4.90%,103,$750,-2.60%
Carlton-Parkville,"2,097",$300,-16.70%,"1,464",$400,-27.30%,75,$550,-8.30%,73,$720,-8.90%
CBD-St Kilda Rd,"6,961",$330,-25.00%,"7,495",$420,-30.00%,-,-,-,-,-,-
Collingwood-Abbotsford,837,$370,-11.90%,996,$480,-12.70%,158,$590,-2.50%,118,$735,-5.80%
Docklands,"1,354",$350,-25.50%,"1,844",$460,-28.10%,-,-,-,-,-,-
East Melbourne,250,$375,-11.80%,225,$520,-17.50%,-,-,-,14,"$1,025",2.50%
East St Kilda,456,$305,-7.60%,796,$400,-11.10%,66,$555,-10.50%,78,$680,-9.90%
Elwood,450,$330,-2.90%,920,$445,-5.30%,19,$625,-3.80%,71,$850,3.70%
Fitzroy,289,$380,-9.50%,320,$565,-5.80%,89,$610,-6.20%,57,$825,-13.20%
Fitzroy North-Clifton Hill,260,$340,-10.50%,294,$468,-10.00%,199,$595,-4.00%,146,$750,-6.30%
Flemington-Kensington,341,$330,-10.80%,576,$398,-7.40%,201,$500,-5.70%,155,$600,-9.10%
North Melbourne-West Melbourne,"1,384",$330,-17.50%,"1,316",$420,-23.60%,86,$518,-9.90%,80,$678,-8.40%
Port Melbourne,341,$415,-7.80%,599,$550,-12.00%,92,$575,-8.00%,170,$750,-13.80%
Prahran-Windsor,946,$340,-8.10%,877,$450,-13.50%,212,$600,-4.80%,171,$750,-5.70%
Richmond-Burnley,988,$360,-13.30%,"1,081",$495,-10.00%,390,$600,-4.00%,329,$750,-3.80%
South Melbourne,398,$350,-16.70%,491,$450,-21.10%,86,$578,-6.50%,52,$763,-16.60%
South Yarra,"1,879",$350,-12.50%,"1,858",$480,-15.80%,111,$610,-9.60%,118,$850,-5.60%
Southbank,"2,236",$350,-22.20%,"3,201",$430,-28.30%,-,-,-,-,-,-
St Kilda,"1,456",$330,-9.60%,"1,273",$450,-10.00%,46,$590,-0.80%,46,$698,-6.70%
Toorak,158,$320,-8.60%,272,$468,-6.40%,27,$580,-10.50%,65,$990,-1.00%
Balwyn,71,$350,-10.30%,266,$400,-11.10%,19,$420,-3.40%,186,$570,0.00%
Blackburn,142,$344,-4.40%,205,$400,-4.80%,31,$400,-2.40%,234,$448,-0.40%
Box Hill,559,$320,6.70%,"1,134",$400,-14.00%,50,$400,-3.10%,253,$460,-6.10%
Bulleen-Templestowe-Doncaster,157,$350,-7.90%,524,$410,-8.90%,33,$420,2.40%,346,$480,2.10%
Burwood-Ashburton,182,$260,0.00%,240,$400,-11.10%,50,$400,-2.00%,264,$490,-2.00%
Camberwell-Glen Iris,256,$330,-7.00%,677,$430,-6.50%,48,$511,2.20%,195,$650,0.00%
Canterbury-Surrey Hills-Mont Albert,36,$380,-13.60%,309,$420,-6.70%,27,$435,-6.50%,88,$598,-12.10%
Chadstone-Oakleigh,135,$350,-6.70%,392,$400,-4.80%,36,$390,-7.10%,207,$450,-4.30%
Clayton,439,$300,-3.20%,869,$386,-3.50%,57,$400,-2.40%,218,$428,-4.90%
Doncaster East-Donvale,42,$350,-5.40%,231,$405,-3.60%,19,$380,-9.50%,207,$465,-2.70%
East Hawthorn,360,$340,-5.60%,442,$428,-9.50%,39,$565,-4.20%,67,$640,-9.90%
Glen Waverley-Mulgrave,88,$360,-5.30%,306,$415,-11.70%,31,$390,-13.30%,558,$450,-2.80%
Hawthorn,765,$315,-3.40%,827,$425,-9.60%,52,$573,-4.20%,78,$750,-3.20%
Kew,85,$350,-7.90%,446,$420,-6.70%,36,$528,3.90%,128,$650,-3.00%
Mount Waverley,13,$350,-4.10%,139,$400,-4.80%,25,$400,-0.20%,246,$460,-4.20%
Nunawading-Mitcham,80,$330,-2.90%,235,$380,-2.60%,52,$400,0.00%,214,$450,2.30%
Vermont-Forest Hill-Burwood East,46,$340,-8.10%,132,$380,-4.50%,26,$375,-8.10%,318,$440,-2.20%
Aspendale-Chelsea-Carrum,51,$300,9.90%,474,$395,3.90%,62,$420,5.00%,251,$495,4.20%
Bentleigh,201,$300,-10.40%,766,$420,-4.50%,76,$470,2.20%,390,$550,0.00%
Brighton,65,$390,-2.50%,351,$515,-6.40%,23,$620,3.70%,132,$871,-5.80%
Brighton East,-,-,-,68,$468,0.60%,22,$545,7.90%,91,$680,-1.90%
Carnegie,356,$300,-6.30%,642,$420,-8.70%,22,$485,1.00%,65,$550,-8.30%
Caulfield,559,$300,-9.10%,"1,006",$420,-12.50%,62,$503,-0.40%,151,$640,-7.20%
Cheltenham,113,$350,0.00%,690,$400,-4.80%,71,$480,2.10%,393,$550,1.90%
Elsternwick,276,$333,3.40%,406,$480,2.10%,22,$555,6.70%,32,$695,-5.40%
Hampton-Beaumaris,145,$350,-5.40%,394,$485,-2.00%,47,$550,7.80%,210,$725,3.60%
Malvern,105,$338,-3.40%,172,$430,-8.10%,14,$675,5.80%,55,$800,-5.90%
Malvern East,328,$315,1.60%,426,$410,-11.80%,33,$470,-13.00%,129,$600,-4.80%
Mentone-Parkdale-Mordialloc,247,$310,0.00%,511,$400,-1.20%,33,$450,-6.30%,155,$580,3.00%
Murrumbeena-Hughesdale,217,$295,-1.70%,363,$400,-11.10%,27,$415,-7.80%,77,$540,0.00%
Altona,86,$280,-3.40%,593,$350,-2.80%,152,$363,0.80%,"1,343",$380,-2.60%
Footscray,526,$285,-2.70%,578,$385,-6.10%,122,$450,0.00%,145,$480,-4.00%
Keilor East-Avondale Heights,197,$340,-2.90%,335,$400,0.00%,35,$390,0.00%,295,$425,-3.40%
Melton,19,$352,5.40%,104,$290,3.60%,28,$300,3.40%,995,$330,0.00%
Newport-Spotswood,61,$285,-5.00%,130,$395,3.10%,89,$450,-3.20%,210,$550,-0.90%
St Albans-Deer Park,37,$250,-10.70%,291,$325,-1.50%,66,$330,0.00%,654,$350,-2.80%
Sunshine,142,$250,0.00%,249,$320,-3.00%,84,$343,-2.00%,423,$360,-2.70%
Sydenham,-,-,-,112,$360,0.00%,42,$355,-1.40%,843,$390,0.00%
Werribee-Hoppers Crossing,72,$290,0.00%,642,$315,1.60%,141,$320,0.00%,"2,747",$350,0.00%
West Footscray,140,$270,-3.60%,383,$360,-2.20%,104,$390,-2.50%,322,$450,0.00%
Williamstown,64,$354,5.70%,146,$400,-8.70%,45,$490,-5.80%,113,$630,-2.80%
Yarraville-Seddon,139,$290,-2.70%,321,$385,-1.30%,221,$500,0.00%,345,$560,-3.40%
Broadmeadows-Roxburgh Park,42,$255,-5.60%,188,$345,-1.40%,87,$350,1.40%,624,$370,0.00%
Brunswick,489,$340,-5.60%,730,$420,-10.60%,231,$545,-0.90%,223,$670,-0.70%
Coburg-Pascoe Vale South,132,$310,-6.10%,359,$395,-1.30%,150,$470,0.00%,339,$550,1.10%
Craigieburn,-,-,-,115,$330,-2.90%,76,$340,0.00%,863,$380,0.00%
East Brunswick,563,$360,-8.40%,595,$450,-8.20%,90,$548,0.60%,92,$683,-2.40%
Essendon,361,$320,-5.90%,794,$378,-5.50%,94,$418,1.20%,287,$460,-4.20%
Gladstone Park-Tullamarine,38,$335,28.80%,131,$340,-2.90%,19,$350,0.00%,213,$390,-2.50%
Keilor,-,-,-,-,-,-,-,-,-,22,$405,-1.20%
Moonee Ponds-Ascot Vale,506,$336,0.00%,580,$400,-5.90%,138,$480,-3.00%,214,$575,-4.20%
Oak Park-Glenroy-Fawkner,52,$278,-1.80%,515,$360,-2.70%,147,$370,-2.60%,476,$415,-1.20%
Pascoe Vale-Coburg North,47,$275,10.00%,360,$380,-3.80%,102,$400,-1.20%,215,$475,-1.00%
Sunbury,13,$250,0.00%,95,$340,1.50%,29,$350,2.90%,336,$370,0.00%
West Brunswick,389,$310,1.60%,573,$385,-3.80%,59,$470,-7.50%,78,$598,-2.00%
Bundoora-Greensborough-Hurstbridge,245,$300,-3.20%,548,$370,0.00%,87,$380,2.70%,809,$420,0.00%
Eltham-Research-Montmorency,23,$320,0.00%,113,$400,2.60%,29,$400,0.00%,192,$490,2.10%
Fairfield-Alphington,213,$300,-3.20%,220,$400,-7.00%,35,$550,0.90%,85,$650,-1.20%
Heidelberg-Heidelberg West,141,$345,-6.80%,427,$400,0.00%,112,$388,2.10%,272,$450,0.00%
Ivanhoe-Ivanhoe East,104,$350,-6.70%,230,$425,-5.60%,29,$490,-1.00%,74,$620,3.30%
Mill Park-Epping,44,$300,0.00%,256,$340,0.00%,76,$350,0.00%,771,$380,0.00%
Northcote,349,$325,-9.70%,355,$460,-4.80%,161,$580,-1.70%,198,$695,0.30%
Preston,259,$320,-8.60%,583,$390,-7.10%,111,$450,0.00%,280,$500,0.00%
Reservoir,153,$310,-1.60%,765,$360,-1.40%,148,$380,2.70%,400,$420,2.40%
Thomastown-Lalor,35,$300,0.00%,221,$330,-2.90%,44,$345,1.50%,452,$370,0.00%
Thornbury,302,$300,-3.20%,383,$395,-6.00%,99,$530,-3.60%,155,$640,-1.50%
Whittlesea,13,$300,0.00%,56,$295,-7.80%,47,$335,1.50%,421,$380,0.00%
Bayswater,245,$300,-3.20%,548,$370,0.00%,87,$380,2.70%,809,$420,0.00%
Boronia,23,$320,0.00%,113,$400,2.60%,29,$400,0.00%,192,$490,2.10%
Croydon-Lilydale,213,$300,-3.20%,220,$400,-7.00%,35,$550,0.90%,85,$650,-1.20%
Ferntree Gully,141,$345,-6.80%,427,$400,0.00%,112,$388,2.10%,272,$450,0.00%
Ringwood,104,$350,-6.70%,230,$425,-5.60%,29,$490,-1.00%,74,$620,3.30%
Rowville,44,$300,0.00%,256,$340,0.00%,76,$350,0.00%,771,$380,0.00%
Wantirna-Scoresby,349,$325,-9.70%,355,$460,-4.80%,161,$580,-1.70%,198,$695,0.30%
Yarra Ranges,259,$320,-8.60%,583,$390,-7.10%,111,$450,0.00%,280,$500,0.00%
Berwick,17,$300,-6.30%,78,$335,0.00%,46,$350,4.50%,627,$380,1.30%
Cranbourne,36,$280,0.00%,131,$330,3.10%,57,$340,3.00%,"1,246",$380,2.70%
Dandenong,204,$270,0.70%,696,$310,0.00%,57,$350,6.10%,353,$400,0.00%
Dandenong North-Endeavour Hills,51,$270,0.00%,178,$330,0.00%,47,$330,3.10%,512,$370,0.00%
Narre Warren-Hampton Park,16,$247,32.80%,147,$340,3.00%,42,$333,-4.90%,952,$370,0.00%
Noble Park,171,$250,0.00%,418,$340,-1.40%,36,$350,6.10%,239,$380,0.00%
Pakenham,-,-,-,147,$310,3.30%,72,$325,1.60%,811,$360,2.90%
