Suburb/town(2021),1 Bed Flat,,,2 Bed Flat,,,2 Bed House,,,3 Bed House,,
Springvale,133,$273,-2.50%,548,$360,0.00%,44,$365,-0.80%,474,$400,0.00%
Dromana-Portsea,-,-,-,162,$340,6.30%,148,$345,6.20%,665,$400,5.30%
Frankston,312,$245,-1.60%,533,$335,3.10%,73,$355,4.40%,706,$410,3.80%
Hastings-Flinders,20,$278,3.00%,123,$340,3.00%,42,$393,9.20%,265,$435,5.30%
Mt Eliza-Mornington-Mt Martha,15,$310,10.70%,173,$390,2.60%,44,$450,7.10%,336,$510,5.20%
Seaford-Carrum Downs,67,$250,0.00%,239,$340,3.00%,53,$350,2.90%,630,$380,2.70%
Belmont-Grovedale,118,$265,0.00%,318,$330,0.00%,89,$360,5.90%,703,$400,2.60%
Corio,25,$220,0.00%,82,$290,0.00%,114,$280,3.70%,430,$310,0.00%
Geelong-Newcomb,180,$300,0.00%,360,$360,5.90%,115,$350,6.10%,394,$360,2.90%
Herne Hill-Geelong West,128,$240,4.30%,164,$320,0.00%,89,$370,5.70%,227,$400,1.30%
Lara,-,-,-,51,$325,1.60%,25,$320,-5.90%,138,$388,0.80%
Newtown,38,$235,2.20%,108,$338,2.40%,34,$400,12.70%,143,$435,1.20%
North Geelong,50,$228,3.60%,104,$330,0.00%,56,$340,3.00%,337,$380,5.60%
Ballarat,77,$210,10.50%,195,$270,1.90%,231,$290,3.60%,751,$330,0.00%
Mount Clear-Buninyong,-,-,-,16,$270,8.90%,14,$275,10.00%,104,$343,0.00%
Sebastopol-Delacombe,38,$218,-12.80%,131,$260,4.00%,76,$273,-0.40%,341,$320,3.20%
Wendouree-Alfredton,72,$180,0.00%,113,$270,8.00%,81,$280,0.00%,582,$340,3.00%
Bendigo,35,$230,4.50%,81,$290,7.40%,55,$340,11.50%,169,$350,0.00%
Flora Hill-Bendigo East,35,$200,6.40%,212,$270,0.00%,70,$283,1.10%,337,$350,6.10%
Golden Square-Kangaroo Flat,13,$200,5.30%,83,$275,1.90%,41,$280,1.80%,270,$350,9.40%
North Bendigo,16,$220,15.80%,120,$270,0.00%,69,$290,5.50%,345,$330,3.10%
Bairnsdale,16,$220,15.80%,79,$270,8.00%,21,$280,0.70%,171,$330,3.10%
Benalla,23,$180,-4.30%,90,$260,8.30%,43,$300,15.40%,111,$350,9.40%
Castlemaine,-,-,-,29,$310,3.30%,47,$340,4.60%,96,$375,7.10%
Echuca,21,$170,-5.60%,82,$283,1.10%,19,$310,7.60%,167,$360,2.90%
Hamilton,18,$165,3.10%,38,$235,-2.10%,32,$260,8.30%,122,$300,7.10%
Horsham,38,$245,6.50%,129,$250,4.20%,43,$265,1.90%,261,$300,3.40%
Mildura,72,$210,5.00%,189,$245,6.50%,100,$275,1.90%,513,$340,3.00%
Moe-Newborough,76,$170,13.30%,83,$215,19.40%,48,$235,-6.00%,169,$280,3.70%
Morwell,27,$170,13.30%,102,$200,5.30%,63,$225,12.50%,211,$260,4.00%
Ocean Grove-Barwon Heads,15,$230,2.20%,51,$380,8.60%,20,$378,3.60%,197,$435,3.60%
Portland,15,$220,29.40%,70,$270,8.00%,29,$300,7.10%,114,$350,16.70%
Sale-Maffra,69,$200,0.00%,151,$270,12.50%,70,$270,3.80%,266,$325,10.20%
Seymour,13,$200,11.10%,35,$255,4.10%,12,$300,15.40%,96,$320,3.20%
Shepparton,84,$200,0.00%,291,$250,4.20%,87,$270,0.00%,593,$320,3.20%
Swan Hill,35,$165,6.50%,65,$260,13.00%,11,$260,0.00%,111,$330,6.50%
Torquay,29,$300,-11.80%,45,$395,3.90%,31,$400,8.70%,204,$500,2.00%
Traralgon,75,$200,5.30%,123,$260,8.30%,52,$290,8.20%,360,$348,8.80%
Wangaratta,52,$195,0.00%,105,$240,4.30%,49,$295,6.10%,273,$340,6.30%
Warragul,-,-,-,67,$295,3.50%,27,$300,3.40%,211,$350,2.90%
Warrnambool,55,$250,25.00%,230,$287,6.30%,80,$320,3.20%,301,$380,5.60%
Wodonga,59,$200,11.10%,236,$260,8.30%,56,$290,3.60%,470,$350,4.50%
Colac-Otway,-,-,-,-,-,-,-,-,-,10,$310,10.70%
Corangamite,-,-,-,-,-,-,-,-,-,-,-,-
Glenelg,-,-,-,23,$300,11.10%,-,-,-,12,$275,-
Greater Geelong,149,$265,1.90%,325,$340,0.00%,121,$400,2.60%,151,$350,6.10%
Moyne,-,-,-,-,-,-,-,-,-,-,-,-
Queenscliffe,-,-,-,-,-,-,-,-,-,-,-,-
Southern Grampians,-,-,-,-,-,-,-,-,-,11,$280,16.70%
Surf Coast,-,-,-,-,-,-,-,-,-,-,-,-
Warrnambool,-,-,-,63,$300,11.10%,-,-,-,15,$320,-4.50%
Ararat,-,-,-,17,$280,-,-,-,-,-,-,-
Ballarat,41,$210,6.10%,104,$275,4.60%,34,$330,3.10%,95,$295,5.40%
Golden Plains,-,-,-,-,-,-,-,-,-,-,-,-
Hepburn,-,-,-,10,$303,-,-,-,-,-,-,-
Hindmarsh,-,-,-,-,-,-,-,-,-,-,-,-
Horsham,10,$170,-32.00%,31,$260,6.10%,16,$330,-5.70%,11,$265,-8.60%
Moorabool,-,-,-,15,$300,7.10%,-,-,-,-,-,-
Northern Grampians,-,-,-,-,-,-,-,-,-,-,-,-
Pyrenees,-,-,-,-,-,-,-,-,-,-,-,-
West Wimmera,-,-,-,-,-,-,-,-,-,-,-,-
Yarriambiack,-,-,-,-,-,-,-,-,-,-,-,-
Buloke,-,-,-,-,-,-,-,-,-,-,-,-
Campaspe,-,-,-,41,$270,8.00%,16,$368,-,-,-,-
Central Goldfields,-,-,-,11,$250,8.70%,-,-,-,-,-,-
Gannawarra,-,-,-,-,-,-,-,-,-,-,-,-
Greater Bendigo,28,$220,10.00%,119,$280,0.00%,52,$350,6.10%,61,$300,0.00%
Loddon,-,-,-,-,-,-,-,-,-,-,-,-
Macedon Ranges,-,-,-,13,$360,-2.70%,21,$480,14.80%,10,$398,-5.20%
Mildura,20,$210,0.00%,60,$240,4.30%,14,$330,1.50%,30,$265,-8.60%
Mount Alexander,-,-,-,11,$320,-,-,-,-,-,-,-
Swan Hill,15,$170,6.30%,27,$260,11.60%,-,-,-,-,-,-
Alpine,-,-,-,-,-,-,-,-,-,-,-,-
Benalla,-,-,-,18,$270,8.00%,-,-,-,11,$300,13.20%
Greater Shepparton,24,$200,2.60%,77,$260,8.30%,17,$320,6.70%,20,$300,9.10%
Indigo,-,-,-,-,-,-,-,-,-,-,-,-
Mansfield,-,-,-,10,$345,-,-,-,-,-,-,-
Mitchell,-,-,-,15,$300,-3.20%,17,$350,9.40%,-,-,-
Moira,-,-,-,25,$250,0.00%,-,-,-,-,-,-
Murrindindi,-,-,-,-,-,-,-,-,-,-,-,-
Strathbogie,-,-,-,-,-,-,-,-,-,-,-,-
Towong,-,-,-,-,-,-,-,-,-,-,-,-
Wangaratta,13,$195,5.40%,22,$250,5.00%,-,-,-,-,-,-
Wodonga,13,$200,14.30%,60,$260,4.00%,13,$340,13.30%,-,-,-
Bass Coast,-,-,-,19,$300,3.40%,-,-,-,14,$310,6.90%
Baw Baw,-,-,-,37,$310,6.90%,17,$350,6.10%,18,$320,12.30%
East Gippsland,12,$225,7.10%,33,$280,12.00%,17,$330,10.00%,20,$310,10.70%
Latrobe,38,$188,13.90%,90,$250,25.00%,12,$295,-8.70%,34,$250,2.00%
South Gippsland,-,-,-,15,$280,12.00%,-,-,-,-,-,-
Wellington,20,$220,15.80%,46,$285,11.80%,-,-,-,29,$280,10.70%
Banyule,144,$310,-10.10%,381,$385,-6.10%,129,$475,-3.10%,57,$400,5.30%
Brimbank,54,$240,-4.00%,172,$330,-2.90%,138,$370,0.00%,51,$350,0.00%
Darebin,347,$310,-6.10%,698,$385,-6.10%,142,$473,-3.50%,154,$495,5.30%
Hobsons Bay,56,$290,-1.70%,181,$350,-7.90%,59,$450,-13.50%,45,$450,-4.90%
Hume,22,$285,5.60%,140,$340,-2.90%,70,$370,-2.60%,46,$340,-2.90%
Maribyrnong,256,$290,-3.30%,486,$380,-5.00%,86,$470,-6.00%,112,$463,-3.10%
Melbourne,"5,238",$310,-25.10%,"5,861",$400,-33.30%,670,$630,-24.60%,144,$550,-6.50%
Melton,-,-,-,49,$320,3.20%,65,$350,6.10%,16,$338,-2.00%
Moonee Valley,322,$320,-8.60%,558,$375,-10.30%,97,$500,-2.90%,92,$480,0.00%
Moreland,456,$320,-8.60%,968,$391,-6.90%,217,$480,-4.00%,206,$480,0.00%
Nillumbik,-,-,-,34,$410,-0.70%,13,$490,8.90%,-,-,-
Whittlesea,19,$300,0.00%,143,$340,0.00%,60,$370,-2.60%,45,$340,-2.90%
Wyndham,23,$300,3.40%,208,$320,-1.50%,131,$345,-1.40%,49,$330,-5.70%
Yarra,824,$350,-14.60%,961,$475,-13.60%,98,$770,-3.80%,262,$600,-7.70%
Boroondara,564,$308,-6.70%,926,$400,-13.00%,201,$600,-9.10%,52,$550,0.00%
Knox,34,$330,-4.30%,150,$380,2.70%,107,$430,0.00%,22,$350,-2.80%
Manningham,56,$350,-7.90%,256,$400,-10.10%,112,$510,-3.80%,17,$420,0.00%
Maroondah,21,$350,9.40%,239,$375,1.40%,88,$443,0.70%,21,$380,1.30%
Monash,241,$320,-3.00%,629,$390,-12.40%,370,$480,-7.70%,49,$390,-7.10%
Whitehorse,330,$320,20.80%,689,$395,-10.80%,218,$485,-8.50%,71,$400,-3.60%
Yarra Ranges,13,$300,3.40%,58,$370,0.00%,36,$445,2.30%,45,$380,2.70%
Bayside,71,$350,-9.10%,280,$480,-3.00%,89,$700,1.00%,32,$578,5.10%
Cardinia,-,-,-,43,$320,4.90%,37,$340,0.00%,20,$330,3.10%
Casey,25,$270,-3.60%,99,$330,0.60%,80,$377,4.70%,42,$338,0.00%
Frankston,129,$250,0.00%,177,$340,3.00%,111,$410,2.50%,27,$360,9.10%
Glen Eira,565,$300,-6.30%,"1,188",$400,-14.90%,269,$570,-5.00%,54,$490,-5.80%
Greater Dandenong,120,$260,0.00%,395,$330,0.00%,137,$400,0.00%,30,$348,2.10%
Kingston,115,$320,0.00%,542,$390,-2.50%,137,$500,0.00%,37,$450,4.70%
Mornington Peninsula,11,$300,20.00%,107,$360,4.30%,85,$470,11.90%,48,$380,13.40%
Port Phillip,826,$330,-14.30%,"1,087",$450,-14.30%,157,$655,-15.50%,90,$600,-7.70%
Stonnington,"1,173",$325,-8.50%,"1,447",$450,-15.10%,189,$695,-7.30%,114,$598,-7.00%
