,name,coordinates,nearestSchool,nearestSchool_distance,nearestStation,nearestStation_distance,School_Y,School_X,School_Name,STOP_ID,LATITUDE,LONGITUDE,STOP_NAME,real_school_distance,real_school_duration,real_station_distance,real_station_duration
427,110/250 Elizabeth Street Melbourne VIC 3000,"[-37.812564, 144.9628184]",Stott's College,0.6911,Melbourne Central Railway Station (Melbourne City),0.2963,-37.81154,144.97056,Stott's College,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
428,3806/500 Elizabeth St Melbourne VIC 3000,"[-37.8072443, 144.9602814]",River Nile School,0.5109,Melbourne Central Railway Station (Melbourne City),0.3586,-37.80519,144.95509,River Nile School,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
429,3706/228 La Trobe Street Melbourne VIC 3000,"[-37.8097514, 144.9626141]",Stott's College,0.7273,Melbourne Central Railway Station (Melbourne City),0.0165,-37.81154,144.97056,Stott's College,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
430,3210/9-23 Mackenzie Street Melbourne VIC 3000,"[-37.8076002, 144.9674656]",Stott's College,0.5152,Melbourne Central Railway Station (Melbourne City),0.4987,-37.81154,144.97056,Stott's College,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
431,1709/80 A'Beckett Street Melbourne VIC 3000,"[-37.8089991, 144.9610792]",River Nile School,0.676,Melbourne Central Railway Station (Melbourne City),0.1671,-37.80519,144.95509,River Nile School,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
432,1216/199 William Street Melbourne VIC 3000,"[-37.8145042, 144.9576035]",Hester Hornbrook Academy,0.2597,Flagstaff Railway Station (Melbourne City),0.3246,-37.81654,144.95615,Hester Hornbrook Academy,19841,-37.812,144.9557,Flagstaff Railway Station (Melbourne City),,,,
433,47/546 Flinders Street Melbourne VIC 3000,"[-37.8205058, 144.9561717]",Hester Hornbrook Academy,0.4402,Southern Cross Railway Station (Melbourne City),0.5101,-37.81654,144.95615,Hester Hornbrook Academy,22180,-37.8179,144.9514,Southern Cross Railway Station (Melbourne City),,,,
434,3104/288 Spencer Street Melbourne VIC 3000,"[-37.813775, 144.9520948]",Ozford College,0.2271,Flagstaff Railway Station (Melbourne City),0.3736,-37.81289,144.95442,Ozford College,19841,-37.812,144.9557,Flagstaff Railway Station (Melbourne City),,,,
435,2508B/11 Rose Lane Melbourne VIC 3000,"[-37.815446, 144.9541165]",Hester Hornbrook Academy,0.2163,Southern Cross Railway Station (Melbourne City),0.3625,-37.81654,144.95615,Hester Hornbrook Academy,22180,-37.8179,144.9514,Southern Cross Railway Station (Melbourne City),,,,
436,4610/371 Little Lonsdale Street Melbourne VIC 3000,"[-37.8117708, 144.9609302]",Ozford College,0.5866,Melbourne Central Railway Station (Melbourne City),0.2544,-37.81289,144.95442,Ozford College,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
437,5708/568 Collins Street Melbourne VIC 3000,"[-37.8183759, 144.9554361]",Hester Hornbrook Academy,0.2132,Southern Cross Railway Station (Melbourne City),0.3593,-37.81654,144.95615,Hester Hornbrook Academy,22180,-37.8179,144.9514,Southern Cross Railway Station (Melbourne City),,,,
438,CP L5C15/135 A'Beckett Street Melbourne VIC 3000,"[-37.809678, 144.9593125]",Ozford College,0.5592,Melbourne Central Railway Station (Melbourne City),0.2905,-37.81289,144.95442,Ozford College,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
439,1706/200 Spencer Street Melbourne VIC 3000,"[-37.816228, 144.9532465]",Hester Hornbrook Academy,0.258,Southern Cross Railway Station (Melbourne City),0.2467,-37.81654,144.95615,Hester Hornbrook Academy,22180,-37.8179,144.9514,Southern Cross Railway Station (Melbourne City),,,,
