,closest_sa2,rent_2025,rent_2024,rent_2017,rent_2018,rent_2019,rent_2020,rent_2021,rent_2022,rent_2023,average_growth
0,Abbotsford,564.7037037037037,564.7037037037037,360.3333333333333,452.05882352941177,510.38461538461536,463.0,474.4736842105263,564.7037037037037,564.7037037037037,1.0773532048005023
1,Airport West,428.5416666666667,428.5416666666667,390.0,383.8888888888889,394.54545454545456,423.8636363636364,389.5833333333333,428.5416666666667,428.5416666666667,1.0144775268430148
2,Albert Park,643.3870967741935,643.3870967741935,863.3333333333334,487.5,683.5714285714286,671.875,729.6875,643.3870967741935,643.3870967741935,0.981975988686963
5,Alphington - Fairfield,508.89285714285717,508.89285714285717,370.38461538461536,417.75,477.1875,448.5416666666667,472.63157894736844,508.89285714285717,508.89285714285717,1.0509420453882825
6,Altona,442.9824561403509,442.9824561403509,426.0,445.6666666666667,471.8421052631579,480.27777777777777,444.5833333333333,442.9824561403509,442.9824561403509,1.005576806285472
7,Altona Meadows,380.8139534883721,380.8139534883721,382.0,369.1666666666667,347.0,392.5,378.6363636363636,380.8139534883721,380.8139534883721,1.000977308522994
8,Altona North,514.4736842105264,514.4736842105264,385.0,408.75,383.3333333333333,453.75,452.77777777777777,514.4736842105264,514.4736842105264,1.0483036282805067
10,Ardeer - Albion,385.1219512195122,385.1219512195122,316.3636363636364,335.625,337.8125,364.4736842105263,370.17241379310343,385.1219512195122,385.1219512195122,1.0287847821214438
11,Armadale,521.1428571428571,521.1428571428571,560.0,497.5,551.25,548.8888888888889,537.5,521.1428571428571,521.1428571428571,0.9922276306300296
12,Ascot Vale,540.2173913043479,540.2173913043479,479.2857142857143,510.0,416.6666666666667,505.7142857142857,478.3333333333333,540.2173913043479,540.2173913043479,1.0221416903408542
13,Ashburton (Vic.),537.3333333333334,537.3333333333334,476.25,646.6666666666666,548.0,647.8571428571429,574.5,537.3333333333334,537.3333333333334,1.0229315362891496
14,Ashwood - Chadstone,518.4444444444445,518.4444444444445,445.7142857142857,455.14285714285717,474.1212121212121,506.2,481.06060606060606,518.4444444444445,518.4444444444445,1.0223103657374653
15,Aspendale Gardens - Waterways,680.0,680.0,519.4117647058823,575.9090909090909,553.5294117647059,590.3846153846154,668.6744186046511,680.0,680.0,1.0416707947920116
19,Balwyn,566.5277777777778,566.5277777777778,509.5833333333333,707.0,585.4761904761905,641.875,663.0857142857143,566.5277777777778,566.5277777777778,1.0214461343255603
20,Balwyn North,621.4102564102565,621.4102564102565,712.5,662.0833333333334,575.0,637.4444444444445,867.0,621.4102564102565,621.4102564102565,0.998941508602013
21,Bannockburn,400.0,400.0,390.0,340.0,404.2857142857143,494.44444444444446,407.05882352941177,400.0,400.0,1.0117060139423617
22,Bayswater,424.0,424.0,375.0,439.0,452.14285714285717,435.45454545454544,439.1666666666667,424.0,424.0,1.016632802258062
23,Bayswater North,477.77777777777777,477.77777777777777,568.5555555555555,453.3333333333333,435.5263157894737,452.85714285714283,466.53846153846155,477.77777777777777,477.77777777777777,0.9804984968528223
25,Beaumaris,623.2142857142857,623.2142857142857,679.2857142857143,728.5,642.5,795.4545454545455,828.125,623.2142857142857,623.2142857142857,1.0000047467255306
27,Belmont,455.9047619047619,455.9047619047619,369.375,358.6363636363636,350.4166666666667,390.4347826086956,402.72727272727275,455.9047619047619,455.9047619047619,1.0344646532095134
29,Bendigo,465.40506329113924,465.40506329113924,348.0,385.13513513513516,385.80357142857144,433.36842105263156,406.45569620253167,465.40506329113924,465.40506329113924,1.0466065474504034
30,Bentleigh - McKinnon,562.9444444444445,562.9444444444445,541.875,585.625,582.2222222222222,585.7894736842105,600.3125,562.9444444444445,562.9444444444445,1.0052540804876517
32,Blackburn,448.6111111111111,448.6111111111111,477.0,415.29411764705884,496.1764705882353,440.25,469.7826086956522,448.6111111111111,448.6111111111111,0.9962845902506289
33,Blackburn South,543.75,543.75,453.6363636363636,450.75,420.0,440.5,491.6666666666667,543.75,543.75,1.0287863485690303
34,Boronia,434.51612903225805,434.51612903225805,370.7142857142857,413.0769230769231,436.25,407.5,467.0833333333333,434.51612903225805,434.51612903225805,1.0236816280953855
35,Box Hill,460.625,460.625,483.125,487.3529411764706,498.5,493.6666666666667,453.89473684210526,460.625,460.625,0.9948617444064504
36,Box Hill North,515.6976744186046,515.6976744186046,505.625,490.61538461538464,535.2631578947369,532.9411764705883,512.7083333333334,515.6976744186046,515.6976744186046,1.0032269049866915
37,Braeside,440.0,440.0,490.0,875.0,875.0,650.0,850.0,440.0,440.0,1.0568490070853516
38,Braybrook,404.2241379310345,404.2241379310345,386.3636363636364,382.27272727272725,461.875,422.1875,437.25,404.2241379310345,404.2241379310345,1.0092969851805815
40,Brighton (Vic.),745.925,745.925,903.75,616.25,671.25,604.0,592.5,745.925,745.925,0.9850613323347017
41,Brighton East,586.7450980392157,586.7450980392157,563.0,905.0,910.8333333333334,932.1428571428571,808.1818181818181,586.7450980392157,586.7450980392157,1.0259307552671315
42,Broadmeadows,365.4222222222222,365.4222222222222,336.9230769230769,343.75,357.88461538461536,370.4166666666667,370.2083333333333,365.4222222222222,365.4222222222222,1.0109905586829506
43,Brunswick East,496.8666666666667,496.8666666666667,606.6666666666666,403.75,473.84615384615387,512.7272727272727,440.45454545454544,496.8666666666667,496.8666666666667,0.9842987395738463
44,Brunswick West,455.1304347826087,455.1304347826087,303.125,324.64285714285717,335.2631578947368,389.1666666666667,335.4166666666667,455.1304347826087,455.1304347826087,1.0783807510058256
46,Bulleen,484.7826086956522,484.7826086956522,391.6666666666667,476.875,498.3333333333333,482.5,465.0,484.7826086956522,484.7826086956522,1.0301162782954532
47,Buloke,291.25,291.25,350.38461538461536,263.2,300.7142857142857,229.19354838709677,255.0,291.25,291.25,0.9867961663095246
48,Bundoora - West,383.6307692307692,383.6307692307692,383.57142857142856,378.75,396.6666666666667,381.0,410.45454545454544,383.6307692307692,383.6307692307692,1.0008997741830998
50,Burnside,429.9166666666667,429.9166666666667,368.0,359.1666666666667,413.75,428.75,488.8888888888889,429.9166666666667,429.9166666666667,1.026443949919543
51,Burnside Heights,460.8695652173913,460.8695652173913,387.85714285714283,431.6666666666667,441.15384615384613,421.6666666666667,437.3529411764706,460.8695652173913,460.8695652173913,1.024207087677624
52,Burwood East,492.0689655172414,492.0689655172414,396.6666666666667,505.55555555555554,464.1666666666667,442.0,482.0833333333333,492.0689655172414,492.0689655172414,1.0312117161824133
53,Cairnlea,383.3333333333333,383.3333333333333,408.8888888888889,375.0,398.125,395.8333333333333,500.57142857142856,383.3333333333333,383.3333333333333,1.0002580459732382
54,California Gully - Eaglehawk,409.2857142857143,409.2857142857143,299.51612903225805,291.85714285714283,322.27272727272725,344.2307692307692,360.2,409.2857142857143,409.2857142857143,1.054324026141844
55,Camberwell,576.3793103448276,576.3793103448276,504.0,685.0,718.75,644.4444444444445,569.1666666666666,576.3793103448276,576.3793103448276,1.0217267001087023
56,Campbellfield - Coolaroo,344.1666666666667,344.1666666666667,321.5,337.6923076923077,358.75,360.9375,355.95238095238096,344.1666666666667,344.1666666666667,1.0091530491578031
57,Camperdown,450.0,450.0,202.5,217.5,241.0,250.625,314.44444444444446,450.0,450.0,1.1924094841380313
58,Carlton,498.08547008547004,498.08547008547004,470.0,385.0,443.3333333333333,421.6666666666667,330.0,498.08547008547004,498.08547008547004,1.0284147005459996
59,Carlton North - Princes Hill,601.875,601.875,680.0,531.25,558.3333333333334,547.5,709.3333333333334,601.875,601.875,0.9929300057714276
60,Carnegie,492.0,492.0,445.0,407.0,415.0,462.0,403.57142857142856,492.0,492.0,1.0198011320639877
61,Caroline Springs,179791.13460393093,179791.13460393093,384.0,382.5,377.0,397.0,444.2857142857143,179791.13460393093,179791.13460393093,109.7550706957902
62,Carrum - Patterson Lakes,597.3809523809524,597.3809523809524,445.125,445.3333333333333,472.5,493.125,599.6666666666666,597.3809523809524,597.3809523809524,1.0505530792597304
63,Carrum Downs,452.94117647058823,452.94117647058823,380.0,406.0,394.2307692307692,407.14285714285717,409.1666666666667,452.94117647058823,452.94117647058823,1.0255042208067133
65,Caulfield - North,510.10869565217394,510.10869565217394,432.5,492.5,482.5,553.3333333333334,437.72727272727275,510.10869565217394,510.10869565217394,1.02848169725851
66,Caulfield - South,1241.6037735849056,1241.6037735849056,639.875,579.1538461538462,606.1666666666666,574.6153846153846,533.0,1241.6037735849056,1241.6037735849056,1.2073090579920844
67,Chelsea - Bonbeach,497.0,497.0,445.875,427.0,455.55555555555554,490.0,443.04347826086956,497.0,497.0,1.0177822665891638
68,Chelsea Heights,600.0,600.0,488.75,453.3333333333333,435.8333333333333,475.7142857142857,479.4736842105263,600.0,600.0,1.036919238631476
69,Chirnside Park,447.77777777777777,447.77777777777777,447.85714285714283,451.42857142857144,445.0,451.42857142857144,540.4545454545455,447.77777777777777,447.77777777777777,1.0042389729019636
71,Clarinda - Oakleigh South,518.0,518.0,408.6666666666667,450.2173913043478,462.22222222222223,493.8,459.5,518.0,518.0,1.0361893814639724
72,Clayton South,473.6857142857143,473.6857142857143,351.25,403.57142857142856,374.0,406.6666666666667,419.2307692307692,473.6857142857143,473.6857142857143,1.046926300844103
73,Clifton Springs,457.5,457.5,370.55555555555554,389.2105263157895,406.25,404.5652173913044,435.23809523809524,457.5,457.5,1.0314955234672352
74,Cobram,390.0,390.0,262.5,301.75,265.6666666666667,263.4,313.9583333333333,390.0,390.0,1.070683517826494
75,Coburg North,465.80645161290323,465.80645161290323,457.5,433.6363636363636,480.0,490.0,510.4166666666667,465.80645161290323,465.80645161290323,1.0038889505149242
76,Colac,507.5,507.5,367.9230769230769,298.8235294117647,338.2142857142857,341.8333333333333,389.61538461538464,507.5,507.5,1.069130940414814
77,Collingwood,505.8510638297872,505.8510638297872,514.0,510.0,519.1666666666666,590.7142857142857,557.8571428571429,505.8510638297872,505.8510638297872,0.9999108446971088
79,Craigieburn - Central,403.0882352941176,403.0882352941176,434.0,396.6666666666667,405.0,395.0,392.0,403.0882352941176,403.0882352941176,0.9912315291751671
80,Cranbourne,411.40625,411.40625,336.5,347.0833333333333,341.6666666666667,352.85714285714283,347.0833333333333,411.40625,411.40625,1.0315453230519636
81,Cranbourne South,684.1666666666666,684.1666666666666,417.6923076923077,461.59090909090907,430.0,494.375,498.9583333333333,684.1666666666666,684.1666666666666,1.0967969060166949
82,Cranbourne West,495.16129032258067,495.16129032258067,398.0,365.0,381.6666666666667,441.0,460.0,495.16129032258067,495.16129032258067,1.0377374373931518
84,Croydon - West,488.2894736842105,488.2894736842105,426.0,355.0,381.42857142857144,408.125,443.75,488.2894736842105,488.2894736842105,1.0256680715258857
85,Croydon Hills - Warranwood,610.0,610.0,486.0,559.6428571428571,503.69565217391306,552.5,544.2105263157895,610.0,610.0,1.0344250712784717
86,Croydon South,492.5,492.5,395.0,443.3333333333333,477.5,506.42857142857144,483.3333333333333,492.5,492.5,1.0322521365711739
87,Dandenong North,373.9433962264151,373.9433962264151,336.6666666666667,360.0,368.125,376.1111111111111,411.8181818181818,373.9433962264151,373.9433962264151,1.0150833566005786
90,Delahey,402.5,402.5,376.875,388.8888888888889,384.61538461538464,361.25,394.375,402.5,402.5,1.009341956352703
91,Dingley Village,481.6666666666667,481.6666666666667,552.5,456.6666666666667,472.5,520.8333333333334,546.4285714285714,481.6666666666667,481.6666666666667,0.9859350497548138
92,Docklands,582.5522388059702,582.5522388059702,575.0,520.0,900.0,591.6666666666666,491.25,582.5522388059702,582.5522388059702,1.0387591803982754
93,Doncaster,516.2142857142857,516.2142857142857,439.54545454545456,428.6363636363636,440.5,465.0,465.0,516.2142857142857,516.2142857142857,1.0247759781469006
94,Donvale - Park Orchards,582.0,582.0,588.1034482758621,757.0689655172414,919.8648648648649,860.2,779.5454545454545,582.0,582.0,1.0116782202715655
95,Doveton,391.875,391.875,323.57142857142856,341.07142857142856,354.0,361.7857142857143,363.1034482758621,391.875,391.875,1.028028740872462
98,East Bendigo - Kennington,447.6388888888889,447.6388888888889,328.25,393.75,395.0,398.7567567567568,424.60526315789474,447.6388888888889,447.6388888888889,1.0468854790413393
99,East Melbourne,637.8048780487804,637.8048780487804,701.0,493.3333333333333,485.0,541.0,827.1428571428571,637.8048780487804,637.8048780487804,1.0102396314041286
100,Echuca,450.1142857142857,450.1142857142857,736.2,398.0,355.0,348.8095238095238,696.0,450.1142857142857,450.1142857142857,1.0015272736462197
101,Edithvale - Aspendale,436.6666666666667,436.6666666666667,434.2857142857143,461.42857142857144,484.0,512.0833333333334,548.9285714285714,436.6666666666667,436.6666666666667,1.0045712032021858
102,Elsternwick,512.280701754386,512.280701754386,444.375,422.3529411764706,383.0,375.2,440.0,512.280701754386,512.280701754386,1.025088622270177
103,Eltham,586.25,586.25,484.5,542.7777777777778,459.6666666666667,559.375,715.0,586.25,586.25,1.0372240331702458
104,Elwood,495.1284403669725,495.1284403669725,513.5714285714286,462.0,540.0,570.5555555555555,446.25,495.1284403669725,495.1284403669725,1.0017824313615376
